Alteration, gene	P	Expression
MMP2	<0.05	Increased expression
MMP9	<0.01	Increased expression
MMP13	<0.001	Increased expression
MMP16	<0.01	Increased expression
MMP28	<0.001	Increased expression
TIMP3	<0.05	Increased expression
ADAMTS2	<0.01	Increased expression
ADAMTS12	<0.05	Increased expression
ADAMTS14	<0.01	Increased expression
ADAMTS16	<0.001	Increased expression
MMP1	<0.001	Decreased expression
MMP3	<0.001	Decreased expression
MMP10	<0.01	Decreased expression
TIMP1	<0.01	Decreased expression
TIMP4	<0.05	Decreased expression
ADAMTS1	<0.001	Decreased expression
ADAMTS5	<0.05	Decreased expression
ADAMTS9	<0.01	Decreased expression
ADAMTS15	<0.05	Decreased expression
