Curated Gene Symbol	Gene class	Gene name	Abbrevation	Unigene	Gen BankID	Signal Intensity in spermatozoa	Density A/F
PRM1	Cell division	sperm protamine p1	PRM1	Hs.2909	NM_002761	1,190,263,489	40
MAP4K3	Cell division	mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	Hs.399752	NM_003618	2,718,873,138	2.19
RTN4	Cell division	reticulon 4	RTN4	Hs.65450	NM_007008	7,333,348,274	4.2
GMFB	Cell division	glia maturation factor, beta	GMFB	Hs.151413	NM_004124	4,485,953,331	8.86
ARHGAP5	Cell division	Rho GTPase activating protein 5	ARHGAP5	Hs.267831	NM_001173	4,199,637,032	3.13
PCM1	Cell division	pericentriolar material 1	PCM1	Hs.75737	NM_006197	4,074,465,942	2.38
JARID2	Cell division	jumonji homolog (mouse)	JMJ	Hs.40154	NM_004973	2,996,220,589	2.96
IK	Cell division	IK cytokine, down-regulator of HLA II	IK	Hs.8024	NM_006083	2,833,104,038	2.52
HMGB1	Cell division	high-mobility group box 1	HMGB1	Hs.6727	NM_002128	2,728,630,638	19.8
RAD17	Cell division	cell cycle checkpoint protein RAD17	RAD17	Hs.16184	AF017748	2,562,064,171	6.02
PIWIL1	Cell division	Hiwi protein	HIWI	Hs.194712	AF104260	2,522,147,655	6.46
PPP2R1B	Cell division	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B	Hs.108705	NM_002716	2,276,733,494	4.5
BMPR2	Cell division	bone morphogenetic protein receptor, type II	BMPR2	Hs.53250	NM_001204	218,802,948	2.31
KDM5A	Cell division	retinoblastoma binding protein 2	RBBP2	Hs.76272	NM_005056	2,186,551,285	2.52
BUB1	Cell division	BUB1 budding uninhibited by benzimidazoles 1 homolog	BUB1	Hs.98658	NM_004336	1,806,602,955	2.24
MAPK6	Cell division	mitogen-activated protein kinase 6	MAPK6	Hs.271980	NM_002748	178,048,439	2.97
IFT122	Cell division	WD repeat domain 10	WDR10	Hs.70202	NM_018262	1,496,139,193	3.3
RBL2	Cell division	retinoblastoma-like 2 (p130)	RBL2	Hs.79362	NM_005611	1,291,627,312	7.55
GNG11	Cell signaling/communication	guanine nucleotide-binding protein, gamma-11	GNG11	Hs.83381	NM_004126	2,444,930,908	2.2
GDI2	Cell signaling/communication	GDP dissociation inhibitor 2	GDI2	Hs.56845	NM_001494	1,787,038,727	4.67
IPO5	Cell signaling/communication	karyopherin (importin) beta 3	KPNB3	Hs.113503	NM_002271	5,295,129,967	2.32
NUP98	Cell signaling/communication	nucleoporin, 98KD	NUP98	Hs.112255	NM_005387	4,573,672,009	4.32
PAFAH1B1	Cell signaling/communication	platelet-activating factor acetylhydrolase, isoform 1b, alpha subunit	PAFAH1B1	Hs.77318	NM_000430	4,555,438,042	3.04
AP2B1	Cell signaling/communication	adaptor-related protein complex 2, beta-1 subunit	AP2B1	Hs.74626	NM_001282	39,749,203	3.62
KPNA2	Cell signaling/communication	karyopherin alpha 2	KPNA2	Hs.159557	NM_002266	3,328,860,378	2.98
PTPN2	Cell signaling/communication	protein tyrosine phosphatase, non-receptor type 2	PTPN2	Hs.82829	NM_080423	3,113,999,748	2.54
AKAP12	Cell signaling/communication	a kinase anchor protein 12	AKAP12	Hs.788	NM_005100	2,454,633,904	6.14
SPARCL1	Cell signaling/communication	SPARC-like 1 (mast9, hevin)Åj	SPARCL1	Hs.75445	NM_004684	2,046,103,382	4.06
NUP155	Cell signaling/communication	nucleoporin 155kD	NUP155	Hs.23255	NM_004298	1,948,529,053	5.79
KPNB1	Cell signaling/communication	karyopherin (importin) beta 1	KPNB1	Hs.180446	NM_002265	194,212,265	2.94
KTN1	Cell signaling/communication	kinectin 1	KTN1	Hs.418467	NM_004986	1,930,295,467	2.3
CLGN	Cell signaling/communication	calmegin	CLGN	Hs.86368	NM_004362	178,245,554	3.61
CREB1	Cell signaling/communication	CREB1 CAMP responsive element binding protein 1	C8F11	Hs.79194	NM_004379	1,425,668,907	2.25
PMFBP1	Cell signaling/communication	polyamine modulated factor 1 binding protein 1	PMFBP1	Hs.151218	NM_031293	1,413,348,866	2.62
ARFGEF1	Cell signaling/communication	brefeldin A-inhibited guanine nucleotide-exchange protein 1	BIG1	Hs.94631	NM_006421	139,511,528	2.83
ZBTB17	Cell signaling/communication	msx-interacting-zinc finger	MIZ1	Hs.111323	NM_004671	1,166,949,058	14.19
CLTCL1	Cell signaling/communication	clathrin, heavy polypeptide-like 1	CLTCL1	Hs.184916	NM_007098	1,086,622,763	4.9
AP1G1	Cell signaling/communication	adaptor-related protein complex 1, gamma 1 subunit	AP1G1	Hs.5344	NM_001128	1,031,922,054	2.44
ODF2	Cell structure/mobility	outer dense fiber of sperm tails 2 isoform 1	ODF2	Hs.129055	NM_002540	4,494,676,056	20.14
AKAP4	Cell structure/mobility	a kinase (PRKA) anchor protein 4	AKAP4	Hs.97633	NM_003886	1,510,578,079	83.82
KIF2C	Cell structure/mobility	kinesin family member 2C	KIF2C	Hs.69360	NM_006845	7,100,747,681	11.65
RANBP9	Cell structure/mobility	RAN-binding protein 9	RANBP9	Hs.279886	NM_005493	6,886,872,101	7.33
TRIM36	Cell structure/mobility	tripartite motif-containing 36	TRIM36	Hs.121429	NM_018700	5,310,406,494	7.93
KIF5B	Cell structure/mobility	kinesin family member 5B	KIF5B	Hs.149436	NM_004521	1,904,669,809	2.7
CCT8	Cell structure/mobility	chaperonin containing TCP1, subunit 8	CCT8	Hs.15071	NM_006585	1,877,073,097	2.94
IQGAP2	Cell structure/mobility	IQ motif containing GTPase activating protein 2	IQGAP2	Hs.78993	NM_006633	1,828,285,992	6.41
KIF15	Cell structure/mobility	kinesin-like 7	KNSL7	Hs.150587	NM_020242	1,608,990,288	5.78
RAI14	Cell structure/mobility	retinoic acid induced 14	RAI14	Hs.15165	NM_015577	1,553,796,721	3.13
RGPD8	Cell structure/mobility	RAN binding protein 2-like 1	RANBP2L1	Hs.179825	NM_005054	1,256,638,628	4.65
GOLGA4	Cell structure/mobility	Golgi autoantigen, golgin subfamily a, 4	GOLGA4	Hs.183773	NM_002078	1,068,881,941	3.71
HSPA4L	Cell/organism defence	heat shock protein (hsp110 family)	APG-1	Hs.71992	NM_014278	8,077,475,357	6.74
CALCOCO2	Cell/organism defence	nuclear domain 10 protein	NDP52	Hs.154230	NM_005831	6,609,426,498	3.45
PHF7	Gene/protein expression	NYD-SP6	NYD-SP6	Hs.30127	AY014283	5,435,627,289	36.2
PHTF1	Gene/protein expression	putative homeodomain transcription factor 1	PHTF1	Hs.123637	NM_006608	4,088,510,742	37.75
PPM1G	Gene/protein expression	Åprotein phosphatase ÅC magnesium-dependent ÅC1 Cgamma isoform	PPM1G	Hs.17883	NM_002707	3,108,972,931	4.96
RAD23B	Gene/protein expression	RAD23B RAD23 homolog B (S. cerevisiae)	C3D04	Hs.404283	NM_002874	1,904,423,599	2.33
TCP11	Gene/protein expression	T-complex 11	TCP11	Hs.128322	NM_018679	1,743,277,969	45.59
BRDT	Gene/protein expression	bromodomain, testis-specific	BRDT	Hs.178281	NM_001726	103,157,711	11.08
FXR1	Gene/protein expression	fragile x mental retardation, autosomal homolog 1	FXR1	Hs.82712	NM_005087	9,112,847,519	4.17
PARN	Gene/protein expression	poly(A)-specific ribonuclease (deadenylation nuclease)	PARN	Hs.43445	NM_002582	6,314,239,693	2.93
CUL3	Gene/protein expression	cullin 3	CUL3	Hs.78946	NM_003590	5,590,316,963	3.79
TAX1BP1	Gene/protein expression	tax1-binding protein 1	TAX1BP1	Hs.5437	NM_006024	5,157,146,263	2.84
XRN2	Gene/protein expression	5-3 exoribonuclease 2	XRN2	Hs.268555	NM_012255	481,711,483	2.7
DDX3Y	Gene/protein expression	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide, Y chromosome	DBY	Hs.99120	NM_004660	439,823,513	2.54
SRPK1	Gene/protein expression	SFRS protein kinase 1	SRPK1	Hs.75761	NM_003137	4,243,003,273	3.46
PABPC1	Gene/protein expression	poly(A) binding protein, cytoplasmic 1	PABPC1	Hs.172182	NM_002568	4,094,178,009	2.9
NRD1	Gene/protein expression	Nardilysin (N-arginine dibasic convertase)	NRD1	Hs.4099	NM_002525	4,076,436,996	3.09
HMGN5	Gene/protein expression	nucleosomal binding protein 1	NSBP1	Hs.443778	NM_030763	3,815,253,448	2.37
PSMA6	Gene/protein expression	proteasome (prosome, macropain) subunit, alpha type, 6	PSMA6	Hs.410276	NM_002791	3,197,775,364	2.83
AHCTF1	Gene/protein expression	ELYS transcription factor-like protein TMBS62 (elys)	ELYS	Hs.33363	NM_015446	2,697,091,389	2.84
WNT8B	Gene/protein expression	wingless-type MMTV integration site family, member 8B	WNT8B	Hs.137595	Y11108	2,528,553,867	2.87
GTF2A2	Gene/protein expression	general transcription factor IIA, 2	GTF2A2	Hs.76362	NM_004492	25,241,189	3.21
TRIP12	Gene/protein expression	thyroid hormone receptor interactor 12	TRIP12	Hs.138617	NM_004238	2,477,303,028	2.1
DDX3X	Gene/protein expression	DEAD box RNA helicase DDX3	DDX3	Hs.380774	AF061337	2,312,214,947	2.44
BRD8	Gene/protein expression	bromodomain containing 8	BRD8	Hs.5464	NM_006696	2,220,554,161	2.97
