# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
embl|AA290390|AA290390	unigene|Mm.10737|Mm.10737
entrezgene|W41358|12683	unigene|Mm.449|Mm.449
entrezgene|AA047966|14199	unigene|Mm.3126|Mm.3126
entrezgene|AA175692|78889	unigene|Mm.28719|Mm.28719
entrezgene|AA473904|71911	unigene|Mm.29884|Mm.29884
entrezgene|W15888|236539	unigene|Mm.16898|Mm.16898
entrezgene|W61383|236539	unigene|Mm.16898|Mm.16898
entrezgene|AA110896|107272	unigene|Mm.29902|Mm.29902
embl|AA274533|AA274533	unigene|Mm.29902|Mm.29902
entrezgene|AA108928|20750	unigene|Mm.321|Mm.321
entrezgene|W36940|12700	unigene|Mm.4592|Mm.4592
entrezgene|AA261582|14164	unigene|Mm.5087|Mm.5087
entrezgene|AA003078|20502	unigene|Mm.5045|Mm.5045
entrezgene|AA030193|20540	unigene|Mm.31239|Mm.31239
entrezgene|AA276085|20540	unigene|Mm.31239|Mm.31239
entrezgene|W16221|12833	unigene|Mm.2509|Mm.2509
entrezgene|W62360|68082	unigene|Mm.35774|Mm.35774
entrezgene|W83904|19038	unigene|Mm.4587|Mm.4587
entrezgene|AA067045|81896	unigene|Mm.9638|Mm.9638
entrezgene|AA208883|21894	unigene|Mm.4053|Mm.4053
entrezgene|W17813|21894	unigene|Mm.4053|Mm.4053
entrezgene|AA471960|65969	unigene|Mm.2735|Mm.2735
entrezgene|W12478|14735	unigene|Mm.1528|Mm.1528
entrezgene|W63981|14264	unigene|Mm.41573|Mm.41573
embl|AA145784|AA145784	unigene|Mm.4871|Mm.4871
entrezgene|AA198560|16009	unigene|Mm.29254|Mm.29254
entrezgene|AA061055|11287	unigene|Mm.1992|Mm.1992
entrezgene|AA276440|20363	unigene|Mm.22699|Mm.22699
embl|AA189999|AA189999	unigene|Mm.1585|Mm.1585
entrezgene|AA008001|13030	unigene|Mm.22753|Mm.22753
entrezgene|AA289542|13030	unigene|Mm.22753|Mm.22753
entrezgene|AA064011|11826	unigene|Mm.10660|Mm.10660
entrezgene|W89964|14674	unigene|Mm.5238|Mm.5238
entrezgene|W82406|226519
entrezgene|W83988|13136	unigene|Mm.1327|Mm.1327
entrezgene|W11889|15216	unigene|Mm.2681|Mm.2681
entrezgene|AA458178|12491	unigene|Mm.498|Mm.498
entrezgene|AA511931|12425
entrezgene|AA212435|13109	unigene|Mm.12838|Mm.12838
entrezgene|AA238492|13109	unigene|Mm.12838|Mm.12838
entrezgene|AA473629|13109	unigene|Mm.12838|Mm.12838
entrezgene|W12874|13088	unigene|Mm.6444|Mm.6444
embl|AA014194|AA014194	unigene|Mm.24765|Mm.24765
entrezgene|AA286506|16190	unigene|Mm.1009|Mm.1009
entrezgene|AA016940|14537	unigene|Mm.4411|Mm.4411
entrezgene|AA213167|15368	unigene|Mm.635|Mm.635
entrezgene|AA238875|11671	unigene|Mm.4210|Mm.4210
entrezgene|AA237178|14263	unigene|Mm.1668|Mm.1668
entrezgene|AA222216|22153	unigene|Mm.7420|Mm.7420
entrezgene|AA259342|12892	unigene|Mm.35820|Mm.35820
entrezgene|AA274685|15495	unigene|Mm.7513|Mm.7513
entrezgene|AA276254|100043461	unigene|Mm.7513|Mm.7513
entrezgene|AA175547|60599	unigene|Mm.28708|Mm.28708
entrezgene|AA271223|12606	unigene|Mm.34537|Mm.34537
entrezgene|AA014643|20848	unigene|Mm.3948|Mm.3948
entrezgene|AA178118|69274	unigene|Mm.28444|Mm.28444
entrezgene|AA153004|26431	unigene|Mm.99942|Mm.99942
embl|AA271551|AA271551	unigene|Mm.18789|Mm.18789
entrezgene|AA241896|111175	unigene|Mm.29988|Mm.29988
entrezgene|AA245738|12492	unigene|Mm.39288|Mm.39288
entrezgene|AA060376|56753	unigene|Mm.20560|Mm.20560
entrezgene|W34921|56753	unigene|Mm.20560|Mm.20560
entrezgene|W64550|56753	unigene|Mm.20560|Mm.20560
entrezgene|AA209640|14962	unigene|Mm.653|Mm.653
entrezgene|W18121|14962	unigene|Mm.653|Mm.653
entrezgene|AA123821|20585	unigene|Mm.3909|Mm.3909
entrezgene|AA413194|50799	unigene|Mm.24513|Mm.24513
entrezgene|W33774|12317
embl|W84270|W84270	unigene|Mm.56685|Mm.56685
entrezgene|AA389278|56709	unigene|Mm.103610|Mm.103610
entrezgene|AA276818|12628	unigene|Mm.8655|Mm.8655
entrezgene|W81873|78266	unigene|Mm.84669|Mm.84669
entrezgene|AA386802|67307	unigene|Mm.24795|Mm.24795
entrezgene|AA140114|18478	unigene|Mm.2162|Mm.2162
entrezgene|AA423144|11847	unigene|Mm.3506|Mm.3506
entrezgene|W12834|14085	unigene|Mm.2259|Mm.2259
entrezgene|W18519|23972	unigene|Mm.27646|Mm.27646
entrezgene|AA108401|26458	unigene|Mm.6611|Mm.6611
entrezgene|W64242|11858	unigene|Mm.29210|Mm.29210
entrezgene|AA178388|243382	unigene|Mm.30918|Mm.30918
entrezgene|AA003272|80888	unigene|Mm.21549|Mm.21549
entrezgene|AA184322|15510	unigene|Mm.1777|Mm.1777
embl|AA184380|AA184380	unigene|Mm.27897|Mm.27897
entrezgene|AA253890|16976	unigene|Mm.4560|Mm.4560
entrezgene|W09023|17158	unigene|Mm.2433|Mm.2433
entrezgene|AA097314|106861
entrezgene|W17582|23945	unigene|Mm.139459|Mm.139459
entrezgene|W34507|66082	unigene|Mm.139570|Mm.139570
entrezgene|W83974|12876	unigene|Mm.4221|Mm.4221
entrezgene|W08348|13595	unigene|Mm.27183|Mm.27183
entrezgene|AA387369|29858	unigene|Mm.18939|Mm.18939
entrezgene|W13698|27055	unigene|Mm.20943|Mm.20943
entrezgene|AA061801|108100	unigene|Mm.29122|Mm.29122
entrezgene|AA000819|20698	unigene|Mm.20944|Mm.20944
entrezgene|AA276928|67073	unigene|Mm.74642|Mm.74642
entrezgene|W46097|80708	unigene|Mm.23329|Mm.23329
entrezgene|AA475121|18770	unigene|Mm.8359|Mm.8359
entrezgene|W88005|12575	unigene|Mm.34446|Mm.34446
entrezgene|AA275564|14933	unigene|Mm.3242|Mm.3242
entrezgene|AA543155|14933	unigene|Mm.3242|Mm.3242
entrezgene|AA414632|53886	unigene|Mm.18133|Mm.18133
entrezgene|AA276364|56644	unigene|Mm.132943|Mm.132943
entrezgene|AA244853|17175	unigene|Mm.3539|Mm.3539
entrezgene|AA274663|117147	unigene|Mm.33731|Mm.33731
entrezgene|AA472979|14630	unigene|Mm.87221|Mm.87221
entrezgene|AA274541|246277	unigene|Mm.41853|Mm.41853
entrezgene|AA142673|22276	unigene|Mm.3160|Mm.3160
entrezgene|AA272198|22276	unigene|Mm.3160|Mm.3160
entrezgene|W08694|12351	unigene|Mm.1641|Mm.1641
entrezgene|AA030116|15360	unigene|Mm.10633|Mm.10633
entrezgene|W12827|20397	unigene|Mm.28119|Mm.28119
embl|W34179|W34179	unigene|Mm.34838|Mm.34838
entrezgene|W80031|17918	unigene|Mm.3645|Mm.3645
entrezgene|AA068375|18104	unigene|Mm.252|Mm.252
entrezgene|AA275737|20148	unigene|Mm.14063|Mm.14063
entrezgene|AA209061|50493	unigene|Mm.44552|Mm.44552
entrezgene|W85238|56722	unigene|Mm.21119|Mm.21119
entrezgene|AA123007|23962	unigene|Mm.27162|Mm.27162
entrezgene|AA218279|20720	unigene|Mm.3093|Mm.3093
entrezgene|AA173013|20708	unigene|Mm.36526|Mm.36526
entrezgene|AA245727|18816	unigene|Mm.934|Mm.934
entrezgene|AA237870|14317	unigene|Mm.36278|Mm.36278
entrezgene|AA241859|12116	unigene|Mm.21983|Mm.21983
entrezgene|W97296|12116	unigene|Mm.21983|Mm.21983
entrezgene|AA272067|110446	unigene|Mm.1776|Mm.1776
entrezgene|W82574|110446	unigene|Mm.1776|Mm.1776
entrezgene|AA124476|66116	unigene|Mm.13036|Mm.13036
entrezgene|AA289657|231655	unigene|Mm.75489|Mm.75489
entrezgene|W17420|68671	unigene|Mm.21439|Mm.21439
entrezgene|AA250213|19123	unigene|Mm.2786|Mm.2786
entrezgene|AA221141|11522	unigene|Mm.2409|Mm.2409
entrezgene|AA000775|108682	unigene|Mm.7156|Mm.7156
entrezgene|AA002517|223697	unigene|Mm.28643|Mm.28643
entrezgene|AA003083|66835	unigene|Mm.140661|Mm.140661
entrezgene|AA003273|102448	unigene|Mm.27002|Mm.27002
embl|AA004074|AA004074
entrezgene|AA014971|19647	unigene|Mm.100649|Mm.100649
entrezgene|AA022130|15199	unigene|Mm.17249|Mm.17249
entrezgene|AA030659|100855	unigene|Mm.25799|Mm.25799
entrezgene|AA048412|77056	unigene|Mm.23646|Mm.23646
entrezgene|AA048486|64075	unigene|Mm.27643|Mm.27643
entrezgene|AA049342|192156	unigene|Mm.28146|Mm.28146
entrezgene|AA049730|56357	unigene|Mm.22199|Mm.22199
entrezgene|AA050058|54610	unigene|Mm.104771|Mm.104771
entrezgene|AA051561|72729	unigene|Mm.29476|Mm.29476
entrezgene|AA060559|216848	unigene|Mm.10727|Mm.10727
entrezgene|AA061216|231874	unigene|Mm.29605|Mm.29605
entrezgene|AA064247|78885	unigene|Mm.41792|Mm.41792
entrezgene|AA068436|66912	unigene|Mm.24745|Mm.24745
entrezgene|AA068575|76267	unigene|Mm.30158|Mm.30158
entrezgene|AA080385|19087	unigene|Mm.27046|Mm.27046
entrezgene|AA080443|108682	unigene|Mm.7156|Mm.7156
entrezgene|AA097901|66514	unigene|Mm.20246|Mm.20246
entrezgene|AA105830|67701	unigene|Mm.27289|Mm.27289
embl|AA110934|AA110934	unigene|Mm.30239|Mm.30239
entrezgene|AA116857|16483	unigene|Mm.290|Mm.290
embl|AA119797|AA119797	unigene|Mm.34683|Mm.34683
entrezgene|AA120639|66447	unigene|Mm.29823|Mm.29823
entrezgene|AA122529|230806	unigene|Mm.103621|Mm.103621
entrezgene|AA122658|110208	unigene|Mm.24365|Mm.24365
entrezgene|AA124362|67893	unigene|Mm.27338|Mm.27338
entrezgene|AA125185|215335	unigene|Mm.35732|Mm.35732
entrezgene|AA137369|27399	unigene|Mm.22360|Mm.22360
entrezgene|AA139271|108682	unigene|Mm.7156|Mm.7156
entrezgene|AA139627|52815	unigene|Mm.27589|Mm.27589
entrezgene|AA139826|68352	unigene|Mm.88478|Mm.88478
entrezgene|AA145721|212514	unigene|Mm.24035|Mm.24035
entrezgene|AA146478|111507	unigene|Mm.6160|Mm.6160
entrezgene|AA146534|67345	unigene|Mm.5772|Mm.5772
entrezgene|AA154527|78308	unigene|Mm.28468|Mm.28468
entrezgene|AA163245|13998	unigene|Mm.23273|Mm.23273
entrezgene|AA163875|52653	unigene|Mm.30177|Mm.30177
entrezgene|AA170590|268566	unigene|Mm.40282|Mm.40282
entrezgene|AA174447|15950	unigene|Mm.18530|Mm.18530
entrezgene|AA177218|111507	unigene|Mm.6160|Mm.6160
entrezgene|AA178493|56357	unigene|Mm.22199|Mm.22199
entrezgene|AA184259|433667	unigene|Mm.26304|Mm.26304
entrezgene|AA185218|14004	unigene|Mm.30133|Mm.30133
entrezgene|AA185249|72662
entrezgene|AA185346|383295	unigene|Mm.45975|Mm.45975
