Functional group	GeneBank accession #	Description	Cortex  STZ/control	Confirmation by real-time RT-PCR Cerebellum STZ/control	Cortex STZ/control	Striatum STZ/control
Channels	U75210	Potassium channel protein ERG	8.3 (P/A)	0.81	2.12	0.37
Channels	X83580	Inward rectifier 11, subfamily J, member 4	2.8 (P/A)	n.c.	n.c.	n.c.
Channels	M81783	Kþchannel	2.5 (P/P)	n.c.	n.c.	n.c.
Channels	Y14635	Proton-gated cation channels modulatory subunit	0.5 (P/P)	n.c.	n.c.	n.c.
Receptors & transporters	L08490	GABA-A receptor alpha-1 subunit	6.7 (P/A)	1.05	3.06	0.09
Receptors & transporters	S55933	GABA-A receptor alpha 4 subunit	2.6 (P/A)	n.c.	n.c.	n.c.
Receptors & transporters	M27293	Insulin-like growth factor-I receptor (IGF-I)	0.5 (A/P)	1.28	0.36	0.15
Receptors & transporters	U14533	Orphan receptor	0.3 (A/P)	n.c.	n.c.	n.c.
Receptors & transporters	U38653	Olfactory inositol 1,4,5-trisphosphate receptor (InsP3R)	0.2 (A/P)	n.c.	n.c.	n.c.
Receptors & transporters	AF038571	Glutamate transporter	2.7 (P/A)	1.37	1.5	0.51
Transcription factors	AJ001641	Brain-1 protein	5.0 (P/P)	n.c.	n.c.	n.c.
Transcription factors	U17254	Immediate early gene transcription factor NGFI-B	0.4 (P/P)	n.c.	n.c.	n.c.
Transcription factors	Z38067	c-Myc	0.4 (P/P)	n.c.	n.c.	n.c.
Growth factors & cytokines	L15305	Glial-derived neurotrophic factor (GDNF)	3.3 (P/A)	n.c.	n.c.	n.c.
Growth factors & cytokines	X67108	Brain-derived neurotrophic factor (BDNF)	0.2 (A/P)	n.c.	n.c.	n.c.
Growth factors & cytokines	X52477	pre-pro-complement C3	0.1 (A/P)	n.c.	n.c.	n.c.
Enzymes & proteins	X87157	Neurotensin endopeptidase	4.3 (P/A)	n.c.	n.c.	n.c.
Enzymes & proteins	U59801	Integrin alpha-M (Itgam)	2.9 (M/A)	n.c.	n.c.	n.c.
Enzymes & proteins	U50147	Synapse-associated protein 102	2.5 (P/M)	n.c.	n.c.	n.c.
Enzymes & proteins	U49953	Protein kinase MUK2	2.4 (P/A)	n.c.	n.c.	n.c.
Enzymes & proteins	D14987	Hydroxysteroid sulfotransferase subunit	2.3 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	AB003992	SNAP-25B (synaptosomal associated protein of 25 kDa)	2.0 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	M34384	Nestin	2.0 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	M24852	Neuron-specific protein PEP-19	0.5 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	S48813	Beta-adrenergic receptor kinase	0.3 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	S49491	Proenkephalin	0.1 (P/P)	n.c.	n.c.	n.c.
Enzymes & proteins	M11794	Metallothionein-1 and 2	0.1 (P/P)	n.c.	n.c.	n.c.
Others & ESTs	X14115	DNA for B2 repeat (1–12) from gamma crystallin gene	2.9 (P/M)	n.c.	n.c.	n.c.
Others & ESTs	AI171630	EST217602	0.5 (P/P)	n.c.	n.c.	n.c.
Others & ESTs	M15191	Beta-tachykinin	0.4 (P/P)	n.c.	n.c.	n.c.
