Function	Gene	Symbol	Clone ID	NF-kB Association	Fold Change LY-2/Ker	Fold Change LY-2/IkB-aM
CELL CYCLE/GROWTH	Annexin A1	Anxa1	H3008H01		3.653	-4.611
CELL CYCLE/GROWTH	Annexin A2	Anxa2	H3126C03		3.918	-1.89
CELL CYCLE/GROWTH	Amyloid beta precursor protein	App	H3132G02	target gene	3.814	-4.091
CELL CYCLE/GROWTH	Cyclin D1	Ccnd1	H3084D05	target gene	3.351	-2.266
CELL CYCLE/GROWTH	Cyclin D2	Ccnd2	H3152D01	target gene	2.957	-2.05
CELL CYCLE/GROWTH	Growth arrest specific 5	Gas5	H3113A12		6.304	-7.813
CELL CYCLE/GROWTH	Hepatoma derived growth factor	Hdgf	H3046C06		1.964	-2.933
CELL CYCLE/GROWTH	Kinesin family member 3a	Kif3a	H3111B02		2.111	-3.734
CELL CYCLE/GROWTH	Lectin, galactose binding	Lgals1	H3022G07	target gene	4.074	-2.514
CELL CYCLE/GROWTH	Lectin, galctose binding	Lgals7	H3135C02		12.87	-1.381
CELL CYCLE/GROWTH	Milk fat globule-EGF factor 8	Mfge8	H3126F11	target gene	2.594	-3.525
CELL CYCLE/GROWTH	#Protein phosphatase 3	Ppp3cb	H3065C08	inhibitor of NF-kB	3.117	-2.231
CELL CYCLE/GROWTH	Proliferating cell nuclear antigen	Pcna	H3021F12	target gene	5.775	-2.811
CELL CYCLE/GROWTH	Set translocation	Set	H3027B05		2.41	-3.45
CELL CYCLE/GROWTH	Son cell proliferation protein	Son	H3035B06		5.066	-8.329
CELL CYCLE/GROWTH	Split hand/foot deleted gene	Shfdg1	H3095C05		2.593	-2.915
APOPTOSIS	#Baculoviral IAP repeat	Birc2	H3074A02	target gene	9.154	-6.013
APOPTOSIS	Bcl-2 related ovarian killer	Bok1	H3081D02		1.994	-3.461
APOPTOSIS	Cathepsin L	Ctsl	H3028F03		3.474	-4.281
APOPTOSIS	Immediate early reponse 3	Ier3	H3057B07	target gene	2.865	-3.851
APOPTOSIS	#Transformation related protein	Trp53	H3142D07	target gene	2.9	-4.142
APOPTOSIS	#Uchrp	Uchrp	605056		2.188	-4.353
INFLAMMATION/ANGIOGENESIS	Colony stimulating factor 1	Csf1	H3057D05	target gene	14.639	-5.574
INFLAMMATION/ANGIOGENESIS	Complement component 3	C3	H3054A08	target gene	5.145	-8.303
INFLAMMATION/ANGIOGENESIS	FGF receptor	fgfr4	406823	target gene	1.982	-1.991
INFLAMMATION/ANGIOGENESIS	Gro 1 oncogene	Gro1	H3051F10	target gene	12.394	-4.094
INFLAMMATION/ANGIOGENESIS	Histocompatibility 2-L	H2-L	H3096A12	target gene	2.342	-3.431
INFLAMMATION/ANGIOGENESIS	Histocompatibility 2-D	H2-D	H3141B11	target gene	2.968	-3.927
INFLAMMATION/ANGIOGENESIS	Interferon receptor	Ifnar	H3118F09	inhibitor of NF-kB	4.5	-3.054
INFLAMMATION/ANGIOGENESIS	Lymphocyte antigen complex	Ly6e	H3027D05	inducer of NF-kB	4.029	-2.613
INFLAMMATION/ANGIOGENESIS	Peptidylprolyl isomerase A	Ppia	H3028A03	inhibitor of NF-kB	2.174	-2.301
METASTASIS	#Integrin alpha 3	Itga3	H3137A03	inducer of NF-kB	15.597	-3.917
METASTASIS	Laminin alpha 5	Lama5	H3002G01	target gene	2.272	-2.967
METASTASIS	Laminin receptor 1	Lamr1	H3075G08		2.169	-1.619
METASTASIS	p8 protein	p8	H3106H03		7.314	-2.163
METASTASIS	Plasminogen activator, tissue	Plat	H3080H11	target gene	2.667	-2.487
METASTASIS	Procollagen type 5 alpha 2	Col5a2	H3156E09	target gene	5.103	-2.094
METASTASIS	Serine protease inhibitor 6	Spi6	H3015H02		1.878	-2.831
METASTASIS	Syndecan 1	Sdc1	H3013F05	target gene	2.948	-2.034
