Name	Regulation	Signal intensity LPL stg	LPL dtg	IEL stg	IEL dtg	Cluster in fig 9	Function
	Up	135	399	1206	2075	A	LPL and IEL proinflammatory
S100a6	Up	158	1627	71	478	A	LPL and IEL proinflammatory
Snx9	Up	159	357	82	483	A	LPL and IEL proinflammatory
Tnfrsf7	Up	673	1377	436	1114	A	LPL and IEL proinflammatory
CD83	Up	878	1225	237	992	A	LPL and IEL proinflammatory
Tnfrsf9	Up	174	423	33	197	A	LPL and IEL proinflammatory
Itgb7	Up	1273	2356	4276	3097	C	LPL proinflammatory
Itga4	Up	96	274	42	76	C	LPL proinflammatory
PTGER4	Down	650	221	1628	1090	D	LPL proinflammatory
EGR2	Down	1941	655	143	122	F	LPL proinflammatory
CD7	Up	76	58	216	1945	E	IEL proinflammatory
BCL2L13	Up	258	242	197	441	E	IEL proinflammatory
STAT3	Up	2033	1807	184	1107	E	IEL proinflammatory
CST7	Up	70	468	725	1197	A	LPL and IEL anti-inflammatory
Areg	Up	274	488	71	530	A	LPL and IEL anti-inflammatory
Nrp1	Up	25	87	69	269	A	LPL and IEL anti-inflammatory
IL10	Up	288	745	144	713	A	LPL and IEL anti-inflammatory
	Down	179	20	730	143	B	LPL and IEL anti-inflammatory
IL7r	Down	2430	567	2318	620	B	LPL and IEL anti-inflammatory
Tnfrsf18 / GITR	Up	2384	7324	669	772	C	LPL anti-inflammatory
	Down	2113	358	1805	1695	D	LPL anti-inflammatory
CCR5	Down	4212	1928	877	981	D	LPL anti-inflammatory
IL17	Down	867	298	256	377	D	LPL anti-inflammatory
ICOS	Down	1696	562	169	126	D	LPL anti-inflammatory
ANXA1	Up	28	24	69	233	E	IEL anti-inflammatory
CCL3	Down	357	485	1256	649	F	IEL anti-inflammatory
CCR7	Down	329	309	1215	455	F	IEL anti-inflammatory
IL6r	Down	177	159	653	209	F	IEL anti-inflammatory
ICAM1	Down	126	77	190	65	F	IEL anti-inflammatory
PD1	Up	349	1446	87	247	A	LPL and/or IEL pro-/anti-inflammatory
KLRG1	Up	194	380	77	78	C	LPL and/or IEL pro-/anti-inflammatory
CCL5	Down	18622	15975	3550	1424	D	LPL and/or IEL pro-/anti-inflammatory
Lag3	Up	69	36	45	388	E	LPL and/or IEL pro-/anti-inflammatory
Tnfrsf4 / OX40	Up	1386	5804	398	1494	A	LPL and/or IEL pro-/anti-inflammatory
