# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|200790_at|200790_at	entrezgene|4953|4953	hgnc_symbol|ODC1|ODC1
affy_hg_u133a|201063_at|201063_at	entrezgene|5954|5954	hgnc_symbol|RCN1|RCN1
affy_hg_u133a|201291_s_at|201291_s_at	entrezgene|7153|7153	hgnc_symbol|TOP2A|TOP2A
affy_hg_u133a|201292_at|201292_at	entrezgene|7153|7153	hgnc_symbol|TOP2A|TOP2A
affy_hg_u133a|201397_at|201397_at	entrezgene|26227|26227	hgnc_symbol|PHGDH|PHGDH
affy_hg_u133a|201909_at|201909_at	entrezgene|6192|6192	hgnc_symbol|RPS4Y1|RPS4Y1
affy_hg_u133a|202086_at|202086_at	entrezgene|4599|4599	hgnc_symbol|MX1|MX1
affy_hg_u133a|202095_s_at|202095_s_at	entrezgene|332|332	hgnc_symbol|BIRC5|BIRC5
affy_hg_u133a|202219_at|202219_at	entrezgene|6535|6535	hgnc_symbol|SLC6A8|SLC6A8
affy_hg_u133a|202222_s_at|202222_s_at	entrezgene|1674|1674	hgnc_symbol|DES|DES
affy_hg_u133a|202283_at|202283_at	entrezgene|5176|5176	hgnc_symbol|SERPINF1|SERPINF1
affy_hg_u133a|202409_at|202409_at	entrezgene|492304|492304	hgnc_symbol|LOC492304|LOC492304
affy_hg_u133a|202436_s_at|202436_s_at	entrezgene|1545|1545	hgnc_symbol|CYP1B1|CYP1B1
affy_hg_u133a|202580_x_at|202580_x_at	entrezgene|2305|2305	hgnc_symbol|FOXM1|FOXM1
affy_hg_u133a|202589_at|202589_at	entrezgene|7298|7298	hgnc_symbol|TYMS|TYMS
affy_hg_u133a|202705_at|202705_at	entrezgene|9133|9133	hgnc_symbol|CCNB2|CCNB2
affy_hg_u133a|202858_at|202858_at	entrezgene|7307|7307	hgnc_symbol|U2AF1|U2AF1
affy_hg_u133a|202870_s_at|202870_s_at	entrezgene|991|991	hgnc_symbol|CDC20|CDC20
affy_hg_u133a|202934_at|202934_at	entrezgene|3099|3099	hgnc_symbol|HK2|HK2
affy_hg_u133a|203510_at|203510_at	entrezgene|4233|4233	hgnc_symbol|MET|MET
affy_hg_u133a|203554_x_at|203554_x_at	entrezgene|9232|9232	hgnc_symbol|PTTG1|PTTG1
affy_hg_u133a|203842_s_at|203842_s_at	entrezgene|22924|22924	hgnc_symbol|MAPRE3|MAPRE3
affy_hg_u133a|203936_s_at|203936_s_at	entrezgene|4318|4318	hgnc_symbol|MMP9|MMP9
affy_hg_u133a|204014_at|204014_at	entrezgene|1846|1846	hgnc_symbol|DUSP4|DUSP4
affy_hg_u133a|204086_at|204086_at	entrezgene|23532|23532	hgnc_symbol|PRAME|PRAME
affy_hg_u133a|204400_at|204400_at	entrezgene|10278|10278	hgnc_symbol|EFS|EFS
affy_hg_u133a|204424_s_at|204424_s_at	entrezgene|55885|55885	hgnc_symbol|LMO3|LMO3
affy_hg_u133a|204606_at|204606_at	entrezgene|6366|6366	hgnc_symbol|CCL21|CCL21
affy_hg_u133a|204777_s_at|204777_s_at	entrezgene|4118|4118	hgnc_symbol|MAL|MAL
affy_hg_u133a|204825_at|204825_at	entrezgene|9833|9833	hgnc_symbol|MELK|MELK
affy_hg_u133a|205143_at|205143_at	entrezgene|1463|1463	hgnc_symbol|CSPG3|CSPG3
affy_hg_u133a|205348_s_at|205348_s_at	entrezgene|1780|1780	hgnc_symbol|DNCI1|DNCI1
affy_hg_u133a|205449_at|205449_at	entrezgene|29901|29901	hgnc_symbol|SAC3D1|SAC3D1
affy_hg_u133a|205630_at|205630_at	entrezgene|1392|1392	hgnc_symbol|CRH|CRH
affy_hg_u133a|205637_s_at|205637_s_at	entrezgene|6457|6457	hgnc_symbol|SH3GL3|SH3GL3
affy_hg_u133a|205721_at|205721_at	entrezgene|2675|2675	hgnc_symbol|GFRA2|GFRA2
affy_hg_u133a|205722_s_at|205722_s_at	entrezgene|2675|2675	hgnc_symbol|GFRA2|GFRA2
affy_hg_u133a|205766_at|205766_at	entrezgene|8557|8557	hgnc_symbol|TCAP|TCAP
affy_hg_u133a|205774_at|205774_at	entrezgene|2161|2161	hgnc_symbol|F12|F12
affy_hg_u133a|206001_at|206001_at	entrezgene|4852|4852	hgnc_symbol|NPY|NPY
affy_hg_u133a|206278_at|206278_at	entrezgene|5724|5724	hgnc_symbol|PTAFR|PTAFR
affy_hg_u133a|206328_at|206328_at	entrezgene|1013|1013	hgnc_symbol|CDH15|CDH15
affy_hg_u133a|206338_at|206338_at	entrezgene|1995|1995	hgnc_symbol|ELAVL3|ELAVL3
affy_hg_u133a|207005_s_at|207005_s_at	entrezgene|596|596	hgnc_symbol|BCL2|BCL2
affy_hg_u133a|207306_at|207306_at	entrezgene|6939|6939	hgnc_symbol|TCF15|TCF15
affy_hg_u133a|207730_x_at|207730_x_at	entrezgene|114782|114782	hgnc_symbol|KIAA1881|KIAA1881
affy_hg_u133a|207828_s_at|207828_s_at	entrezgene|1063|1063	hgnc_symbol|CENPF|CENPF
affy_hg_u133a|208212_s_at|208212_s_at	entrezgene|238|238	hgnc_symbol|ALK|ALK
affy_hg_u133a|208808_s_at|208808_s_at	entrezgene|3148|3148	hgnc_symbol|HMGB2|HMGB2
affy_hg_u133a|209138_x_at|209138_x_at	entrezgene|10901 /// 28793 /// 3538|10901 /// 28793 /// 3538	hgnc_symbol|IGLV3-25 /// DHRS4 /// IGLC2|IGLV3-25 /// DHRS4 /// IGLC2
affy_hg_u133a|209295_at|209295_at	entrezgene|8795|8795	hgnc_symbol|TNFRSF10B|TNFRSF10B
affy_hg_u133a|209374_s_at|209374_s_at	entrezgene|3507|3507	hgnc_symbol|IGHM|IGHM
