Curated Gene Symbol	Category	Gene symbol	Ratio	Gene title
CAT	Stress response	CAT	2.77	Catalase
DNAJC7	Stress response	DNAJC7	2.33	DnaJ (Hsp40) homolog, subfamily C, member 7
FKBP5	Stress response	FKBP5	2.87	FK506 binding protein 5
HSPA8	Stress response	HSPA8	3.02	Heat shock 70 kDa protein 8
HSP90AB1	Stress response	HSPCB	3.21	Heat shock 90 kDa protein 1, beta
HSPD1	Stress response	HSPD1	1.83	Heat shock 60 kDa protein 1
BUB1	DNA repair, cell cycle, cell growth	BUB1	4.51	BUB1 budding uninhibited by benzimidazoles 1 homolog
CCND2	DNA repair, cell cycle, cell growth	CCND2	5.08	Cyclin d2
CCT2	DNA repair, cell cycle, cell growth	CCT2	3.33	Chaperonin containing TCP1, subunit 2 (beta)
DKC1	DNA repair, cell cycle, cell growth	DKC1	2.37	Dyskeratosis congenita 1, dyskerin
ENO1	DNA repair, cell cycle, cell growth	ENO1	2.1	Enolase 1 (alpha)
HMGB1	DNA repair, cell cycle, cell growth	HMGB1	2.16	High-mobility group box 1
MAPRE1	DNA repair, cell cycle, cell growth	MAPRE1	2.32	Microtubule-associated protein, RP/EB family, member 1
NME1	DNA repair, cell cycle, cell growth	NME1	2	Non-metastatic cells 1, protein (NM23A) expressed in
NOLC1	DNA repair, cell cycle, cell growth	NOLC1	2.99	Nucleolar and coiled-body phosphoprotein 1
NRAS	DNA repair, cell cycle, cell growth	NRAS	2.54	Neuroblastoma RAS viral (v-ras) oncogene homolog
CDKN1A	DNA repair, cell cycle, cell growth	p21	3.22	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)
PPP2R1B	DNA repair, cell cycle, cell growth	PPP2R1B	2.45	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
RAD21	DNA repair, cell cycle, cell growth	RAD21	2.34	RAD21 homolog
RBBP4	DNA repair, cell cycle, cell growth	RBBP4	2	Retinoblastoma binding protein 4
RHOA	DNA repair, cell cycle, cell growth	RHOA	1.77	ras homolog gene family, member A
SRPK1	DNA repair, cell cycle, cell growth	SRPK1	2.75	SFRS protein kinase 1
