Curated Gene Symbol	Gene	RP	Anova	Fold change	Protein name
CDK1	CDC2	x	x	0.57	Cell division cycle 2
CDK7	CDK7	x		0.55	Cyclin-dependent kinase 7
CPSF6	CPSF6	x		0.68	Cleavage and polyadenylation specific factor 6
DDX17	DDX17	x		1.24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
GRSF1	GRSF1	x		0.65	G-rich RNA sequence binding factor 1
	hnRNP D	x	x	0.56	Heterogeneous nuclear ribonucleoprotein D
	hnRNP DL	x	x	0.47	Heterogeneous nuclear ribonucleoprotein D-like
KHDRBS1	KHDRBS1		x	0.8	KH domain containing, RNA binding, signal transduction associated 1
NUDT21	NUDT21	x		0.65	Nudix (nucleoside diphosphate linked moiety X)-type motif 21
PABPN1	PABPN1		x	0.65	Poly(A) binding protein, nuclear 1
PAPOLG	PAPOLG	x		0.83	Poly(A) polymerase gamma
PCBP1	PCBP1	x		0.71	Poly(rC) binding protein 1
RBPMS	RBPMS	x	x	1.47	RNA binding protein with multiple splicing
RNGTT	RNGTT	x	x	0.6	RNA guanylyltransferase and 5?-phosphatase
