miRNA	Parametric Pvalue	FDR	Permutation  P value	Hazard Ratio	SD of log intensities
hsa-mir-338	0.00014	0.04634	1.00E-04	2.538	0.64
hsa-mir-219-1	0.0015823	0.0529103	0.0024	2.036	0.729
hsa-mir-206	0.0025752	0.0568261	0.003	1.963	0.622
hsa-mir-183	0.0077901	0.0797369	0.0147	1.912	1.421
hsa-mir-129-2	0.0062137	0.0719331	0.0096	1.789	0.639
hsa-mir-192	0.0061754	0.0719331	0.0071	0.786	1.293
hsa-mir-194	0.001596	0.0529103	0.0027	0.769	1.552
hsa-mir-123	0.004512	0.0678394	0.0046	0.766	1.498
hsa-mir-144	0.0079189	0.0797369	0.0078	0.756	1.205
hsa-mir-215	0.0073086	0.0767983	0.0082	0.756	1.259
hsa-mir-101-1/2	0.0010396	0.0529103	0.0026	0.755	1.163
hsa-mir-148b	0.0092462	0.0900145	0.0104	0.753	1.33
hsa-mir-122a	0.009978	0.0932232	0.0118	0.748	0.941
hsa-mir-30c-1	0.0043015	0.0678394	0.0032	0.747	1.234
hsa-mir-29b	0.0068308	0.074131	0.0098	0.742	1.292
hsa-mir-100	0.0045338	0.0678394	0.0048	0.738	1.315
hsa-mir-148a	0.0063023	0.0719331	0.0063	0.732	1.323
hsa-mir-299	0.0097053	0.0931146	0.0116	0.731	1.145
hsa-mir-26a-2	0.0035932	0.0642891	0.0034	0.725	1.114
hsa-mir-29c	0.0015432	0.0529103	0.0019	0.725	1.407
hsa-mir-30b	0.0047705	0.0678394	0.004	0.723	1.089
hsa-mir-193	0.0067771	0.074131	0.0078	0.721	1.286
hsa-mir-125b-2	0.0044504	0.0678394	0.0045	0.707	1.112
hsa-mir-16-1	0.0061634	0.0719331	0.0062	0.705	1.014
hsa-mir-124a-2	0.0022636	0.0534074	0.0023	0.696	1.185
hsa-mir-15b	0.0061564	0.0719331	0.0101	0.695	0.968
hsa-mir-30e	0.0034461	0.06337	0.0034	0.695	0.99
hsa-mir-19a	0.004595	0.0678394	0.0045	0.688	1.179
hsa-mir-1-2	0.0052048	0.0678394	0.0055	0.687	1.176
hsa-mir-126	0.0045176	0.0678394	0.0045	0.681	1.05
hsa-mir-30a	0.0057222	0.0719331	0.0069	0.679	0.875
hsa-mir-103-2	0.0031911	0.0620029	0.0027	0.676	0.933
hsa-mir-29a-2	0.0003649	0.0483128	4.00E-04	0.663	1.152
hsa-mir-181a	0.0049518	0.0678394	0.0043	0.614	0.744
hsa-mir-200b	0.0045435	0.0678394	0.0049	0.595	0.887
hsa-mir-127	0.0019182	0.0529103	0.0018	0.588	0.865
hsa-mir-345	0.0027926	0.0596355	0.0039	0.587	0.755
hsa-mir-9-2	0.0011605	0.0529103	0.001	0.587	0.999
hsa-mir-15a	0.0020307	0.0534074	0.0023	0.579	0.853
hsa-mir-340	0.0002841	0.0483128	4.00E-04	0.576	0.915
hsa-mir-22	0.0066349	0.074131	0.0078	0.573	0.678
hsa-mir-341	0.0016284	0.0529103	0.002	0.557	0.84
hsa-mir-19b-1	0.0018824	0.0529103	0.0029	0.548	0.72
hsa-mir-28	0.0052263	0.0678394	0.0069	0.546	0.594
hsa-mir-152	0.0010018	0.0529103	0.0026	0.546	0.914
hsa-mir-224	3.72E-05	0.0246264	1.00E-04	0.52	1.128
