Gene	Mean Glioblastoma	Mean Non-neoplastic brain tissue	Median Glioblastoma	Median Non-neoplastic brain tissue	P value
MED6	1.57	1.16	1.09	0.93	0.878
LAMA1	22.43	1.31	11.87	1.07	0.002
PPIE	6.54	1.08	4.16	1.04	<0.0001
CKS2	45.31	1.2	29.42	1.1	<0.0001
SNAI2	46.8	1.02	30.28	1.04	<0.0001
SPARCL1	2.57	1.42	1.84	0.91	0.322
CDKN2C	114.5	1.15	82.66	0.97	<0.0001
EMP3	68.42	1.58	52.01	0.87	<0.0001
EEF1A1	16.6	1.65	14.67	0.98	<0.0001
MMP23b	26.48	1.57	11.12	1.09	<0.0001
STIM1	5.75	1.23	3.15	1.11	0.006
TASP1	9.1	1.71	6.02	1.23	0.02
BNIP1	6.08	1.32	5.35	1.46	<0.0001
CA12	251.7	1.67	112.7	0.96	<0.0001
CD34	44.7	1.45	28.1	1.11	<0.0001
CDC42EP4	30	1.53	13.72	1.49	0.003
GDF15	476	1.18	182.4	0.79	<0.0001
GPS1	5.2	1.47	3.95	1.07	0.0003
NFIA	19.08	1.42	11.91	0.82	0.0001
PDNP	30.74	1.44	23.36	0.87	<0.0001
