Probe identifier	Gene symbol	Gene name	Relative changea	FDRb (%)	Correlation with LVMc	P valued
218730_s_at	OGN	Osteoglycin	2.2	2.7	0.62	1.2 × 10-3
202766_s_at	FBN1	Fibrillin 1	2	2.7	0.55	4.5 × 10-3
209621_s_at	PDLIM3	PDZ and LIM domain 3	1.6	5	0.52	6.5 × 10-3
219087_at	ASPN	Asporin	1.9	5	0.52	7.5 × 10-3
213646_x_at	TUBA1B	Tubulin, alpha 1b	1.5	2.7	0.52	5.7 × 10-3
213765_at	MFAP5	Microfibrillar associated protein 5	1.8	5	0.51	6.8 × 10-3
203570_at	LOXL1	Lysyl oxidase-like 1	1.5	5	0.51	8.1 × 10-3
208782_at	FSTL1	Follistatin-like 1	1.5	2.7	0.51	1.1 × 10-2
213867_x_at	ACTB	Actin, beta	1.5	2.7	0.49	1.1 × 10-2
212614_at	ARID5B	AT rich interactive domain 5B	1.6	2.7	0.49	9.9 × 10-3
216442_x_at	FN1	Fibronectin 1	1.9	5	0.49	1.1 × 10-2
211750_x_at	TUBA1C	Tubulin, alpha 1c	1.6	2.7	0.48	1.3 × 10-2
212582_at	OSBPL8	Oxysterol binding protein-like 8	1.6	2.7	0.48	1.1 × 10-2
221729_at	COL5A2	Collagen, type V, alpha 2	1.9	5	0.48	1.3 × 10-2
201843_s_at	EFEMP1	EGF- fibulin-like extracellular matrix protein 1	1.8	5	0.48	1.2 × 10-2
202007_at	NID1	Nidogen 1	1.6	2.7	0.47	1.6 × 10-2
203548_s_at	LPL	Lipoprotein lipase	1.8	2.7	0.47	1.7 × 10-2
205547_s_at	TAGLN	Transgelin	2.1	2.7	0.46	1.7 × 10-2
202552_s_at	CRIM1	Cysteine rich transmembrane BMP regulator 1	1.6	3.9	0.46	1.9 × 10-2
201012_at	ANXA1	Annexin A1	1.6	2.7	0.46	1.7 × 10-2
209460_at	ABAT	4-aminobutyrate aminotransferase	1.6	2.7	0.45	2.0 × 10-2
201302_at	ANXA4	Annexin A4	1.5	3.9	0.44	2.1 × 10-2
219260_s_at	C17orf81	Chromosome 17 open reading frame 81	1.5	2.7	0.44	2.4 × 10-2
209130_at	SNAP23	Synaptosomal-associated protein,23kda	1.5	5	0.44	2.6 × 10-2
209392_at	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	1.6	2.7	0.43	2.7 × 10-2
200974_at	ACTA2	Actin, alpha 2, smooth muscle, aorta	1.6	2.7	0.43	2.8 × 10-2
210942_s_at	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	1.5	5	0.42	3.3 × 10-2
212063_at	CD44	CD44 molecule	1.9	3.9	0.42	3.0 × 10-2
212515_s_at	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	1.5	5	0.41	3.6 × 10-2
211509_s_at	RTN4	Reticulon 4	1.6	3.9	0.41	3.7 × 10-2
209387_s_at	TM4SF1	Transmembrane 4 L six family member 1	1.8	2.7	0.4	4.0 × 10-2
219922_s_at	LTBP3	Latent transforming growth factor beta binding protein 3	1.5	5	0.4	4.3 × 10-2
202119_s_at	CPNE3	Copine III	1.5	3.9	0.4	4.8 × 10-2
210095_s_at	IGFBP3	Insulin-like growth factor binding protein 3	1.7	2.7	0.39	5.0 × 10-2
