Gene	Gene Symbol	Short DLI PDT 30 days Fold change	Short DLI PDT 30 days p-value	Short DLI PDT 30 days regulation	Long DLI PDT 30 days Fold change	Long DLI PDT 30 days p-value	Long DLI PDT 30 days regulation	Function
Collagen, type XVIII, alpha 1	COL18A1	46.21	0.041	up	39.4	0.047	up	Adhesion molecules
Cadherin 5, type 2, VE-cadherin	CDH5	13.8	0.003	up	10.51	0.0022	up	Adhesion molecules
Integrin, beta 3	ITGB3	8.86	0.021	up	7.568	0.023	up	Adhesion molecules
Integrin, alpha V	ITGAV	0.186	0.009	down	8.654	0.006	up	Adhesion molecules
Collagen, type IV, alpha 3	COL4A3	0.022	0.018	down	0.0416	0.035	down	Adhesion molecules
Vascular endothelial growth factor C	VEGFC	25.05	0.028	up	19.84	0.034	up	Growth factors and receptors
Hepatocyte growth factor	HGF	23.86	0.04	up	8.476	0.0013	up	Growth factors and receptors
Transforming growth factor, alpha	TGFA	16.34	0.035	up	28.18	0.02	up	Growth factors and receptors
Platelet-derived growth factor alpha polypeptide	PDGFA	11.88	0.02	up	8.206	0.04	up	Growth factors and receptors
TEK tyrosine kinase, endothelial	TEK	10.34	0.047	up	0.248	0.007	down	Growth factors and receptors
Ephrin-A3	EFNA3	9.65	0.037	up	13.77	0.034	up	Growth factors and receptors
Ephrin-B2	EFNB2	6.85	0.02	up	9.254	0.043	up	Growth factors and receptors
Neuropilin 2	NRP2	7.345	0.026	up	0.045	0.013	down	Growth factors and receptors
Tumor necrosis factor, alpha-induced protein 2	TNFAIP2	5.515	0.01	up	16	0.003	up	Growth factors and receptors
Jagged 1	JAG1	0.015	0.041	down	0.0146	0.04	down	Growth factors and receptors
Epidermal growth factor	EGF	0.211	0.012	down	0.0963	0.006	down	Growth factors and receptors
