Symbol	Description	CL	AAG-AA (U133Av2) FC	AAG-AA (U133Av2) P-value	CAG-CA (U95Av2) FC	CAG-CA (U95Av2) P-value
AMIGO2	Adhesion molecule with Ig-like domain 2	12q13.11	-1.52	0.0498	-2.01	0.0011
BMP1	Bone morphogenetic protein 1	8p21	-1.92	0.0005	-2.08	0.0001
CD97	CD97 molecule	19p13	-1.65	0.0015	-1.36	0.0008
CRIP2	Cysteine-rich protein 2	14q32.3	-2.58	0	-1.44	0.0034
DGKA	Diacylglycerol kinase, alpha 80 kDa	12q13.3	-1.54	0.0034	-1.28	0.0001
DMPK	Dystrophia myotonica-protein kinase	19q13.3	-2.45	0	-1.62	0.0021
EFHD1	EF-hand domain family, member D1	2q37.1	-4	0	-2.01	0.0011
GPC1	glypican 1	2q35-q37	-1.61	0.0032	-1.31	0.0026
MGLL	Monoglyceride lipase	3q21.3	-1.52	0.0083	-1.75	0.0005
MICAL2	Microtubule associated monoxygenase, calponin and LIM domain containing 2	11p15.3	-1.62	0.0186	-2.02	0.0013
NPAL3	NIPA-like domain containing 3	1p36.12-p35.1	-1.54	0.0034	-1.51	0.0079
PDGFA	Platelet-derived growth factor alpha polypeptide	7p22	-1.65	0.0076	-2.21	0.0004
SLC12A2	Solute carrier family 12, member 2	5q23.3	-1.61	0.0032	-1.51	0.0001
SLC12A4	Solute carrier family 12, member 4	16q22.1	-2.42	0.0007	-1.19	0.0046
SMTN	Smoothelin	22q12.2	-1.79	0.0162	-1.99	0.001
WWP2	WW domain containing E3 ubiquitin protein ligase 2	16q22.1	-1.87	0.0006	-1.39	0.0029
