# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|229479_at|229479_at	entrezgene|646324|646324	hgnc_symbol|LOC646324|LOC646324
affy_hg_u133_plus_2|37892_at|37892_at	entrezgene|1301|1301	hgnc_symbol|COL11A1|COL11A1
affy_hg_u133_plus_2|204320_at|204320_at	entrezgene|1301|1301	hgnc_symbol|COL11A1|COL11A1
affy_hg_u133_plus_2|223121_s_at|223121_s_at	entrezgene|6423|6423	hgnc_symbol|SFRP2|SFRP2
affy_hg_u133_plus_2|223122_s_at|223122_s_at	entrezgene|6423|6423	hgnc_symbol|SFRP2|SFRP2
affy_hg_u133_plus_2|229554_at|229554_at
affy_hg_u133_plus_2|226777_at|226777_at
affy_hg_u133_plus_2|209955_s_at|209955_s_at	entrezgene|2191|2191	hgnc_symbol|FAP|FAP
affy_hg_u133_plus_2|229271_x_at|229271_x_at
affy_hg_u133_plus_2|218469_at|218469_at	entrezgene|26585|26585	hgnc_symbol|GREM1|GREM1
affy_hg_u133_plus_2|210511_s_at|210511_s_at	entrezgene|3624|3624	hgnc_symbol|INHBA|INHBA
affy_hg_u133_plus_2|227140_at|227140_at
affy_hg_u133_plus_2|1555778_a_at|1555778_a_at	entrezgene|10631|10631	hgnc_symbol|POSTN|POSTN
affy_hg_u133_plus_2|206439_at|206439_at	entrezgene|1833|1833	hgnc_symbol|DSPC3|DSPC3
affy_hg_u133_plus_2|227566_at|227566_at	entrezgene|50863|50863	hgnc_symbol|HNT|HNT
affy_hg_u133_plus_2|218468_s_at|218468_s_at	entrezgene|26585|26585	hgnc_symbol|GREM1|GREM1
affy_hg_u133_plus_2|226311_at|226311_at
affy_hg_u133_plus_2|203083_at|203083_at	entrezgene|7058|7058	hgnc_symbol|THBS2|THBS2
affy_hg_u133_plus_2|219087_at|219087_at	entrezgene|54829|54829	hgnc_symbol|ASPN|ASPN
affy_hg_u133_plus_2|221729_at|221729_at	entrezgene|1290|1290	hgnc_symbol|COL5A2|COL5A2
affy_hg_u133_plus_2|227061_at|227061_at
affy_hg_u133_plus_2|217428_s_at|217428_s_at	entrezgene|1300|1300	hgnc_symbol|COL10A1|COL10A1
affy_hg_u133_plus_2|221730_at|221730_at	entrezgene|1290|1290	hgnc_symbol|COL5A2|COL5A2
affy_hg_u133_plus_2|221541_at|221541_at	entrezgene|83716|83716	hgnc_symbol|CRISPLD2|CRISPLD2
affy_hg_u133_plus_2|213909_at|213909_at	entrezgene|131578|131578	hgnc_symbol|LRRC15|LRRC15
affy_hg_u133_plus_2|223278_at|223278_at	entrezgene|2706|2706	hgnc_symbol|GJB2|GJB2
affy_hg_u133_plus_2|215446_s_at|215446_s_at	entrezgene|4015|4015	hgnc_symbol|LOX|LOX
affy_hg_u133_plus_2|210809_s_at|210809_s_at	entrezgene|10631|10631	hgnc_symbol|POSTN|POSTN
affy_hg_u133_plus_2|226997_at|226997_at
affy_hg_u133_plus_2|213790_at|213790_at
affy_hg_u133_plus_2|226695_at|226695_at	entrezgene|5396|5396	hgnc_symbol|PRRX1|PRRX1
affy_hg_u133_plus_2|212488_at|212488_at	entrezgene|1289|1289	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133_plus_2|212489_at|212489_at	entrezgene|1289|1289	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133_plus_2|228481_at|228481_at	entrezgene|10631|10631	hgnc_symbol|POSTN|POSTN
affy_hg_u133_plus_2|202952_s_at|202952_s_at	entrezgene|8038|8038	hgnc_symbol|ADAM12|ADAM12
affy_hg_u133_plus_2|204619_s_at|204619_s_at	entrezgene|1462|1462	hgnc_symbol|CSPC2|CSPC2
affy_hg_u133_plus_2|213338_at|213338_at	entrezgene|25907|25907	hgnc_symbol|RIS1|RIS1
affy_hg_u133_plus_2|235318_at|235318_at	entrezgene|2200|2200	hgnc_symbol|FBN1|FBN1
affy_hg_u133_plus_2|235629_at|235629_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|203878_s_at|203878_s_at	entrezgene|4320|4320	hgnc_symbol|MMP11|MMP11
affy_hg_u133_plus_2|214702_at|214702_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|202766_s_at|202766_s_at	entrezgene|2200|2200	hgnc_symbol|FBN1|FBN1
affy_hg_u133_plus_2|202450_s_at|202450_s_at	entrezgene|1513|1513	hgnc_symbol|CTSK|CTSK
affy_hg_u133_plus_2|205941_s_at|205941_s_at	entrezgene|1300|1300	hgnc_symbol|COL10A1|COL10A1
affy_hg_u133_plus_2|211571_s_at|211571_s_at	entrezgene|1462|1462	hgnc_symbol|CSPC2|CSPC2
affy_hg_u133_plus_2|202765_s_at|202765_s_at	entrezgene|2200|2200	hgnc_symbol|FBN1|FBN1
affy_hg_u133_plus_2|225242_s_at|225242_s_at	entrezgene|151887|151887	hgnc_symbol|CCDC80|CCDC80
affy_hg_u133_plus_2|215646_s_at|215646_s_at	entrezgene|1462|1462	hgnc_symbol|CSPC2|CSPC2
affy_hg_u133_plus_2|201150_s_at|201150_s_at	entrezgene|7078|7078	hgnc_symbol|TIMP3|TIMP3
affy_hg_u133_plus_2|226237_at|226237_at	entrezgene|1295|1295	hgnc_symbol|COL8A1|COL8A1
affy_hg_u133_plus_2|214587_at|214587_at	entrezgene|1295|1295	hgnc_symbol|COL8A1|COL8A1
affy_hg_u133_plus_2|232805_at|232805_at	entrezgene|1301|1301	hgnc_symbol|COL11A1|COL11A1
affy_hg_u133_plus_2|232458_at|232458_at	entrezgene|1281|1281	hgnc_symbol|COL3A1|COL3A1
affy_hg_u133_plus_2|203325_s_at|203325_s_at	entrezgene|1289|1289	hgnc_symbol|COL5A1|COL5A1
affy_hg_u133_plus_2|204464_s_at|204464_s_at	entrezgene|1909|1909	hgnc_symbol|EDNRA|EDNRA
affy_hg_u133_plus_2|204620_s_at|204620_s_at	entrezgene|1462|1462	hgnc_symbol|CSPC2|CSPC2
affy_hg_u133_plus_2|228367_at|228367_at	entrezgene|115701|115701	hgnc_symbol|ALPK2|ALPK2
affy_hg_u133_plus_2|213125_at|213125_at	entrezgene|25903|25903	hgnc_symbol|OLFML2B|OLFML2B
affy_hg_u133_plus_2|205991_s_at|205991_s_at	entrezgene|5396|5396	hgnc_symbol|PRRX1|PRRX1
affy_hg_u133_plus_2|221731_x_at|221731_x_at	entrezgene|1462|1462	hgnc_symbol|CSPC2|CSPC2
affy_hg_u133_plus_2|201852_x_at|201852_x_at	entrezgene|1281|1281	hgnc_symbol|COL3A1|COL3A1
affy_hg_u133_plus_2|212464_s_at|212464_s_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|202311_s_at|202311_s_at	entrezgene|1277|1277	hgnc_symbol|COL1A1|COL1A1
affy_hg_u133_plus_2|201792_at|201792_at	entrezgene|165|165	hgnc_symbol|AEBP1|AEBP1
affy_hg_u133_plus_2|212667_at|212667_at	entrezgene|6678|6678	hgnc_symbol|SPARC|SPARC
affy_hg_u133_plus_2|227399_at|227399_at	entrezgene|389136|389136	hgnc_symbol|VGLL3|VGLL3
affy_hg_u133_plus_2|216442_x_at|216442_x_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|205700_at|205700_at	entrezgene|8630|8630	hgnc_symbol|HSD17B6|HSD17B6
affy_hg_u133_plus_2|210495_x_at|210495_x_at	entrezgene|2335|2335	hgnc_symbol|FN1|FN1
affy_hg_u133_plus_2|228396_at|228396_at
affy_hg_u133_plus_2|205479_s_at|205479_s_at	entrezgene|5328|5328	hgnc_symbol|PLAU|PLAU
affy_hg_u133_plus_2|238852_at|238852_at	entrezgene|5396|5396	hgnc_symbol|PRRX1|PRRX1
affy_hg_u133_plus_2|209621_s_at|209621_s_at	entrezgene|27295|27295	hgnc_symbol|PDLIM3|PDLIM3
affy_hg_u133_plus_2|204589_at|204589_at	entrezgene|9891|9891	hgnc_symbol|NUAK1|NUAK1
affy_hg_u133_plus_2|211668_s_at|211668_s_at	entrezgene|5328|5328	hgnc_symbol|PLAU|PLAU
affy_hg_u133_plus_2|205713_s_at|205713_s_at	entrezgene|1311|1311	hgnc_symbol|COMP|COMP
affy_hg_u133_plus_2|243864_at|243864_at	entrezgene|151887|151887	hgnc_symbol|CCDC80|CCDC80
affy_hg_u133_plus_2|203876_s_at|203876_s_at	entrezgene|4320|4320	hgnc_symbol|MMP11|MMP11
affy_hg_u133_plus_2|205422_s_at|205422_s_at	entrezgene|9358|9358	hgnc_symbol|ITGBL1|ITGBL1
