MirProbe	Fetal cerebellum med	min	max	Medulloblastomamed	min	max	p
hsa-let-7a	0.706	3.66E-01	9.04E-01	0.271	0.058	1.282	<0.001
hsa-let-7b	0.538	3.83E-01	0.864	0.22	0.039	0.517	<0.001
hsa-let-7d	0.389	1.72E-01	0.443	0.08	0	0.262	<0.001
hsa-let-7e	0.469	2.62E-01	0.636	0.121	0.011	0.61	<0.001
hsa-let-7f	0.803	3.74E-01	1.17	0.23	0.032	0.545	<0.001
hsa-let-7g	0.723	3.23E-01	1.013	0.188	0.046	0.464	<0.001
hsa-let-7i	0.887	4.66E-01	1.461	0.116	0.024	0.318	<0.001
hsa-mir-9	5.073	9.36E-01	6.966	0.375	0.02	3.79	<0.001
hsa-mir-17	11.449	8.07E+00	13.186	7.678	0.618	45.131	0.034
hsa-mir-22	1.407	7.35E-01	2.034	0.312	0.047	1.965	<0.001
hsa-mir-26a	0.247	2.24E-01	0.288	0.142	0.014	0.541	0.001
hsa-mir-26b	0.648	3.57E-01	0.955	0.296	0	0.73	<0.001
hsa-mir-29c	0.038	3.00E-02	0.081	0.073	0.003	0.891	0.044
hsa-mir-30b	0.941	3.67E-01	0.949	0.322	0.028	0.881	<0.001
hsa-mir-30c	0.844	5.68E-01	1.171	0.355	0.027	1.018	<0.001
hsa-mir-31	0.027	1.30E-02	0.074	0.003	0	0.164	<0.001
hsa-mir-98	1.027	5.22E-01	1.163	0.26	0.013	1.724	0.001
hsa-mir-103	0.818	4.20E-01	0.822	0.162	0.026	0.778	<0.001
hsa-mir-107	0.49	1.95E-01	0.506	0.098	0.006	0.261	<0.001
hsa-mir-124a	0.558	2.82E-01	0.572	0.068	0.007	0.326	<0.001
hsa-mir-125a	0.404	3.41E-01	0.549	0.154	0.044	0.637	<0.001
hsa-mir-125b	2.319	8.21E-01	2.401	0.526	0.07	3.491	0.001
hsa-mir-127	0.573	1.47E-01	0.689	0.032	0.002	0.532	<0.001
hsa-mir-128a	0.697	6.04E-01	0.814	0.032	0.001	0.496	<0.001
hsa-mir-128b	0.848	7.16E-01	1.502	0.034	0.001	0.927	<0.001
hsa-mir-129	0.166	1.07E-01	0.196	0.01	0	0.588	0.001
hsa-mir-132	1.075	6.37E-01	1.153	0.141	0.016	0.526	<0.001
hsa-mir-133b	2.665	1.56E+00	2.689	0.084	0.007	1.783	<0.001
hsa-mir-134	0.945	8.58E-01	1.185	0.057	0.005	0.739	<0.001
hsa-mir-135a	14.225	8.03E+00	16.972	1.151	0	24.589	<0.001
hsa-mir-138	2.138	9.20E-01	2.658	0.04	0	0.918	<0.001
hsa-mir-143	0.981	7.57E-01	1.021	0.351	0.024	1.287	<0.001
hsa-mir-145	1.517	1.20E+00	3.01E+00	0.423	0.034	2.431	<0.001
hsa-mir-148a	10.522	2.89E+00	12.405	2.917	0.171	26.346	0.034
hsa-mir-149	1.392	1.09E+00	1.397	0.154	0.013	1.488	<0.001
hsa-mir-150	0.89	6.31E-01	1.011	0.209	0.016	1.241	<0.001
hsa-mir-153	0.425	3.88E-01	0.459	0.068	0.003	3.188	0.013
hsa-mir-154	0.413	1.86E-01	0.58	0.04	0.002	0.526	<0.001
hsa-mir-155	2.004	1.78E+00	4.49	1.023	0.199	2.829	<0.001
hsa-mir-181b	0.725	1.99E-01	8.37E-01	0.147	0.017	1.444	0.011
hsa-mir-181c	1.007	9.76E-01	1.441	0.47	0	4.134	0.006
hsa-mir-190	1.031	5.62E-01	1.432	0.142	0	1.94	<0.001
hsa-mir-191	0.837	6.54E-01	1.101	0.322	0.034	1.712	0.009
hsa-mir-192	0.296	2.03E-01	0.351	0.164	0.016	1.075	0.017
hsa-mir-194	0.349	0.14	0.441	0.126	0	0.635	0.001
hsa-mir-199b	3.48E+01	7.764	5.47E+01	2.531	0.001	56.948	<0.001
hsa-mir-203	9.56	2.404	17.06	1.305	0	129.971	0.034
hsa-mir-212	0.754	0.559	1.204	0.216	0.031	0.837	<0.001
hsa-mir-219	0.16	0.143	2.425	0.058	0.002	0.452	0.001
hsa-mir-221	2.406	1.496	6.86	0.435	0	6.39	<0.001
hsa-mir-320	0.777	0.63	0.964	0.204	0.027	1.323	<0.001
hsa-mir-323	1.22	0.405	1.639	0.027	0.002	0.651	<0.001
hsa-mir-324	1.192	0.386	1.281	0.213	0.006	0.894	<0.001
hsa-mir-324	1.82	0.469	1.901	0.22	0.057	0.81	<0.001
hsa-mir-326	0.411	0.287	0.565	0.081	0	0.545	<0.001
hsa-mir-328	0.499	0.216	0.569	0.07	0.008	0.5	<0.001
hsa-mir-330	0.201	0.107	0.719	0.041	0.002	0.426	<0.001
hsa-mir-331	1.037	0.419	1.229	0.229	0.042	1.347	<0.001
hsa-mir-346	0.516	0.289	1.214	0.071	0	0.951	<0.001
hsa-mir-361	1.968	0.482	2.069	0.461	0.107	5.611	0.001
hsa-mir-370	0.744	0.454	1.373	0.082	0.023	0.512	<0.001
hsa-mir-372	4.683	0.051	8.418	0.001	0	9.033	<0.001
hsa-mir-381	0.226	0.183	0.262	0.058	0	1.25	0.013
hsa-mir-382	0.818	0.426	1.334	0.058	0	0.682	<0.001
hsa-mir-383	0.574	0.27	0.878	0.008	0	0.33	<0.001
hsa-mir-425	0.752	0.507	1.443	0.33	0.018	1.406	<0.001
