Curated Gene Symbol	A. qPCR results Gene name	A. qPCR results 0.5 mM	A. qPCR results 1 mM	A. qPCR results 2 mM	A. qPCR results 3.2 mM	A. qPCR results 6 mM	A. qPCR results 8 mM	B. Microarray results Gene name	B. Microarray results 0.5 mM	B. Microarray results 1 mM	B. Microarray results 2 mM	B. Microarray results 3.2 mM	B. Microarray results 6 mM	B. Microarray results 8 mM
CAT	CAT	0.1	0.2	0.2	-0.3	-0.6	ND	CAT	1.1	1.1	1	-1.2	-1.3	1.2
ABCB1	ABCB1:MDR1	2.2	2.5	2.5	2.1	3.1	2.5	ABCB1:MDR1	2.7	2.5	2.2	2.7	3.4	4.1
ABCB11	ABCB11:BSEP	2.2	2	1.9	2.2	1.8	ND	ABCB11:BSEP	1.7	1.8	1.3	2.1	1.2	-1.5
CD14	CD14	1.3	1.8	2.3	3	1.6	ND	CD14	1.9	2.1	2.4	1.9	1.2	1.4
CRP	CRP	0.9	1.5	1.1	2	-3.7	-2.9	CRP	-1.5	-1.8	2.3	3.4	-2.9	-4.8
CYP2B6	CYP2B6	3.6	4.5	3.5	3.5	3	2.2	CYP2B6	3.7	4.1	2.3	1.8	1.9	1.9
CYP3A4	CYP3A4	6.1	7	6.8	6.3	5.2	3	CYP3A4	16.9	16	4.3	3.7	2.5	2.9
CYP3A5	CYP3A5	1.9	2.3	2.6	3.8	3.3	2.4	CYP3A5	1.5	1.4	1.6	2.5	8.1	6.1
CYP3A7	CYP3A7	3.7	4.7	4.3	4.8	5.7	4.9	CYP3A7	4.3	4	2.9	2.5	2.9	2.8
GSTA1/2	GSTA1/2	ND	-0.4	-1.9	-2.4	-3.7	-3.3	GSTA1	1.2	1.2	-1.1	-2.5	-4.7	-2.6
IL1B	IL1B	-0.7	0.7	2.5	4	6.3	5.3	IL1B	1.5	3.3	10.4	28.6	65.7	41.8
MYC	MYC	0.2	0.1	0.2	0.4	2	5	MYC	1.1	1.1	1.8	3.8	13.4	25.7
NR1I3	NR1I3:CAR	0.3	1.3	1.4	2.2	4	4.7	NR1I3:CAR	1.4	1.6	1.8	2.5	6.8	4.4
NR1I2	NR1I2:PXR	ND	-0.2	-0.1	0.2	0.9	0.7	NR1I2:PXR	1	1.2	-1	1.1	1.7	1.5
SLC10A1	NTCP:SLC10A1	-0.4	-0.6	-1	-1.8	-0.8	ND	NTCP:SLC10A1	-1	-1.3	-1.1	-1.9	-1.8	-1.1
UGT1A1	UGT1A1	1.8	2	1.9	1.2	-0.9	ND	UGT1A1a	ND	ND	ND	ND	ND	ND
