Gene	Exposure to B[a]Pa	Retrieval of B[a]Pb
Tumor necrosis factor receptor superfamily, member 9	7.81	2.02
Cysteine-rich, angiogenic inducer, 61	7.26	2.52
Similar to v-ets avian erythroblastosis virus E26 oncogene homolog 1	6.95	0.6
Tumor necrosis factor (ligand) superfamily, member 7	6.95	2.24
Epiregulin	4.81	1.07
Transforming growth factor, beta 2	3.98	1.64
Similar to placental growth factor, vascular endothelial growth factor-related protein	3.65	1.77
Basic fibroblast growth factor	3.58	1.38
Epidermal growth factor receptor	3.26	0.6
Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	2.74	0.8
Notch (Drosophila) homolog 2	2.27	0.99
