Well ID	UG cluster	GeneBank	Gene Symbol	Fold-difference (LGDN/CN)	Parametric p-value
1178926	Hs.59729	56920	SEMA3G	1.66	1.67E-05
1175972	Hs.287717	10400	PEMT	0.66	1.83E-05
1180570	Hs.83147	2794	GNL1	1.34	5.93E-05
1179930	Hs.77269	2771	GNAI2	1.67	8.26E-05
1189310		26086	GPSM1	1.45	8.40E-05
1179456	Hs.515094	9322	TRIP10	1.55	8.71E-05
1177110	Hs.454418	8861	LDB1	1.46	1.03E-04
1177104	Hs.476402	50650	ARHGEF3	1.66	1.03E-04
1189456	Hs.243678	30812	SOX8	1.72	1.14E-04
1178623	Hs.54415	1448	CSN3	1.47	1.16E-04
1192712	Hs.631638	81890	QTRT1	1.43	1.18E-04
1175008	Hs.517478	23523	CABIN1	1.52	1.47E-04
1180219	Hs.129244	9777	TM9SF4	1.64	1.87E-04
1178708	Hs.433845	112802	KRT71	1.76	2.06E-04
1192820	Hs.567527	55199	FAM86C	1.47	2.13E-04
1190179	Hs.98259	23034	SAMD4A	1.65	2.5160E-04
1179755	Hs.75799	5652	PRSS8	1.51	2.5330E-04
1181118	Hs.518451	5293	PIK3CD	1.59	2.6440E-04
1185885	Hs.631644	27151	CPAMD8	1.80	2.7550E-04
1193639	Hs.343571	4849	CNOT3	1.26	3.1390E-04
1194952	Hs.554634			0.73	3.2610E-04
1192226	Hs.56294	9363	RAB33A	1.60	3.4440E-04
1193144	Hs.636871			1.32	3.5270E-04
1188428	Hs.113150	253959	GARNL1	1.63	3.6200E-04
1192564	Hs.518322	339829	CCDC39	1.48	3.6800E-04
1183020	Hs.288981	80224	NUBPL	1.46	3.7090E-04
1187523	Hs.438823	10061	ABCF2	1.43	3.7240E-04
1190480	Hs.532500			1.72	3.8150E-04
1184251	Hs.412597	1829	DSG2	1.57	4.1630E-04
1188159	Hs.151219	3798	KIF5A	1.63	4.2960E-04
1177260	Hs.133444	267004	PGBD3	1.66	4.5710E-04
1191295	Hs.192215	107	ADCY1	1.79	4.6700E-04
1194082	Hs.348883	2296	FOXC1	1.28	4.95E-04
1180710	Hs.632226	3691	ITGB4	1.66	5.1340E-04
1185606	Hs.148584	51333	ZNF771	1.43	5.1800E-04
1174612	Hs.5836	51649	MRPS23	1.63	5.8830E-04
1184121	Hs.369819	125058	TBC1D16	1.70	6.4050E-04
1183729	Hs.435290	11188	NISCH	1.54	6.4330E-04
1185558	Hs.567316	5194	PEX13	0.54	6.6140E-04
1193014	Hs.459379	50626	CYHR1	1.33	6.6590E-04
1175203	Hs.8867	3491	CYR61	3.45	7.0440E-04
1186284	Hs.189073	85465	SELI	0.60	7.2950E-04
1189996	Hs.529161	1	A1BG	1.37	8.2530E-04
1184794	Hs.102598	8174	MADCAM1	1.57	8.8040E-04
