Ref.Seq.	Gene Symbol	Illumina array fold change PMA6	Illumina array fold change PMA12	Illumina array fold change PMA24	Illumina array fold change PMA32	Illumina array fold change LPS	Illumina array fold change VitD3
NM_014220	HL6	20.6	88.5	96.3	96.5	128.2	1.1
NM_005368	MB	4.3	27.8	90.5	110.5	96.2	7.7
NM_000582	BNSP	7.6	31.1	84.1	118.1	110.9	1
NM_021796	PLAC1	1.8	11.8	34.6	39.1	34.3	-1.1
NM_002423	MMP7	1.9	2.7	29.9	61.4	36.5	-1.4
NM_002922	RGS1	15.9	25.6	28.6	26	29.9	-1.1
NM_018993	RIN2	9.5	18.2	23.2	18.9	14.4	1
NM_001955	EDN1	42.9	22.9	21.2	22.9	85.4	1
NM_000265	NCF1	3.4	11.2	18.6	21	17.8	3.8
NM_001332	CTNND2	1.5	4.9	15.7	20.4	12.8	1.1
NM_016270	KLF2	15.5	11.6	13.9	15.2	9.8	-1.3
NM_002167	ID3	1.8	3.4	11.9	6.2	38.9	2.7
NM_002203	CD49B	2	7	10.5	9.3	6.9	1
NM_000014	A2M	4.1	7.4	10.4	11.1	11.5	1.1
NM_001401	EDG2	4.4	9.2	10.3	8.8	6.6	-1.8
NM_152591	CCDC63	2.5	7.1	9.9	9.8	10.6	-1.1
NM_030820	COL20A1	1.2	2.8	8.8	7.7	7.4	-1.1
NM_004994	MMP9	2.4	6	8.4	10.1	8.3	-1.2
NM_004926	BERG36	6.5	8.1	8.2	7.7	9.9	-1.4
NM_001200	BMP2	15.2	13.6	8.1	4.1	10.3	-1.2
NM_015271	RNF86	2.6	5.5	8.1	10	7	-1
NM_021952	ELAVL4	7.3	8.1	8	7.9	6.8	-1.1
NM_001706	BCL6	7.1	8.3	7.6	7.6	19.5	1.6
NM_001565	CXCL10	1.4	1.5	7.5	12.6	23.4	-1
NM_005627	SGK	3.4	4.9	7.5	6.6	13	-1
NM_007351	ECM	3.3	7.2	7.3	8.4	8	1.1
NM_206827	RASL11A	1.2	4.3	7.2	6	4.5	1.2
NM_002983	CCL3	8.9	8.9	7.1	8.2	197.3	1.4
NM_003294	ALPHAII	2.4	4.6	7.1	9.4	8.6	1.1
NM_153370	PI16	1	1.6	6.9	10.3	6.9	1
NM_003986	BBH	1.7	3	6.8	9.8	6.6	-1.2
NM_025113	C13ORF18	2.5	4.7	6.7	5.3	14.8	1.3
NM_005449	TOSO	3.7	8.4	6.4	6	7	1.4
NM_000389	P21	2.4	4.2	6.1	6.1	11.8	1.3
NM_001001437	CCL3L3	8.5	7.8	6	6.1	187	1.2
NM_001268	CHC1L	1.6	3.4	6	6.8	4.7	1.1
NM_206939	CD20L4	-1.2	2.8	5.9	8.3	6.9	-2
NM_004615	A15	1.2	3.5	5.8	6.3	4.8	-1.3
NM_016134	PGCP	1.4	3	5.7	7.1	5.4	-1.1
NM_005211	CD115	2.2	5.6	5.6	4.8	5.1	1.7
NM_147130	LY117	2.8	5.3	5.6	4.5	5.3	1.2
NM_013445	GAD	1.1	3.9	5.6	5.9	5	-1.2
NM_007079	PRL3	1.6	3.9	5.6	7.9	7.1	-1.2
NM_032199	ARID5B	7	5	5.5	5.7	6.6	-2.1
NM_001257	CDH13	1	2.7	5.5	5.6	5.1	-1.2
NM_001017998	GNG10	2	4.3	5.5	7.4	5.3	1.5
NM_005842	HSPRY2	4.3	5.8	5.4	5.2	4.1	-1
NM_016257	HLP4	1.2	2.7	5.4	7	5.3	1.2
NM_052815	DIF2	6.8	5.1	5.3	4.7	157.7	1.1
NM_014862	ARNT2	2.5	5.4	5.3	4.8	5.3	-1
