Probe	Gene	Adjusted P-value	Fold change
216231_s_at	B2M	0.023	0.77
211530_x_at	HLA-G	0.006	0.76
210514_x_at	HLA-G	0.023	0.75
217456_x_at	HLA-E	0.044	0.74
211529_x_at	HLA-G	0.04	0.73
211528_x_at	HLA-G	0.023	0.69
204806_x_at	HLA-F	0.022	0.69
202307_s_at	TAP1	0.043	0.67
214459_x_at	HLA-C	0.017	0.61
216526_x_at	HLA-C	0.02	0.61
208812_x_at	HLA-C	0.025	0.58
211911_x_at	HLA-B	0.049	0.58
208729_x_at	HLA-B	0.023	0.57
204279_at	LMP2	0.037	0.57
211799_x_at	HLA-C	0.003	0.55
209140_x_at	HLA-B	0.041	0.55
200904_at	HLA-E	0.026	0.55
203932_at	HLA-DMB	0.015	0.53
217362_x_at	HLA-DRB6	0.007	0.51
211654_x_at	HLA-DQB1	0.02	0.46
213537_at	HLA-DPA1	0.031	0.42
211656_x_at	HLA-DQB1	0.021	0.38
209823_x_at	HLA-DQB1	0.029	0.38
212998_x_at	HLA-DQB1	0.048	0.36
201137_s_at	HLA-DPB1	0.004	0.33
212671_s_at	HLA-DQA1	0.041	0.32
217478_s_at	HLA-DMA	0.005	0.27
208306_x_at	HLA-DRB4	0.002	0.26
204670_x_at	HLA-DRB5	0.001	0.26
211991_s_at	HLA-DPA1	0.004	0.23
211990_at	HLA-DPA1	0.009	0.21
215193_x_at	HLA-DRB1	0.004	0.17
209312_x_at	HLA-DRB1	0.002	0.16
209619_at	CD74	0.001	0.12
208894_at	HLA-DRA	0.002	0.1
210982_s_at	HLA-DRA	0.002	0.1
