Symbol	p value	FC
S100A6	0.019028	2.0002
RNASET2	0.006686	2.0165
MT1H	0.003445	2.0475
S100A9	0.017515	2.0885
FN5	0.013342	2.1468
CD300A	0.000864	2.1544
FGR	0.009879	2.1941
CD97	0.007485	2.2044
MT1X	0.001294	2.2122
GBP1	0.004938	2.3334
CX3CR1	0.012371	2.3472
TNFSF13	0.010068	2.352
LOC441168	0.004813	2.3726
SAMD9L	0.01406	2.3893
HLA-DPB1	0.015645	2.4265
SAMHD1	0.003019	2.4624
SERPINA1	0.00763	2.463
GBP1	0.005006	2.4888
FGL2	0.007811	2.6573
DF	0.013175	2.7446
TYROBP	0.007507	2.8639
LOC441168	0.014525	3.2665
EGR1	0.00334	3.2916
FCGR3B	0.002868	4.1952
C3AR1	0.002707	4.5817
EGR1	0.007242	4.6155
MAGED1	0.001644	-2.0342
SEC11L3	0.011854	-2.0503
KIAA0746	0.015464	-2.0754
UBE2G1	0.003307	-2.1036
TPD52	0.003567	-2.2114
GMNN	0.009426	-2.2142
SMC4L1	0.009866	-2.2396
UBE2J1	0.000419	-2.3147
IGKV1D-13	0.011292	-2.3235
PPAPDC1B	0.004347	-2.3491
PACAP	0.016535	-2.367
PACAP	0.015153	-2.4229
LOC91353	0.007524	-2.578
IGLC2	0.010428	-2.6368
TNFRSF17	0.009406	-2.7543
POU2AF1	0.00391	-2.7707
IGLC2	0.005057	-2.9244
IGLC2	0.001172	-3.0718
