probe set	Gene	Gene	Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	min p-value
GgaAffx.23623.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	-0.36	5.29	5.65	0.00007
Gga.150.2.S2_at	FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AJ539547.1	374100	-1.39	3.98	5.36	0.000425
Gga.666.1.S1_a_at	VIP	vasoactive intestinal peptide	NM_205366.1	396323	-0.01	5.27	5.27	0.000007
Gga.5778.1.S1_a_at	LOC769246	hypothetical protein LOC769246	CR406934.1	0	0.39	5.48	5.09	0.000032
Gga.817.1.S1_at	PLAU	plasminogen activator, urokinase	NM_205443.1	396424	1.07	5.49	4.42	0.000178
Gga.10167.1.S1_at	NTS	neurotensin	BX935235.1	417883	-1.12	3.17	4.29	0.004621
GgaAffx.23623.1.S1_s_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	0.76	5.01	4.25	0.000021
Gga.10658.1.S1_at	Finished cDNA, clone ChEST1007e10	Finished cDNA, clone ChEST1007e10	BU321027	423497	0.85	5.09	4.24	0.000036
Gga.11456.1.S1_at	LOC418268	similar to PLCPI=cysteine proteinase inhibitor	CK611983	418268	0.05	4.18	4.13	0.000127
GgaAffx.23623.2.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019050.1	423497	0.61	4.62	4.01	0.000065
Gga.15105.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	BU451588	423497	0.12	3.71	3.59	0.000952
Gga.512.1.S1_at	K60	K60 protein	NM_205018.1	395872	0.89	4.44	3.55	0.003084
Gga.10763.1.S1_at	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	NM_213572.1	404747	0.43	3.75	3.32	0.000009
Gga.20018.1.S1_at	PODXL	podocalyxin-like	BU290246	395756	-0.42	2.82	3.24	0.00018
Gga.12998.1.S1_at	LOC420209	similar to carbonic anhydrase III	CR352666.1	420209	-1.4	1.81	3.21	0.000028
Gga.4420.2.S1_at	RTN1	reticulon 1	U17606.1	378791	0.37	3.54	3.17	0.000049
Gga.2680.1.S1_at	AQP1	aquaporin 1	AL586137	420384	0.46	3.55	3.09	0.000337
GgaAffx.20869.1.S1_s_at	LOC772254	hypothetical protein LOC772254	CR523746.1	0	1.01	3.91	2.9	0.003222
Gga.7757.1.S1_at	UNC50	Unc-50 homolog (C. elegans)	CR387872.1	418691	0.22	3.07	2.86	0.002505
GgaAffx.24532.1.S1_at	LOC421712 /// LOC769246	hypothetical LOC421712 /// hypothetical protein LOC769246	ENSGALT00000023930.1	421712	0.2	3.06	2.86	0.003436
GgaAffx.8962.3.S1_at	LOC425324 /// LOC426333 /// LOC429938 /// LOC771168 /// LOC777249 /// RANBP2	RAN binding protein 2 /// similar to Ran-binding protein 2 /// similar to RanBP2 (Ran-binding protein 2) /// hypothetical LOC429938 /// hypothetical protein LOC777249	ENSGALT00000004320.1	425245	1.75	4.59	2.84	0.000499
Gga.2967.1.S1_at	ITGA6	integrin, alpha 6	NM_205289.1	396226	-1.17	1.68	2.84	0.005954
Gga.16544.1.S1_s_at	RCJMB04_10k5	chloride intracellular channel 2	BM487194	422178	0.31	3.14	2.83	0.000003
Gga.3341.1.S1_at	PODXL	podocalyxin-like	BU455120	395755	-0.14	2.65	2.79	0.001449
Gga.255.1.S1_at	K203	chemokine K203	NM_204720.1	395468	-0.5	2.28	2.78	0.018864
Gga.150.2.S1_a_at	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AB065373.1	374100	-0.34	2.41	2.75	0.006124
Gga.14925.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	CR386440.1	418692	0.85	3.58	2.73	0.000228
Gga.826.1.S1_s_at	IL8	interleukin 8	M16199.1	396495	1.26	3.82	2.56	0.00063
GgaAffx.9262.1.S1_at	MT3	metallothionein 3	ENSGALT00000023565.1	0	0.07	2.6	2.53	0.000731
GgaAffx.8079.1.S1_at	LOC425843	similar to ADAM 12	ENSGALT00000020796.1	425843	-1.16	1.37	2.52	0.003485
Gga.2967.1.S2_at	ITGA6	integrin, alpha 6	BU139443	396226	-0.74	1.76	2.5	0.000417
GgaAffx.3119.1.S1_at	LOC426482	similar to rai-like protein RaLP	ENSGALT00000008025.1	0	-1.3	1.15	2.45	0.006548
Gga.2722.1.S1_a_at	CKB	creatine kinase, brain	NM_205310.1	396248	-0.09	2.34	2.44	0.02277
GgaAffx.9633.1.S1_s_at	RCJMB04_19h3	betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	ENSGALT00000024447.1	421092	-0.82	1.56	2.38	0.007155
Gga.17590.1.S1_s_at	RCJMB04_10k5	chloride intracellular channel 2	BU219915	422178	0.44	2.76	2.31	0.000021
GgaAffx.8298.1.S1_at	UPP1	uridine phosphorylase 1	ENSGALT00000021347.1	420942	0.62	2.91	2.29	0.002217
Gga.12407.1.S1_at	LOC422654	similar to K60 protein	CR386350.1	422654	1.46	3.74	2.28	0.000996
GgaAffx.25281.1.S1_at	LOC768624	similar to Ttc9 protein	ENSGALT00000028355.1	0	-0.44	1.81	2.25	0.000046
GgaAffx.6884.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017704.1	422580	-0.68	1.57	2.25	0.001877
Gga.16627.1.S1_at	LOC419930	hypothetical LOC419930	CN236982	419930	0.19	2.38	2.19	0.008889
Gga.16855.1.S1_at	FRMD4B	FERM domain containing 4B	BU124625	426071	-0.24	1.94	2.19	0.000124
Gga.7566.1.S1_at	LOC424918	hypothetical LOC424918	BU216714	424918	0.47	2.64	2.18	0.000286
Gga.11969.1.S1_at	CYTL1	cytokine-like 1	BU111245	422849	2.18	4.33	2.14	0.000902
Gga.4696.1.S1_at	Finished cDNA, clone ChEST1032a5	Finished cDNA, clone ChEST1032a5	BU337785	0	0.63	2.77	2.14	0.000729
Gga.17014.1.S1_at	Finished cDNA, clone ChEST973g12	Finished cDNA, clone ChEST973g12	BU447894	0	0.6	2.74	2.14	0.000755
Gga.16070.1.S1_s_at	LOC422580	hypothetical LOC422580	BU323883	0	0.04	2.17	2.14	0.000127
Gga.16271.1.S1_at	NAV2	Neuron navigator 2	BU285321	422977	0.55	2.68	2.13	0.008232
Gga.19378.1.S1_at	Finished cDNA, clone ChEST761o6	Finished cDNA, clone ChEST761o6	CR406622.1	0	-0.31	1.83	2.13	0.007952
GgaAffx.9256.1.S1_s_at	RCJMB04_11h6	complement component 1, s subcomponent	ENSGALT00000023544.1	418294	1	3.09	2.09	0.001272
Gga.19921.1.S1_at	NBEAL1	neurobeachin-like 1	CR407218.1	424110	0.44	2.53	2.09	0.003315
Gga.10042.1.S1_a_at		Gga.10042.1	BX930945.2	418367	0.06	2.15	2.09	0.002746
Gga.697.1.S1_at	Yrk mRNA	Yrk mRNA	X67786.1	0	1.64	3.71	2.08	0.000076
GgaAffx.8079.2.S1_s_at	LOC425843	similar to ADAM 12	ENSGALT00000020797.1	425843	-0.5	1.57	2.08	0.002079
GgaAffx.7917.1.S1_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	ENSGALT00000020391.1	424315	-0.05	2.01	2.06	0.004765
Gga.5148.1.S2_s_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	BU311722	395083	-0.58	1.49	2.06	0.002244
Gga.3060.1.S2_at		Gga.3060.1	BU253330	395714	-0.59	1.47	2.06	0.011251
GgaAffx.20689.1.S1_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	CR523926.1	395879	1.22	3.27	2.05	0.001735
Gga.3572.1.S2_s_at	CD44	CD44 molecule	NM_204860.1	395666	-0.29	1.76	2.05	0.00328
GgaAffx.22457.1.S1_s_at	ACSL4	acyl-CoA synthetase long-chain family member 4	ENSGALT00000013127.1	422345	-0.04	2	2.04	0.000058
Gga.11430.1.S1_at	PENK	proenkephalin	BU351001	421131	-0.15	1.89	2.04	0.038249
Gga.8114.1.S1_at	Finished cDNA, clone ChEST481h16	Finished cDNA, clone ChEST481h16	BU383914	0	-0.1	1.94	2.03	0.030111
GgaAffx.21283.1.S1_at	Finished cDNA, clone ChEST575l12	Finished cDNA, clone ChEST575l12	CR523332.1	0	-0.36	1.66	2.02	0.000652
GgaAffx.10732.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	ENSGALT00000027052.1	418692	0.45	2.43	1.99	0.000038
Gga.13428.1.S1_at	Finished cDNA, clone ChEST132j5	Finished cDNA, clone ChEST132j5	BU263834	0	1.58	3.54	1.97	0.004224
GgaAffx.26027.1.S1_at	SRC	v-src sarcoma viral oncogene	ENSGALT00000006127.1	0	4.03	5.98	1.95	0
Gga.385.1.S1_at	DUSP4	dual specificity phosphatase 4	NM_204838.1	395642	-0.32	1.62	1.94	0.000846
Gga.1287.1.S1_at	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	AL585963	421460	0.69	2.61	1.91	0.012519
GgaAffx.8765.3.S1_s_at	LOC426962	hypothetical LOC426962	ENSGALT00000004373.1	425078 /// 426962	0.33	2.24	1.91	0.000045
Gga.7640.1.S1_a_at	ACSL4	acyl-CoA synthetase long-chain family member 4	BU124116	0	-0.09	1.8	1.89	0.000047
Gga.8500.1.S1_at	RGS2	regulator of G-protein signalling 2, 24kDa	NM_204395.1	378912	0.79	2.68	1.88	0.000396
Gga.7640.2.S1_at	ACSL4	acyl-CoA synthetase long-chain family member 4	BU342317	422346	0.08	1.96	1.88	0.000061
GgaAffx.24239.1.S1_s_at	TIAM2	T-cell lymphoma invasion and metastasis 2	ENSGALT00000022192.1	0	-0.11	1.76	1.87	0.000219
Gga.5393.1.S1_at		Gga.5393.1	BX934487.1	0	0.63	2.49	1.86	0.000034
GgaAffx.8074.2.S1_s_at	LOC425843	similar to ADAM 12	ENSGALT00000020792.1	425843	-0.53	1.32	1.85	0.004643
GgaAffx.12948.1.S1_s_at	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	AJ720845	421460	0.69	2.53	1.84	0.011879
Gga.6203.1.S1_at	LOC771493	similar to BTB (POZ) domain containing 11	BX935101.2	0	0.18	2.03	1.84	0.001886
GgaAffx.23371.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017703.1	422580	0.04	1.87	1.84	0.003829
GgaAffx.9235.2.S1_s_at	FRMD4B	FERM domain containing 4B	ENSGALT00000023501.1	0	-0.44	1.4	1.84	0.006499
Gga.1694.1.S1_at	LOC768624	similar to Ttc9 protein	BU445157	0	-0.11	1.71	1.82	0.000026
Gga.11146.1.S1_s_at	LOC426857	similar to ATPase, Class I, type 8B, member 1; benign recurrent intrahepatic cholestasis; familial intrahepatic cholestasis 1, (progressive, Byler disease and benign recurrent); progressive familial intrahepatic cholestasis 1, Byler disease; ATPase...	BU296486	0	0.25	2.06	1.81	0.01485
Gga.5148.1.S1_at	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	NM_204439.1	395083	-0.08	1.73	1.81	0.005846
Gga.8277.1.S1_at		Gga.8277.1	BX259588	0	1.51	3.3	1.79	0.000011
Gga.1111.1.S1_a_at	USP18	ubiquitin specific peptidase 18	CR389337.1	418167	0.31	2.09	1.78	0.000278
Gga.3615.1.S2_at	FST	follistatin	BU435111	396119	-0.19	1.59	1.78	0.000165
GgaAffx.2225.1.S1_s_at	RCJMB04_22p13	acyltransferase like 1	ENSGALT00000005659.1	415716	-0.47	1.31	1.78	0.000637
GgaAffx.8074.1.S1_at	LOC425843	similar to ADAM 12	ENSGALT00000020791.1	425843	-0.41	1.36	1.77	0.003647
Gga.16285.1.S1_at	Finished cDNA, clone ChEST140e21	Finished cDNA, clone ChEST140e21	BU337922	0	0.23	1.98	1.76	0.002582
Gga.12155.1.S1_at	LOC422488	Similar to beta-1,4-N-acetylgalactosaminyltransferase	BU409786	0	0.19	1.95	1.76	0.000039
Gga.392.1.S1_at	PLEK	pleckstrin	NM_204863.1	395669	0.13	1.89	1.76	0.001259
Gga.3259.1.S1_at	ANGPT2	angiopoietin 2	NM_204817.1	395610	-0.1	1.66	1.76	0.015996
Gga.12444.1.S2_s_at	RCJMB04_24e7	calmodulin 1 (phosphorylase kinase, delta)	BU118678	0	-0.48	1.27	1.76	0.003082
Gga.5170.1.S1_s_at	PODXL	podocalyxin-like	BU327337	395756	0.55	2.3	1.75	0.000423
Gga.14725.1.S1_at	RCJMB04_19h3	betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	BU352300	421092	0.01	1.73	1.72	0.00791
Gga.3867.1.S1_at	PRNP	prion protein (p27-30)	NM_205465.1	396452	-0.03	1.69	1.72	0.000131
Gga.8349.1.S1_at		Gga.8349.1	BX277266	0	-0.38	1.35	1.72	0.039054
GgaAffx.21279.1.S1_at	UPP1	uridine phosphorylase 1	CR523336.1	420942	0.63	2.33	1.7	0.004295
Gga.14417.2.S1_a_at	LOC419837	Similar to solute carrier family 41 member 1	BU343670	0	0.09	1.78	1.69	0.007685
Gga.19230.1.S1_s_at	EAF2	ELL associated factor 2	CR406825.1	424243	0.03	1.72	1.69	0.000113
GgaAffx.454.1.S1_s_at	LOC419837	similar to solute carrier family 41 member 1	ENSGALT00000001020.1	419837	0	1.69	1.69	0.008507
GgaAffx.7265.1.S1_at	LOC417920	similar to PCTAIRE protein kinase 2	ENSGALT00000018679.1	417920	-0.31	1.38	1.69	0.001112
GgaAffx.24312.1.S1_at	LOC421692	similar to phosphodiesterase 7B	ENSGALT00000022595.1	421692	0.44	2.13	1.68	0.000859
Gga.16505.1.S1_s_at		Finished cDNA, clone ChEST398p5 /// Finished cDNA, clone ChEST626l20	CR385096.1	0	-0.55	1.12	1.67	0.031254
GgaAffx.1647.1.S1_s_at	RCJMB04_23c3	Vac14 homolog (S. cerevisiae)	ENSGALT00000003878.1	415678	-0.28	1.37	1.66	0.007909
Gga.3327.1.S1_at	NOS2A	nitric oxide synthase 2A (inducible, hepatocytes)	NM_204961.1	395807	0.76	2.41	1.65	0.020535
GgaAffx.7341.1.S1_at	LOC421582	similar to extraneuronal monoamine transporter	ENSGALT00000018901.1	0	0.06	1.71	1.65	0.000121
GgaAffx.13061.1.S1_at	RCJMB04_31c6	ring finger and FYVE-like domain containing 1	AJ720958	417529	0.88	2.51	1.64	0.009041
Gga.12209.2.S1_a_at	LOC422672	similar to VLLH2748	BX929915.1	422672	0.33	1.98	1.64	0.000207
Gga.791.1.S1_at	IRF1	interferon regulatory factor 1	NM_205415.1	396384	0.76	2.39	1.62	0.003195
Gga.15768.1.S1_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	BU255099	424315	0.53	2.14	1.62	0.001374
GgaAffx.20379.1.S1_at		Finished cDNA, clone ChEST914o3	CR524236.1	0	-0.04	1.58	1.62	0.000453
Gga.9816.1.S1_s_at	RCJMB04_10k5	chloride intracellular channel 2	CK611115	422178	0.43	2.04	1.61	0.000224
Gga.9307.1.S1_at	NPTX2	neuronal pentraxin II	BU472016	416438	0.16	1.77	1.61	0.000615
GgaAffx.8313.1.S1_s_at	EPS8	epidermal growth factor receptor pathway substrate 8	ENSGALT00000021371.1	418174	0.15	1.76	1.61	0.006534
