Functional Class	Gene(s)	ABI Assay IDa
Housekeeping gene	18S	Hs99999901_s1
Housekeeping gene	GAPDH	Hs99999905_m1
Zinc finger transcription factors	WT1	Hs002400913_m1
Zinc finger transcription factors	EGR1	Hs00152928_m1
Zinc finger transcription factors	GATA2	Hs00231119_m1
Growth factor signaling	IGF-1	Hs00153126_m1
Growth factor signaling	IGF1-R	Hs00181385_m1
Growth factor signaling	IGFBP3	Hs00181211_m1
Growth factor signaling	FGF-2	Hs00266645_m1
Growth factor signaling	FGF-R3	Hs00179829_m1
Chemokines	CCL5	Hs00174575_m1
Chemokines	CXCL13	Hs00757930_m1
