# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|212899_at|212899_at	hgnc_symbol|CDC2L6|CDC2L6
affy_hg_u133a|218184_at|218184_at	hgnc_symbol|TULP4|TULP4
affy_hg_u133a|221430_s_at|221430_s_at	hgnc_symbol|RNF146|RNF146
affy_hg_u133a|212815_at|212815_at	hgnc_symbol|ASCC3|ASCC3
affy_hg_u133a|212184_s_at|212184_s_at	hgnc_symbol|MAP3K7IP2|MAP3K7IP2
affy_hg_u133a|201641_at|201641_at	hgnc_symbol|BST2|BST2
affy_hg_u133a|209285_s_at|209285_s_at	hgnc_symbol|C3ORF63|C3ORF63
affy_hg_u133a|203972_s_at|203972_s_at	hgnc_symbol|PEX3|PEX3
affy_hg_u133a|212179_at|212179_at	hgnc_symbol|SFRS18|SFRS18
affy_hg_u133a|203137_at|203137_at	hgnc_symbol|WTAP|WTAP
affy_hg_u133a|221493_at|221493_at	hgnc_symbol|TSPYL1|TSPYL1
affy_hg_u133a|205202_at|205202_at	hgnc_symbol|PCMT1|PCMT1
affy_hg_u133a|200876_s_at|200876_s_at	hgnc_symbol|PSMB1|PSMB1
affy_hg_u133a|216199_s_at|216199_s_at	hgnc_symbol|MAP3K4|MAP3K4
affy_hg_u133a|218376_s_at|218376_s_at	hgnc_symbol|MICAL1|MICAL1
affy_hg_u133a|208405_s_at|208405_s_at	hgnc_symbol|CD164|CD164
affy_hg_u133a|213271_s_at|213271_s_at	hgnc_symbol|DOPEY1|DOPEY1
affy_hg_u133a|218196_at|218196_at	hgnc_symbol|OSTM1|OSTM1
affy_hg_u133a|208857_s_at|208857_s_at	hgnc_symbol|PCMT1|PCMT1
affy_hg_u133a|200887_s_at|200887_s_at	hgnc_symbol|STAT1|STAT1
affy_hg_u133a|210105_s_at|210105_s_at	hgnc_symbol|FYN|FYN
affy_hg_u133a|201916_s_at|201916_s_at	hgnc_symbol|SEC63|SEC63
affy_hg_u133a|206150_at|206150_at	hgnc_symbol|CD27|CD27
affy_hg_u133a|203915_at|203915_at	hgnc_symbol|CXCL9|CXCL9
affy_hg_u133a|218603_at|218603_at	hgnc_symbol|HECA|HECA
affy_hg_u133a|214022_s_at|214022_s_at	hgnc_symbol|IFITM1|IFITM1
affy_hg_u133a|202531_at|202531_at	hgnc_symbol|IRF1|IRF1
affy_hg_u133a|218846_at|218846_at	hgnc_symbol|MED23|MED23
affy_hg_u133a|213357_at|213357_at	hgnc_symbol|GTF2H5|GTF2H5
affy_hg_u133a|203528_at|203528_at	hgnc_symbol|SEMA4D|SEMA4D
affy_hg_u133a|205988_at|205988_at	hgnc_symbol|CD84|CD84
affy_hg_u133a|221786_at|221786_at	hgnc_symbol|C6ORF120|C6ORF120
affy_hg_u133a|201999_s_at|201999_s_at	hgnc_symbol|DYNLT1|DYNLT1
affy_hg_u133a|206666_at|206666_at	hgnc_symbol|GZMK|GZMK
affy_hg_u133a|201393_s_at|201393_s_at	hgnc_symbol|IGF2R|IGF2R
affy_hg_u133a|217832_at|217832_at	hgnc_symbol|SYNCRIP|SYNCRIP
affy_hg_u133a|201084_s_at|201084_s_at	hgnc_symbol|BCLAF1|BCLAF1
affy_hg_u133a|218764_at|218764_at	hgnc_symbol|PRKCH|PRKCH
affy_hg_u133a|202910_s_at|202910_s_at	hgnc_symbol|CD97|CD97
affy_hg_u133a|221081_s_at|221081_s_at	hgnc_symbol|DENND2D|DENND2D
affy_hg_u133a|209670_at|209670_at	hgnc_symbol|TRAC|TRAC
affy_hg_u133a|209341_s_at|209341_s_at	hgnc_symbol|IKBKB|IKBKB
affy_hg_u133a|206854_s_at|206854_s_at	hgnc_symbol|MAP3K7|MAP3K7
affy_hg_u133a|208654_s_at|208654_s_at	hgnc_symbol|CD164|CD164
affy_hg_u133a|212515_s_at|212515_s_at	hgnc_symbol|DDX3X|DDX3X
affy_hg_u133a|208778_s_at|208778_s_at	hgnc_symbol|TCP1|TCP1
affy_hg_u133a|212368_at|212368_at	hgnc_symbol|ZNF292|ZNF292
affy_hg_u133a|220577_at|220577_at	hgnc_symbol|GVIN1|GVIN1
affy_hg_u133a|212641_at|212641_at	hgnc_symbol|HIVEP2|HIVEP2
affy_hg_u133a|201010_s_at|201010_s_at	hgnc_symbol|TXNIP|TXNIP
affy_hg_u133a|212875_s_at|212875_s_at	hgnc_symbol|C2CD2|C2CD2
affy_hg_u133a|212543_at|212543_at	hgnc_symbol|AIM1|AIM1
affy_hg_u133a|213295_at|213295_at	hgnc_symbol|CYLD|CYLD
affy_hg_u133a|218614_at|218614_at	hgnc_symbol|C12ORF35|C12ORF35
affy_hg_u133a|201360_at|201360_at	hgnc_symbol|CST3|CST3
affy_hg_u133a|217788_s_at|217788_s_at	hgnc_symbol|GALNT2|GALNT2
affy_hg_u133a|212441_at|212441_at	hgnc_symbol|KIAA0232|KIAA0232
affy_hg_u133a|213074_at|213074_at	hgnc_symbol|IRAK1BP1|IRAK1BP1
affy_hg_u133a|213293_s_at|213293_s_at	hgnc_symbol|TRIM22|TRIM22
affy_hg_u133a|202760_s_at|202760_s_at	hgnc_symbol|AKAP2|AKAP2
affy_hg_u133a|216598_s_at|216598_s_at	hgnc_symbol|CCL2|CCL2
affy_hg_u133a|219243_at|219243_at	hgnc_symbol|GIMAP4|GIMAP4
affy_hg_u133a|202241_at|202241_at	hgnc_symbol|TRIB1|TRIB1
affy_hg_u133a|202748_at|202748_at	hgnc_symbol|GBP2|GBP2
affy_hg_u133a|221972_s_at|221972_s_at	hgnc_symbol|SDF4|SDF4
affy_hg_u133a|200816_s_at|200816_s_at	hgnc_symbol|PAFAH1B1|PAFAH1B1
affy_hg_u133a|205831_at|205831_at	hgnc_symbol|CD2|CD2
affy_hg_u133a|213208_at|213208_at	hgnc_symbol|KIAA0240|KIAA0240
affy_hg_u133a|212888_at|212888_at	hgnc_symbol|DICER1|DICER1
affy_hg_u133a|221012_s_at|221012_s_at	hgnc_symbol|TRIM8|TRIM8
affy_hg_u133a|209034_at|209034_at	hgnc_symbol|PNRC1|PNRC1
affy_hg_u133a|209515_s_at|209515_s_at	hgnc_symbol|RAB27A|RAB27A
affy_hg_u133a|212176_at|212176_at	hgnc_symbol|SFRS18|SFRS18
affy_hg_u133a|210116_at|210116_at	hgnc_symbol|SH2D1A|SH2D1A
affy_hg_u133a|213375_s_at|213375_s_at	hgnc_symbol|CG018|CG018
affy_hg_u133a|212135_s_at|212135_s_at	hgnc_symbol|ATP2B4|ATP2B4
affy_hg_u133a|204116_at|204116_at	hgnc_symbol|IL2RG|IL2RG
affy_hg_u133a|203232_s_at|203232_s_at	hgnc_symbol|ATXN1|ATXN1
affy_hg_u133a|205456_at|205456_at	hgnc_symbol|CD3E|CD3E
affy_hg_u133a|208621_s_at|208621_s_at	hgnc_symbol|EZR|EZR
affy_hg_u133a|212753_at|212753_at	hgnc_symbol|PCGF3|PCGF3
affy_hg_u133a|203250_at|203250_at	hgnc_symbol|RBM16|RBM16
affy_hg_u133a|219598_s_at|219598_s_at	hgnc_symbol|RWDD1|RWDD1
affy_hg_u133a|214032_at|214032_at	hgnc_symbol|ZAP70|ZAP70
affy_hg_u133a|220132_s_at|220132_s_at	hgnc_symbol|CLEC2D|CLEC2D
affy_hg_u133a|209447_at|209447_at	hgnc_symbol|SYNE1|SYNE1
affy_hg_u133a|213539_at|213539_at	hgnc_symbol|CD3D|CD3D
affy_hg_u133a|218024_at|218024_at	hgnc_symbol|BRP44L|BRP44L
affy_hg_u133a|201412_at|201412_at	hgnc_symbol|LRP10|LRP10
affy_hg_u133a|209050_s_at|209050_s_at	hgnc_symbol|RALGDS|RALGDS
affy_hg_u133a|202643_s_at|202643_s_at	hgnc_symbol|TNFAIP3|TNFAIP3
affy_hg_u133a|216920_s_at|216920_s_at	hgnc_symbol|TRGV9|TRGV9
