microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-140	8.48E-04	4.28	up	35.92	153.63
hsa-mir-142	6.48E-03	3.79	up	1327.95	5037.92
hsa-mir-17	4.19E-02	1.75	up	122.26	213.71
hsa-mir-181d	1.57E-04	5.58	up	1.49	8.33
hsa-mir-19b-1	1.71E-03	2.07	up	1.92	3.96
hsa-mir-20a	6.78E-03	3.63	up	158.77	575.57
hsa-mir-21	4.24E-05	6.69	up	2254.74	15079.56
hsa-mir-30b	1.88E-03	1.78	up	464.12	824.83
hsa-mir-33a	1.77E-02	2.57	up	1.38	3.55
hsa-mir-362	2.46E-02	3.07	up	2.89	8.88
hsa-mir-454	4.33E-04	4.71	up	3.07	14.48
hsa-mir-1224	3.08E-03	2.65	down	16.91	6.39
hsa-mir-1226	4.66E-04	3.22	down	9.61	2.99
hsa-mir-1229	1.44E-02	2.46	down	8.24	3.35
hsa-mir-138-2	3.57E-03	2.62	down	3.63	1.39
hsa-mir-202	3.07E-04	4.06	down	7.86	1.93
hsa-mir-23a	4.98E-02	1.74	down	758.95	436.08
hsa-mir-23a	3.38E-06	3.74	down	4.13	1.1
hsa-mir-324	3.45E-04	3.26	down	523.06	160.41
hsa-mir-338	9.83E-08	4.61	down	5.32	1.15
hsa-mir-494	2.19E-02	3.59	down	304.08	84.78
hsa-mir-500	2.97E-07	4.24	down	16	3.78
hsa-mir-500	4.28E-02	1.83	down	7.76	4.23
hsa-mir-501	3.15E-07	3.84	down	9.62	2.5
hsa-mir-513a	9.67E-05	8.28	down	14.74	1.78
hsa-mir-513b	1.23E-04	5.21	down	6.58	1.26
hsa-mir-513c	1.16E-02	2.42	down	2.71	1.12
hsa-mir-550	2.37E-03	2.01	down	2.89	1.44
hsa-mir-575	2.37E-02	2.85	down	104	36.49
hsa-mir-638	1.25E-02	2.45	down	91.49	37.31
hsa-mir-671	6.83E-03	2.29	down	9.43	4.11
hsa-mir-744	3.78E-02	1.92	down	6.9	3.59
hsa-mir-765	3.70E-04	3.55	down	6.12	1.72
hsa-mir-768	1.25E-03	5.02	down	230.75	45.99
hsa-mir-892b	1.18E-06	4.95	down	18.64	3.77
hsa-mir-923	8.52E-03	3.42	down	9600.42	2806.82
hsa-mir-92a-1	3.19E-02	1.84	down	4.17	2.26
