microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-21	5.33E-08	6.01	up	1657.81	9961.27
hsa-mir-140	6.00E-06	3.57	up	32.8	117.01
hsa-mir-181d	1.35E-05	3.54	up	1.71	6.04
hsa-mir-30b	2.17E-05	1.71	up	523.26	895.7
hsa-mir-142	2.59E-05	4.4	up	1127.92	4958.05
hsa-mir-454	5.07E-05	3.23	up	3.6	11.63
hsa-mir-19b-1	8.67E-05	2.18	up	1.57	3.42
hsa-mir-20a	3.10E-04	2.71	up	180.43	489.43
hsa-mir-33a	7.69E-04	2.23	up	1.3	2.9
hsa-mir-30e	9.19E-04	1.45	up	56.32	81.67
hsa-mir-340	1.64E-03	2.2	up	4.4	9.7
hsa-mir-362	1.80E-03	2.71	up	2.95	7.99
hsa-mir-17	1.93E-03	1.7	up	126.56	215.11
hsa-mir-126	1.98E-03	2.14	up	1.25	2.67
hsa-mir-29b	2.89E-03	3.07	up	91.47	280.64
hsa-mir-532	3.08E-03	1.78	up	5	8.92
hsa-mir-335	3.37E-03	1.84	up	1.13	2.08
hsa-mir-590	3.54E-03	3.2	up	9.16	29.3
hsa-mir-7-1	3.60E-03	1.8	up	11	19.78
hsa-mir-424	4.47E-03	3.21	up	3.1	9.95
hsa-mir-20b	4.64E-03	2.6	up	36.49	95.06
hsa-mir-34b	7.12E-03	2.29	up	1.03	2.37
hsa-mir-32	7.58E-03	2.18	up	1.33	2.89
hsa-mir-7	9.80E-03	2.1	up	3.5	7.34
hsa-mir-627	1.00E-02	1.83	up	1.76	3.23
hsa-mir-301b	1.07E-02	1.65	up	1.64	2.7
hsa-mir-20a	1.19E-02	2.17	up	12.21	26.45
hsa-mir-199b	1.19E-02	1.88	up	1.94	3.65
hsa-mir-193a	1.20E-02	2.3	up	1.34	3.1
hsa-mir-27a	1.36E-02	1.89	up	148.3	280.64
hsa-mir-582	1.38E-02	1.88	up	1.74	3.27
hsa-mir-192	1.48E-02	1.95	up	12.88	25.18
hsa-mir-130a	1.60E-02	2.76	up	3.95	10.89
hsa-mir-17	1.78E-02	2.26	up	4.13	9.32
hsa-mir-18a	1.81E-02	2.74	up	5.83	15.99
hsa-mir-199b	2.23E-02	2.25	up	11.2	25.17
hsa-mir-149	2.26E-02	1.91	up	1.85	3.53
hsa-mir-574	2.50E-02	2.51	up	13.35	33.54
hsa-mir-18b	2.54E-02	2.19	up	2.87	6.26
hsa-mir-15a	2.85E-02	1.9	up	167.57	318.46
hsa-mir-338	2.91E-02	1.81	up	2.11	3.82
hsa-mir-32	2.95E-02	1.98	up	1.29	2.54
hsa-mir-301a	3.23E-02	2.02	up	10.85	21.94
hsa-mir-374a	3.58E-02	1.96	up	86.18	169.13
hsa-mir-598	3.65E-02	1.74	up	3.85	6.69
hsa-mir-19a	3.70E-02	1.81	up	181.47	329.07
hsa-mir-628	7.13E-02	1.37	up	2.11	2.89
hsa-mir-451	2.11E-01	1.82	up	924.18	1684.22
hsa-mir-144	2.14E-01	2.04	up	2.58	5.27
hsa-mir-338	4.23E-13	4.57	down	5.46	1.19
hsa-mir-500	6.29E-13	4.48	down	15.94	3.55
hsa-mir-892b	4.34E-12	5.2	down	18.82	3.62
hsa-mir-501	1.11E-11	3.7	down	9.86	2.66
hsa-mir-23a	1.12E-10	3.43	down	3.65	1.06
hsa-mir-202	1.77E-09	3.91	down	6.82	1.74
