Gene Symbol	SCID: BP3^hi	SCID: BP3^lo	BALB/c: 1° FDC	BALB/c: 2°FDC	BALB/c: BP3^lo	CXCR5-/-: BP3^hi	CXCR5-/-: BP3^lo	LT alpha -/- :B^b)	LT alpha -/-  : Tb)
CXCL13	+		++	++	-	+	-	+/-	-
CCL21	++	++	-	-	++	+/-	++	-	+/-
CCL19	++	++	-	-	++	-	++	-	-
Biglycan	++	1	++	++	+	++	+/-	+	+
Enpp2	+	-	+	+	-	+/-	-	-	-
Lrat	ND	-	+	+	-	-	-	-	-
Ltbp3	ND	-	+	+	-	-	-	-	-
Cochc	ND	-	+	++	-	-	-	-	-
Cilp	ND	-	+	+	-	-	-	-	-
Periostin	ND	-	+	++	-	-	-	-	-
9130213B05Rik	ND	-	+	+/-	-	-	-	-	-
Serpina1	-	-	+	+/-	--	-	-	-	-
Tmem176a	++	++	ND	ND	-	-	-	-	-
CD21	-	-	++	++	-	-	-	-	-
