Gene Symbol	Fold Increase Upon REST Knockdown
ACSL6	2.132430023
ACSL6	3.513005075
ACSL6	3.588329881
ACTL6B	5.904833866
AP3B2	7.01493096
AP3B2	7.309597101
APBB3	2.003014347
APC2	3.267685528
ATL1	2.684670026
ATL1	2.900630047
BATF2	2.046612549
BCAS1	2.516823311
BCHE	2.039017697
BCHE	2.27439524
BEX1	2.454259177
bruno-like 6, RNA binding protein (Drosophila)	2.042726865
BRUNOL6	3.550109466
BRUNOL6	4.342302345
BSN	5.189832523
C19orf30	16.5453559
C3orf14	2.667492904
CAMK2N2	3.059821089
CAMK2N2	3.260219936
CCDC108	2.469624944
CEACAM5	2.129620402
CEACAM5	2.971039623
CEACAM5	5.382707294
CECR6	5.406263901
CHD5	2.136363636
CHGB	2.383478708
chromosome 19 open reading frame 30	10.44909491
chromosome 19 open reading frame 30	23.21551496
CKMT1B	2.344234472
CKMT1B	2.50029771
CPLX1	3.182948919
CPLX2	2.196153815
CPLX3	4.955458458
CTNND2	3.32736305
DIRAS1	3.598746176
DISP2	5.518877033
ELOVL2	2.393096422
ELOVL2	2.536264407
ENOX1	2.270257125
ENOX1	2.51662478
EPO	2.055590452
FBXL15	2.008765256
FGA	2.627422598
FGF12	16.7532952
FGF12	17.03395083
FLJ40125	2.037715925
GABRA1	13.07905862
GABRD	6.45964238
GDAP1	2.669115096
GDAP1	2.930480013
GNAO1	2.111889638
GNG4	12.16930889
GOLGA7B	7.013772712
GOLGA7B	9.689084998
GUCY1A2	2.476772901
HBA1	10.28318381
HBA2	10.12644872
HRH3	2.175678817
HRH3	2.641037657
hypothetical LOC283174	2.716396299
INSM2	2.364833949
KCNB1	2.018337403
KCNB1	2.029930085
KCNH7	2.529757767
KCNK3	2.530176201
KCNQ2	5.556170367
LHFPL5	3.852499749
LIN28	2.096130235
LOC643406	2.047552697
LRTM2	3.697315142
LRTM2	3.896448012
LYPD5	2.382835318
LYPD5	2.748173181
MANEAL	2.803222307
MANEAL	2.891119578
MAPK8IP1	2.330116007
MAPK8IP2	7.974603937
MAPK8IP2	8.337161185
MAST1	2.040409595
MMP24	3.518448181
MPP3	2.003848983
MPP3	2.010450315
neurofascin homolog (chicken)	3.349434328
NR2F1	2.182209134
OAS2	2.082597297
OAS2	2.092908179
olfactomedin 1	3.713503529
P2RX5	3.129364739
P2RX5	4.170612504
P2RX5	4.404027298
PCDHA6	2.051140738
PCDHA6	2.155313199
PCDHA6	2.212404005
PCDHA6	3.20765777
PCDHA6	5.487898355
PCDHA6	5.665516713
PGBD5	5.15983344
PSD	6.666051622
PTCHD1	2.030342944
PTGER2	2.521783456
PTPRH	2.108417541
RAB39	5.361382844
RAB3C	2.08895874
RELL2	2.472516665
RELL2	2.49476425
reticulon 2	2.271146071
RFPL1S	6.746067139
RIMKLA	3.86073243
RIPPLY2	4.531422696
RLTPR	3.192471305
RTBDN	3.856687322
RTN2	2.190158242
RTN2	4.865989946
RUNDC3A	10.80246587
RUNDC3A	12.15245037
SBK1	2.869775053
SCAMP5	2.759708003
SCGB1D2	2.463102301
SCGB1D2	2.560396152
SCGB1D2	2.825806232
SCN8A	3.408499237
SH3GLB1	2.378380755
SLC26A5	2.092095292
SLC5A5	3.420256538
SLC6A17	2.131408762
SLC6A17	3.825873514
SLC8A2	2.713045162
SMPD3	2.20364385
SMPD3	2.231568815
SNAP25	2.083239151
SOX2	2.103403862
SPNS2	2.070007483
SPTBN4	3.009708211
SPTBN4	3.173126115
STK32B	2.067931819
STMN3	19.40849973
STX1A	2.723335113
SYN1	8.585904934
SYN1	10.3258049
SYP	7.765248759
SYT5	2.045063485
T-cell leukemia/lymphoma 6	2.006604497
TMEM145	3.190754182
TMEM151A	2.359571163
TMEM180	2.313872534
TMEM180	2.564256832
TMEM198	11.04274139
TRIM9	2.494399908
TRIM9	3.092058006
TUBB3	2.025970967
VGF	4.293019989
XKR7	2.526125373
ZSWIM5	2.244814344
