Gene Symbol	Gene Description	# of tumour types gene is up-regulated	# of tumour types gene is down-regulated	# of total geneRIFs
ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	15	16	2
H2AFV	H2A histone family, member V	18	12	0
ACVR1B	activin A receptor, type IB	10	18	8
QDPR	quinoid dihydropteridine reductase	11	16	2
ALDOA	aldolase A, fructose-bisphosphate	13	13	4
DCTN2	dynactin 2 (p50)	10	16	5
SEPT11	septin 11	14	11	3
ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	14	11	3
RAB6A	RAB6A, member RAS oncogene family	11	14	12
CAPN3	calpain 3, (p94)	9	16	28
RBBP6	retinoblastoma binding protein 6	8	17	2
MBP	myelin basic protein	7	18	26
CAMK2G	calcium/calmodulin-dependent protein kinase II gamma	7	18	11
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	19	5	4
ZNF207	zinc finger protein 207	18	6	0
ILF3	interleukin enhancer binding factor 3, 90kDa	17	7	14
MAP4	microtubule-associated protein 4	15	9	8
TBL1X	transducin (beta)-like 1X-linked	11	13	3
HEXIM1	hexamethylene bis-acetamide inducible 1	10	14	20
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	20	3	5
PCDHGC3	protocadherin gamma subfamily C, 3	17	6	1
IFI6	interferon, alpha-inducible protein 6	17	6	1
PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	14	9	3
RAB2A	RAB2A, member RAS oncogene family	13	10	3
PFKP	phosphofructokinase, platelet	11	12	5
SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	9	14	23
ALDH3A2	aldehyde dehydrogenase 3 family, member A2	9	14	11
SEPT6	septin 6	8	15	7
MTMR9	myotubularin related protein 9	4	19	1
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	18	4	1
TMCO1	transmembrane and coiled-coil domains 1	16	6	0
RCN1	reticulocalbin 1, EF-hand calcium binding domain	16	6	0
SMC4	structural maintenance of chromosomes 4	15	7	1
YARS	tyrosyl-tRNA synthetase	14	8	10
COL6A1	collagen, type VI, alpha 1	14	8	19
CTPS	CTP synthase	14	8	3
MAP1B	microtubule-associated protein 1B	14	8	5
FCGRT	Fc fragment of IgG, receptor, transporter, alpha	14	8	25
AGPAT7	lysophosphatidylcholine acyltransferase 4	14	8	2
CPNE1	copine I	12	10	2
METTL7A	methyltransferase like 7A	10	12	0
TGOLN2	trans-golgi network protein 2	9	13	0
KLC1	kinesin light chain 1	9	13	8
TRAF5	TNF receptor-associated factor 5	9	13	4
IDS	iduronate 2-sulfatase	8	14	14
PHF15	PHD finger protein 15	8	14	0
PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	7	15	1
JMJD2B	jumonji domain containing 2B	7	15	1
ADARB1	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	6	16	12
CYFIP2	cytoplasmic FMR1 interacting protein 2	5	17	1
