Specific function 	Biological process 	Description 	Entrez gene ID	Gene symbol 	SV40  	TAg	N136 	3213	D44N 	
Transcription 	Interferon type I 	Interferon regulatory factor 7 	54123	Irf7 	29.1	4.2	1	0.8	5.7	 
Transcription 	biosynthetic process 	Interferon dependent positive acting transcription factor 3 gamma 	16391	Irf9 	3.7	2.8	0.9	0.7	2.4	 
Transcription 	JAK/Stat signaling 	Signal transducer and activator of transcription 1 	20846	Stat1 	5.8	3.1	1.5	0.5	2	 
Transcription 	JAK/Stat signaling 	Signal transducer and activator of transcription 2 	20847	Stat2 	7.5	1.9	1	0.5	1.5	 
Transcription 	Cytokine and chemokine signaling  	N-myc (and STAT) interactor 	64685	Nmi 	3.5	4.3	1.4	1.2	2.3	 
Transcription 	PML body 	Promyelocytic leukemia 	18854	Pml 	1.8	2.5	3.1	1.4	1.9	 
Transcription 	PML body 	Nuclear antigen Sp100 	20684	Sp100 	4.5	7.2	1.1	1.1	2.2	 
RNA binding 	Interferon-induced 	2'-5' oligoadenylate synthetase 1C 	114643	Oas1c 	2.5	2.4	2.2	1.5	2.5	 
RNA binding 	Interferon-induced 	2'-5' oligoadenylate synthetase-like 1 	231655	Oasl1 	16	2.7	1.2	1.1	3.5	 
RNA binding 	Interferon-induced 	2'-5' oligoadenylate synthetase 1A 	246730	Oas1a 	13.8	18.9	4	1.3	15.1	 
RNA binding 	Interferon-induced 	2'-5' oligoadenylate synthetase 2 	246728	Oas2 	9.5	9.1	2.1	1.2	4.2	 
RNA binding 	Interferon-induced 	2'-5' oligoadenylate synthetase-like 2 	23962	Oasl2 	82.4	16.3	0.6	0.4	7.1	 
Binding to other proteins 	Interferon-induced 	Interferon-induced protein with tetratricopeptide repeats 1  	15957	Ifit1/ISG56 	55.7	7.7	2	0.5	4.6	 
Binding to other proteins 	Interferon-induced 	Interferon-induced protein with tetratricopeptide repeats 2 	15958	Ifit2/ISG54 	4.3	2.4	1.7	0.9	2.1	 
Binding to other proteins 	Interferon-induced 	Interferon-induced protein with tetratricopeptide repeats 3  	15959	Ifit3/ISG49 	13.5	4.3	1.1	0.4	3	 
Binding to other proteins 	Interferon-induced 	Interferon activated gene 202B 	26388	Ifi202b 	7.7	3.3	1.2	0.8	2.3	 
Binding to other proteins 	Interferon-induced 	Interferon activated gene 203 	15950	Ifi203 	10.8	2.7	1.2	1	2	 
Binding to other proteins 	Interferon-induced 	Interferon activated gene 204 	15951	Ifi204 	8.3	3.2	0.9	1.1	1.8	 
Not Classified	Interferon-induced 	Interferon-induced protein 35 	70110	Ifi35 	3.6	3.1	1.8	1	2.1	 
Not Classified	Interferon-induced 	Interferon-induced protein 44 	99899	Ifi44 	49.8	17	1.1	0.5	6.5	 
Not Classified	Interferon-induced 	"Interferon, alpha-inducible protein 27 "	76933	Ifi27 	21.6	21.5	3.4	1.6	6.5	 
