Accession ID	Gene Symbol	Gene Name	Fold Change
NM_000891	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	8.07
NM_003246	THBS1	thrombospondin 1	6.46
NM_001901	CTGF	connective tissue growth factor	5.78
X56692		C-reactive protein	3.85
NM_004791	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	2.87
AF289028		transmembrane protein B7-H2 ICOS ligand	2.75
NM_005069	SIM2	single-minded (Drosophila) homolog 2, transcript variant SIM2	2.7
NM_001618	ADPRT	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	2.69
AF118124	MCL1	myeloid cell leukemia sequence 1	2.69
AF134894		SWAP-70 homolog	2.6
NM_002317	LOX	lysyl oxidase	2.57
NM_019074	DLL4	delta (Drosophila)-like 4	2.5
