# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|219306_at|219306_at	unigene|Hs.646856|Hs.646856	hgnc_symbol|KIF15|KIF15
affy_hg_u133_plus_2|218585_s_at|218585_s_at	unigene|Hs.656473|Hs.656473	hgnc_symbol|DTL|DTL
affy_hg_u133_plus_2|221677_s_at|221677_s_at	unigene|Hs.436341|Hs.436341	hgnc_symbol|DONSON|DONSON
affy_hg_u133_plus_2|201088_at|201088_at	unigene|Hs.594238|Hs.594238	hgnc_symbol|KPNA2|KPNA2
affy_hg_u133_plus_2|209034_at|209034_at	unigene|Hs.75969|Hs.75969	hgnc_symbol|PNRC1|PNRC1
affy_hg_u133_plus_2|202610_s_at|202610_s_at	unigene|Hs.407604|Hs.407604	hgnc_symbol|MED14|MED14
affy_hg_u133_plus_2|218906_x_at|218906_x_at	unigene|Hs.280792|Hs.280792	hgnc_symbol|KLC2|KLC2
affy_hg_u133_plus_2|212723_at|212723_at	unigene|Hs.514505|Hs.514505	hgnc_symbol|JMJD6|JMJD6
affy_hg_u133_plus_2|222231_s_at|222231_s_at	unigene|Hs.370927|Hs.370927	hgnc_symbol|LRRC59|LRRC59
affy_hg_u133_plus_2|208838_at|208838_at	unigene|Hs.546407|Hs.546407	hgnc_symbol|CAND1|CAND1
affy_hg_u133_plus_2|218039_at|218039_at	unigene|Hs.615092|Hs.615092	hgnc_symbol|NUSAP1|NUSAP1
affy_hg_u133_plus_2|209472_at|209472_at	unigene|Hs.481898|Hs.481898	hgnc_symbol|CCBL2|CCBL2
affy_hg_u133_plus_2|212898_at|212898_at	unigene|Hs.655481|Hs.655481	hgnc_symbol|KIAA0406|KIAA0406
affy_hg_u133_plus_2|202620_s_at|202620_s_at	unigene|Hs.477866|Hs.477866	hgnc_symbol|PLOD2|PLOD2
affy_hg_u133_plus_2|201059_at|201059_at	unigene|Hs.596164|Hs.596164	hgnc_symbol|CTTN|CTTN
affy_hg_u133_plus_2|201841_s_at|201841_s_at	unigene|Hs.520973|Hs.520973	hgnc_symbol|HSPB1|HSPB1
affy_hg_u133_plus_2|203755_at|203755_at	unigene|Hs.631699|Hs.631699	hgnc_symbol|BUB1B|BUB1B
affy_hg_u133_plus_2|211750_x_at|211750_x_at	unigene|Hs.719091|Hs.719091	hgnc_symbol|TUBA1C|TUBA1C
affy_hg_u133_plus_2|38158_at|38158_at	unigene|Hs.153479|Hs.153479	hgnc_symbol|ESPL1|ESPL1
affy_hg_u133_plus_2|204709_s_at|204709_s_at	unigene|Hs.270845|Hs.270845	hgnc_symbol|KIF23|KIF23
affy_hg_u133_plus_2|201589_at|201589_at	unigene|Hs.211602|Hs.211602	hgnc_symbol|SMC1A|SMC1A
affy_hg_u133_plus_2|218460_at|218460_at	unigene|Hs.535896|Hs.535896	hgnc_symbol|HEATR2|HEATR2
affy_hg_u133_plus_2|207430_s_at|207430_s_at	unigene|Hs.255462|Hs.255462	hgnc_symbol|MSMB|MSMB
affy_hg_u133_plus_2|212139_at|212139_at	unigene|Hs.298716|Hs.298716	hgnc_symbol|GCN1L1|GCN1L1
affy_hg_u133_plus_2|211596_s_at|211596_s_at	unigene|Hs.518055|Hs.518055	hgnc_symbol|LRIG1|LRIG1
affy_hg_u133_plus_2|212160_at|212160_at	unigene|Hs.85951|Hs.85951	hgnc_symbol|XPOT|XPOT
affy_hg_u133_plus_2|219238_at|219238_at	unigene|Hs.259605|Hs.259605	hgnc_symbol|PIGV|PIGV
affy_hg_u133_plus_2|203432_at|203432_at	unigene|Hs.11355|Hs.11355	hgnc_symbol|TMPO|TMPO
affy_hg_u133_plus_2|201377_at|201377_at	unigene|Hs.490551|Hs.490551	hgnc_symbol|UBAP2L|UBAP2L
affy_hg_u133_plus_2|218875_s_at|218875_s_at	unigene|Hs.520506|Hs.520506	hgnc_symbol|FBXO5|FBXO5
affy_hg_u133_plus_2|221922_at|221922_at	unigene|Hs.584901|Hs.584901	hgnc_symbol|GPSM2|GPSM2
affy_hg_u133_plus_2|218727_at|218727_at	unigene|Hs.10499|Hs.10499	hgnc_symbol|SLC38A7|SLC38A7
affy_hg_u133_plus_2|207469_s_at|207469_s_at	unigene|Hs.495728|Hs.495728	hgnc_symbol|PIR|PIR
affy_hg_u133_plus_2|218483_s_at|218483_s_at	unigene|Hs.533738|Hs.533738	hgnc_symbol|C11orf60|C11orf60
affy_hg_u133_plus_2|204641_at|204641_at	unigene|Hs.153704|Hs.153704	hgnc_symbol|NEK2|NEK2
