Gene Symbol	GENE	Fc MDA.FN(-)/MDA	Fc MDA.FN(+)/MDA
HNMT	HNMT (histamine N-methyltransferase)	-6.49	-13.55
LCN2	LCN2 (lipocalin 2 (oncogene 24p3)	-8.22	-7.94
SLC22A18	SLC22A18 (solute carrier family 22 (organic cation transporter). member 18)	-7.72	-6.63
PIM1	PIM1 (pim-1 oncogene)	-2.51	-5.22
TKT	TKT (transketolase (Wernicke-Korsakoff syndrome))	-3.18	-4.7
SMARCD3	SMARCD3 (SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily d. member 3)	-2.49	-4.34
C6orf62	C6orf62 (chromosome 6 open reading frame 62)	-2.2	-4.01
SNN	SNN (stannin)	-3.27	-3.89
TEF	TEF (thyrotrophic embryonic factor)	-2.26	-3.76
D2S448	D2S448 (Melanoma associated gene)	-3.05	-3.73
VCP	VCP (valosin-containing protein)	-2.58	-3.57
MGC3169	MGC3169 (hypothetical protein MGC3169)	-3.04	-3.38
RHOC	RHOC (ras homolog gene family. member C)	-2.59	-3.35
FLJ10521	FLJ10521 (hypothetical protein FLJ10521)	-2.91	-3.04
RABAC1	RABAC1 (Rab acceptor 1 (prenylated))	-3.24	-3.04
CENTG3	CENTG3 (centaurin. gamma 3)	-2.62	-3.03
NPEPL1	NPEPL1(aminopeptidase-like 1)	-2.54	-3
KIAA0218	KIAA0218 (KIAA0218 gene product)	-3.23	-2.89
GPR56	GPR56 (G protein-coupled receptor 56)	-2.75	-2.87
P4HB	P4HB (procollagen-proline. 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase). beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	-2.28	-2.83
RNF141	RNF141 (ring finger protein 141)	-3.63	-2.83
CDW92	CDW92 (CDW92 antigen)	-2.01	-2.81
DBN1	DBN1 (drebrin 1)	-2.33	-2.8
PIK3C3	PIK3C3 (phosphoinositide-3-kinase. class 3)	-3.73	-2.79
KDELR3	KDELR3 (KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3)	-3.37	-2.61
PARD6A	PARD6A (par-6 partitioning defective 6 homolog alpha (Celegans))	-2.44	-2.58
SCAM1	SCAM-1 (vinexin beta (SH3-containing adaptor molecule-1))	-2.76	-2.58
SUFU	SUFU (suppressor of fused homolog (Drosophila))	-2.29	-2.54
RIF1	RIF1 (receptor-interacting factor 1)	-2.68	-2.51
CDK5RAP2	CDK5RAP2 (CDK5 regulatory subunit associated protein 2)	-2.33	-2.45
BC-2	BC-2 (putative breast adenocarcinoma marker (32kD))	-3.83	-2.41
CUEDC2	CUEDC2 (CUE domain containing 2)	-3.56	-2.39
COMT	COMT (catechol-O-methyltransferase)	-2.26	-2.29
HSCARG	HSCARG (HSCARG protein)	-2.22	-2.29
MGC35048	MGC35048 (hypothetical protein MGC35048)	-2.31	-2.29
BZRP	BZRP (benzodiazapine receptor (peripheral))	-2.48	-2.28
SH3TC1	SH3TC1 (SH3 domain and tetratricopeptide repeats 1)	-2.12	-2.28
INPPL1	INPPL1 (inositol polyphosphate phosphatase-like 1)	-2.08	-2.27
NDUFB2	NDUFB2 (NADH dehydrogenase (ubiquinone) 1 beta subcomplex. 2. 8kDa)	-2.23	-2.23
GPR35	GPR35 (G protein-coupled receptor 35)	-2.49	-2.2
ANKRD3	ANKRD3 (ankyrin repeat domain 3)	-2.1	-2.17
TRADD	TRADD (TNFRSF1A-associated via death domain)	-2.33	-2.15
FLJ11016	FLJ11016 (hypothetical protein FLJ11016)	-2.51	-2.14
PKIG	PKIG (protein kinase (cAMP-dependent. catalytic) inhibitor gamma)	-2.28	-2.09
STIM1	STIM1 (stromal interaction molecule 1)	-2.02	-2.09
RGS12	RGS12 (regulator of G-protein signalling 12)	-2.38	-2.04
FLJ14249	FLJ14249 (HS1-binding protein 3)	-2.11	-2.03
FUCA1	FUCA1 (fucosidase. alpha-L- 1. tissue)	-2.33	-2.03
DUSP10	DUSP10 (dual specificity phosphatase 10)	2.99	2.02
CXorf15	CXorf15 (chromosome X open reading frame 15)	2.46	2.06
ENC1	ENC1 (ectodermal-neural cortex (with BTB-like domain)	2.71	2.06
SF3B4	SF3B4 (splicing factor 3b. subunit 4. 49kDa)	2.3	2.06
ZDHHC6	ZDHHC6 (zinc finger. DHHC domain containing 6)	2.08	2.06
DGKA	DGKA (diacylglycerol kinase. alpha 80kDa)	2.13	2.14
HMGCS1	HMGCS1 (3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble))	3.12	2.22
TM4F2	DC-TM4F2 (tetraspanin similar to TM4SF9)	2.68	2.25
CAV1	CAV1 (caveolin 1. caveolae protein. 22kDa)	2.31	2.33
UBE2V2	UBE2V2 (ubiquitin-conjugating enzyme E2 variant 2)	2.42	2.43
PM2	PM2-ST0303-002-E07 (MRNA; cDNA DKFZp686H2244 (from clone DKFZp686H2244))	3.72	2.49
LSM3	LSM3 (LSM3 homolog. U6 small nuclear RNA associated (S cerevisiae))	2.11	2.79
SET7	SET7 (SET domain-containing protein 7)	2.66	2.93
HAT1	HAT1 (histone acetyltransferase 1)	2.27	3.01
SSA2	SSA2 (Sjogren syndrome antigen A2 (60kDa. ribonucleoprotein autoantigen SS-A/Ro))	2.2	3.16
SFRS3	SFRS3 (splicing factor. arginine/serine-rich 3)	2.88	3.27
FLJ10074	FLJ10074 (hypothetical protein FLJ10074)	2.78	3.28
TMC4	TMC4 (transmembrane channel-like 4)	2.86	3.38
LANCL2	LANCL2 (LanC lantibiotic synthetase component C-like 2 (bacterial))	2.3	3.39
RBBP6	RBBP6 (retinoblastoma binding protein 6)	2.58	3.43
MADH5	MADH5 (MAD. mothers against decapentaplegic homolog 5 (Drosophila))	2.43	3.44
CDH5	CDH5 (cadherin 5. type 2. VE-cadherin (vascular epithelium))	2.32	3.48
DNCH1	DNCH1 (dynein. cytoplasmic. heavy polypeptide 1)	3.4	3.64
ACSL3	ACSL3 (acyl-CoA synthetase long-chain family member 3)	3.68	3.81
NKTR	NKTR (natural killer-tumor recognition sequence)	2.58	3.88
UBPH	UBPH (similar to ubiquitin binding protein)	3.22	3.93
SLC20A1	SLC20A1 (solute carrier family 20 (phosphate transporter). member 1)	3.08	3.98
C13orf10	C13orf10 (chromosome 13 open reading frame 10)	3.6	4.04
IL6	IL6 (interleukin 6 (interferon. beta 2))	4.32	5.54
