Probe set	PC1	PC2	PC3	PC4
201243_s_at	-0.189	-0.423	0.229	0.059
202490_at	0.364	0.07	-0.357	-0.12
202707_at	0.353	-0.009	0.136	0.011
202814_s_at	-0.108	0.504	0.265	0.279
203001_s_at	0.326	0.044	-0.1	-0.122
203147_s_at	-0.148	0.212	0.132	-0.368
204179_at	0.197	0.028	0.548	-0.161
204584_at	0.042	0.51	0.077	0.276
205386_s_at	0.18	0.081	0.325	-0.5
206426_at	0.366	-0.24	0.114	0.157
208399_s_at	0.413	0.042	-0.188	-0.26
210016_at	0.27	0.014	0.273	0.245
218881_s_at	0.036	-0.209	-0.225	0.19
219171_s_at	0.188	-0.313	0.297	0.332
221591_s_at	0.283	0.216	-0.174	0.32
