Gene	Description	Fold change	Expression
Sostdc1	Sclerostin domain containing 1	105.8	Upregulated genes
Mela	Melanoma antigen	29.5	Upregulated genes
Slc47a1	Slc47a1 solute carrier family 47, member 1	18	Upregulated genes
S100a8	S100 calcium binding protein A8 (calgranulin A)	7.5	Upregulated genes
Gpr177	G protein-coupled receptor 177	7	Upregulated genes
Cp	Ceruloplasmin	7	Upregulated genes
Fbp2	Fructose bisphosphatase 2	6.6	Upregulated genes
Robo1	Roundabout homolog 1 (Drosophila)	6	Upregulated genes
Insig1	Insulin induced gene 1	5.9	Upregulated genes
Tnfrsf19	Tumor necrosis factor receptor superfamily, member 19	5.4	Upregulated genes
Steap1	Six transmembrane epithelial antigen of the prostate 1	5.3	Upregulated genes
Saa3	Serum amyloid A 3	5.1	Upregulated genes
Cdkn1b	Cyclin-dependent kinase inhibitor 1B (P27)	5	Upregulated genes
Lrrn6a	Leucine rich repeat neuronal 6A	5	Upregulated genes
Pdgfc	Platelet-derived growth factor, C polypeptide	4.9	Upregulated genes
Xist	Inactive X specific transcripts	4.9	Upregulated genes
Arg1	Arginase 1, liver	4.6	Upregulated genes
Cmkor1	Chemokine orphan receptor 1	4.6	Upregulated genes
Neto2	Neuropilin (NRP) and tolloid (TLL)-like 2	4.5	Upregulated genes
Adcy2	Adenylate cyclase 2	4.3	Upregulated genes
Dixdc1	DIX domain containing 1	4.3	Upregulated genes
Nbea	Neurobeachin	4.2	Upregulated genes
Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	4.2	Upregulated genes
Cpxm2	Carboxypeptidase X 2 (M14 family)	4.1	Upregulated genes
Crabp1	Cellular retinoic acid binding protein I	3.7	Upregulated genes
Clca3	Chloride channel calcium activated 3	77.9	Downregulated genes
Tmem16a	Transmembrane protein 16A	36.7	Downregulated genes
Cyp3a25	Cytochrome P450, family 3, subfamily a, polypeptide 25	32.8	Downregulated genes
Cyp2f2	Cytochrome P450, family 2, subfamily f, polypeptide 2	25.5	Downregulated genes
Mum1l1	Melanoma associated antigen (mutated) 1-like 1	20.8	Downregulated genes
Man1a	Mannosidase 1, alpha	20.3	Downregulated genes
Akp2	Alkaline phosphatase 2, liver	19.8	Downregulated genes
Pyy	Peptide YY	18	Downregulated genes
Rhox2	Reproductive homeobox 2	17.1	Downregulated genes
Scin	Scinderin	15.1	Downregulated genes
Krt1-15	Keratin complex 1, acidic, gene 15	14.7	Downregulated genes
Chst8	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	12.8	Downregulated genes
Oit1	Oncoprotein induced transcript 1	12.1	Downregulated genes
Slc35f3	Solute carrier family 35, member F3	12.1	Downregulated genes
Prkcm	Protein kinase C, mu	12	Downregulated genes
Myl7	Myosin, light polypeptide 7, regulatory	11.8	Downregulated genes
Rln1	Relaxin 1	11.8	Downregulated genes
Cgnl1	Cingulin-like 1	10.4	Downregulated genes
Glul	Glutamate-ammonia ligase (glutamine synthetase)	10.3	Downregulated genes
Defb1	Defensin beta 1	10.1	Downregulated genes
Pcolce	Procollagen C-endopeptidase enhancer protein	10	Downregulated genes
Stra8	Stimulated by retinoic acid gene 8	9.7	Downregulated genes
Trfr2	Transferrin receptor 2	8.8	Downregulated genes
Lyplal1	Lysophospholipase-like 1	8.8	Downregulated genes
ZDHHC2	Zinc finger, DHHC domain containing 2	8.8	Downregulated genes
