Curated miRBase	Delta Ct	Adjusted p-value	Over-expressed in YSTs
hsa-miR-122a	-9.98	5.66E-09	miR-122a
hsa-miR-302c	-6.98	3.40E-08	miR-302c
hsa-miR-205	-7.34	1.20E-07	miR-205
hsa-miR-200a	-6.57	1.85E-07	miR-200a
hsa-miR-200b	-6.33	3.76E-07	miR-200b
hsa-miR-302a	-5.81	3.76E-07	miR-302a
hsa-miR-302d	-5.75	3.76E-07	miR-302d
hsa-miR-302b	-5.75	4.80E-07	miR-302b
hsa-miR-302b	-5.59	4.80E-07	miR-302b
hsa-miR-367	-5.56	7.35E-07	miR-367
hsa-miR-302c	-6.43	7.99E-07	miR-302c
hsa-miR-200c	-5.49	1.23E-05	miR-200c
hsa-miR-203	-4.65	6.75E-05	miR-203
hsa-miR-34c	-3.66	3.62E-04	miR-34c
hsa-miR-339	-3	3.62E-04	miR-339
hsa-miR-144	-3.38	4.91E-04	miR-144
hsa-miR-107	-2.71	4.91E-04	miR-107
hsa-miR-17-5p	-3.15	1.10E-03	miR-17-5p
hsa-miR-34b	-3.37	1.25E-03	miR-34b
hsa-miR-106a	-3.08	1.57E-03	miR-106a
hsa-miR-133b	-2.86	6.06E-03	miR-133b
hsa-miR-338	-2.53	6.06E-03	miR-338
hsa-miR-214	-2.1	6.06E-03	miR-214
hsa-miR-133a	-2.73	6.46E-03	miR-133a
hsa-miR-129	-4.12	8.16E-03	miR-129
hsa-miR-23b	-1.85	8.16E-03	miR-23b
