# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|228375_at|228375_at	hgnc_symbol|IGSF11|IGSF11
affy_hg_u133_plus_2|229377_at|229377_at	hgnc_symbol|GRTP1|GRTP1
affy_hg_u133_plus_2|242372_s_at|242372_s_at	hgnc_symbol|MFSD4|MFSD4
affy_hg_u133_plus_2|204802_at|204802_at	hgnc_symbol|RRAD|RRAD
affy_hg_u133_plus_2|210085_s_at|210085_s_at	hgnc_symbol|ANXA9|ANXA9
affy_hg_u133_plus_2|225846_at|225846_at	hgnc_symbol|ESRP1|ESRP1
affy_hg_u133_plus_2|224861_at|224861_at	hgnc_symbol|GNAQ|GNAQ
affy_hg_u133_plus_2|226610_at|226610_at	hgnc_symbol|CENPV|CENPV
affy_hg_u133_plus_2|229349_at|229349_at	hgnc_symbol|LIN28B|LIN28B
affy_hg_u133_plus_2|1560527_at|1560527_at
affy_hg_u133_plus_2|219213_at|219213_at	hgnc_symbol|JAM2|JAM2
affy_hg_u133_plus_2|210258_at|210258_at	hgnc_symbol|RGS13|RGS13
affy_hg_u133_plus_2|210663_s_at|210663_s_at	hgnc_symbol|KYNU|KYNU
affy_hg_u133_plus_2|220493_at|220493_at	hgnc_symbol|DMRT1|DMRT1
affy_hg_u133_plus_2|205418_at|205418_at	hgnc_symbol|FES|FES
affy_hg_u133_plus_2|209170_s_at|209170_s_at	hgnc_symbol|GPM6B|GPM6B
affy_hg_u133_plus_2|210753_s_at|210753_s_at	hgnc_symbol|EPHB1|EPHB1
affy_hg_u133_plus_2|209867_s_at|209867_s_at	hgnc_symbol|LPHN3|LPHN3
affy_hg_u133_plus_2|202686_s_at|202686_s_at	hgnc_symbol|AXL|AXL
affy_hg_u133_plus_2|209290_s_at|209290_s_at	hgnc_symbol|NFIB|NFIB
affy_hg_u133_plus_2|210587_at|210587_at	hgnc_symbol|INHBE|INHBE
affy_hg_u133_plus_2|203435_s_at|203435_s_at	hgnc_symbol|MME|MME
affy_hg_u133_plus_2|224435_at|224435_at
affy_hg_u133_plus_2|1557359_at|1557359_at
