# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1424600_at|1424600_at	mgi_symbol|Abp1|Abp1
affy_mouse430_2|1424063_at|1424063_at	mgi_symbol|Abpa|Abpa
affy_mouse430_2|1425032_at|1425032_at	mgi_symbol|Abpb|Abpb
affy_mouse430_2|1427595_at|1427595_at	mgi_symbol|Acaca|Acaca
affy_mouse430_2|1427052_at|1427052_at	mgi_symbol|Acacb|Acacb
affy_mouse430_2|1425326_at|1425326_at	mgi_symbol|Acly|Acly
affy_mouse430_2|1429267_at|1429267_at	mgi_symbol|Acot11|Acot11
affy_mouse430_2|1422479_at|1422479_at	mgi_symbol|Acss2|Acss2
affy_mouse430_2|1427735_a_at|1427735_a_at	mgi_symbol|Acta1|Acta1
affy_mouse430_2|1418677_at|1418677_at	mgi_symbol|Actn3|Actn3
affy_mouse430_2|1434722_at|1434722_at	mgi_symbol|Ampd1|Ampd1
affy_mouse430_2|1417889_at|1417889_at	mgi_symbol|Apobec2|Apobec2
affy_mouse430_2|1422153_a_at|1422153_a_at	mgi_symbol|Asb11|Asb11
affy_mouse430_2|1419312_at|1419312_at	mgi_symbol|Atp2a1|Atp2a1
affy_mouse430_2|1449711_at|1449711_at	mgi_symbol|Atp6v1e1|Atp6v1e1
affy_mouse430_2|1448595_a_at|1448595_a_at	mgi_symbol|Bex1|Bex1
affy_mouse430_2|1449308_at|1449308_at	mgi_symbol|C6|C6
affy_mouse430_2|1421001_a_at|1421001_a_at	mgi_symbol|Car6|Car6
affy_mouse430_2|1422598_at|1422598_at	mgi_symbol|Casq1|Casq1
affy_mouse430_2|1419282_at|1419282_at	mgi_symbol|Ccl12|Ccl12
affy_mouse430_2|1456082_x_at|1456082_x_at	mgi_symbol|Cct4|Cct4
affy_mouse430_2|1449193_at|1449193_at	mgi_symbol|Cd5l|Cd5l
affy_mouse430_2|1417614_at|1417614_at	mgi_symbol|Ckm|Ckm
affy_mouse430_2|1428722_at|1428722_at	mgi_symbol|Ckmt2|Ckmt2
affy_mouse430_2|1458381_at|1458381_at	mgi_symbol|Clic5|Clic5
affy_mouse430_2|1427312_at|1427312_at	mgi_symbol|Cmya5|Cmya5
affy_mouse430_2|1418709_at|1418709_at	mgi_symbol|Cox7a1|Cox7a1
affy_mouse430_2|1418328_at|1418328_at	mgi_symbol|Cpt1b|Cpt1b
affy_mouse430_2|1434679_at|1434679_at	mgi_symbol|Cspg3|Cspg3
affy_mouse430_2|1422632_at|1422632_at	mgi_symbol|Ctsw|Ctsw
affy_mouse430_2|1421075_s_at|1421075_s_at	mgi_symbol|Cyp7b1|Cyp7b1
affy_mouse430_2|1451751_at|1451751_at	mgi_symbol|Ddit4l|Ddit4l
affy_mouse430_2|1453487_at|1453487_at	mgi_symbol|Dhdh|Dhdh
affy_mouse430_2|1444504_at|1444504_at	mgi_symbol|Dhrs7c|Dhrs7c
affy_mouse430_2|1427422_at|1427422_at	mgi_symbol|Dock6|Dock6
affy_mouse430_2|1447625_at|1447625_at	mgi_symbol|E2f5|E2f5
affy_mouse430_2|1418062_at|1418062_at	mgi_symbol|Eef1a2|Eef1a2
affy_mouse430_2|1420722_at|1420722_at	mgi_symbol|Elovl3|Elovl3
affy_mouse430_2|1417404_at|1417404_at	mgi_symbol|Elovl6|Elovl6
affy_mouse430_2|1417951_at|1417951_at	mgi_symbol|Eno3|Eno3
affy_mouse430_2|1417876_at|1417876_at	mgi_symbol|Fcgr1|Fcgr1
affy_mouse430_2|1457429_s_at|1457429_s_at	mgi_symbol|Gm106|Gm106
affy_mouse430_2|1452741_s_at|1452741_s_at	mgi_symbol|Gpd2|Gpd2
