# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1427595_at|1427595_at	mgi_symbol|Acaca|Acaca
affy_mouse430_2|1427052_at|1427052_at	mgi_symbol|Acacb|Acacb
affy_mouse430_2|1429267_at|1429267_at	mgi_symbol|Acot11|Acot11
affy_mouse430_2|1427735_a_at|1427735_a_at	mgi_symbol|Acta1|Acta1
affy_mouse430_2|1448327_at|1448327_at	mgi_symbol|Actn2|Actn2
affy_mouse430_2|1418677_at|1418677_at	mgi_symbol|Actn3|Actn3
affy_mouse430_2|1449383_at|1449383_at	mgi_symbol|Adssl1|Adssl1
affy_mouse430_2|1434855_at|1434855_at	mgi_symbol|Amdhd2|Amdhd2
affy_mouse430_2|1434722_at|1434722_at	mgi_symbol|Ampd1|Ampd1
affy_mouse430_2|1417889_at|1417889_at	mgi_symbol|Apobec2|Apobec2
affy_mouse430_2|1421134_at|1421134_at	mgi_symbol|Areg|Areg
affy_mouse430_2|1422375_a_at|1422375_a_at	mgi_symbol|Art1|Art1
affy_mouse430_2|1422153_a_at|1422153_a_at	mgi_symbol|Asb11|Asb11
affy_mouse430_2|1449356_at|1449356_at	mgi_symbol|Asb5|Asb5
affy_mouse430_2|1419312_at|1419312_at	mgi_symbol|Atp2a1|Atp2a1
affy_mouse430_2|1449711_at|1449711_at	mgi_symbol|Atp6v1e1|Atp6v1e1
affy_mouse430_2|1450339_a_at|1450339_a_at	mgi_symbol|Bcl11b|Bcl11b
affy_mouse430_2|1453588_at|1453588_at	mgi_symbol|Car3|Car3
affy_mouse430_2|1421001_a_at|1421001_a_at	mgi_symbol|Car6|Car6
affy_mouse430_2|1422598_at|1422598_at	mgi_symbol|Casq1|Casq1
affy_mouse430_2|1419473_a_at|1419473_a_at	mgi_symbol|Cck|Cck
affy_mouse430_2|1423466_at|1423466_at	mgi_symbol|Ccr7|Ccr7
affy_mouse430_2|1419206_at|1419206_at	mgi_symbol|Cd37|Cd37
affy_mouse430_2|1419696_at|1419696_at	mgi_symbol|Cd4|Cd4
affy_mouse430_2|1451910_a_at|1451910_a_at	mgi_symbol|Cd6|Cd6
affy_mouse430_2|1428735_at|1428735_at	mgi_symbol|Cd69|Cd69
