Curated Gene Symbol	GENE TITLE	GENE SYMBOL	P-VALUE	FDR	FOLDCHANGE (50/IUSM)
CYP1B1	CYTOCHROME P450, FAMILY 1, SUBFAMILY B, POLYPEPTIDE 1	CYP1B1	5.15E-09	0.000112	?16.2203
PCMTD1	PROTEIN-L-ISOASPARTATE (D-ASPARTATE) O- METHYLTRANSFERASE DOMAIN CONTAINING 1	PCMTD1	3.63E-08	0.00029	?7.33201
CHURC1	CHURCHILL DOMAIN CONTAINING 1	CHURC1	0.000000382	0.001748	3.2
SMU1	SMU-1 SUPPRESSOR OF MEC-8 AND UNC-52 HOMOLOG (C. ELEGANS)	SMU1	0.00000046	0.001748	?1.81118
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	DDR2	0.000000762	0.001869	?6.44987
LYRM5	LYR MOTIF CONTAINING 5	LYRM5	0.000000957	0.001869	?2.96636
GLCCI1	GLUCOCORTICOID INDUCED TRANSCRIPT 1	GLCCI1	0.000000988	0.001869	?3.69182
POGLUT1	KTEL (LYS-TYR-GLU-LEU) CONTAINING 1	KTELC1	0.00000114	0.001869	?2.9365
PRKACB	PROTEIN KINASE, CAMP-DEPENDENT, CATALYTIC, BETA	PRKACB	0.00000119	0.001869	?1.84956
PTBP3	ROD1 REGULATOR OF DIFFERENTIATION 1 (S. POMBE)	ROD1	0.00000124	0.001869	1.94034
FAM174A	TRANSMEMBRANE PROTEIN 157	TMEM157	0.00000153	0.001869	?2.16878
ZNF655	ZINC FINGER PROTEIN 655	ZNF655	0.00000164	0.001869	?3.33563
IP6K2	INOSITOL HEXAPHOSPHATE KINASE 2	IHPK2	0.00000167	0.001869	?2.662
REPIN1	REPLICATION INITIATOR 1	REPIN1	0.00000173	0.001869	?14.9282
ZNF430	ZINC FINGER PROTEIN 430	ZNF430	0.0000018	0.001869	?2.65347
GPX7	GLUTATHIONE PEROXIDASE 7	GPX7	0.00000191	0.001869	?5.19146
TCEAL1	TRANSCRIPTION ELONGATION FACTOR A (SII)-LIKE 1	TCEAL1	0.00000192	0.001869	?3.0577
CYP1B1	CYTOCHROME P450, FAMILY 1, SUBFAMILY B, POLYPEPTIDE 1	CYP1B1	0.00000205	0.001869	?13.6735
CES2	CARBOXYLESTERASE 2 (INTESTINE, LIVER)	CES2	0.00000218	0.001869	?5.24574
	HYPOTHETICAL PROTEIN LOC339400	LOC339400	0.00000225	0.001869	?18.8473
CNOT6L	CCR4-NOT TRANSCRIPTION COMPLEX, SUBUNIT 6-LIKE	CNOT6L	0.00000227	0.001869	?2.04665
ZNF605	ZINC FINGER PROTEIN 605	ZNF605	0.00000231	0.001869	?2.70276
FAM189A2	CHROMOSOME 9 OPEN READING FRAME 61	C9ORF61	0.00000241	0.001869	?8.82731
TRIAP1	TP53 REGULATED INHIBITOR OF APOPTOSIS 1	TRIAP1	0.00000243	0.001869	?2.65011
ZFHX4	ZINC FINGER HOMEOBOX 4	ZFHX4	0.00000256	0.001869	?4.08673
