Pathway	Gene Symbol	Gene Name	Function
Mitotic Role of Polo-Like Kinase	CCNB1	Cyclin B1	G2/M cell cycle regulation
Mitotic Role of Polo-Like Kinase	CCNB2	Cyclin B2	G2/M cell cycle regulation
Mitotic Role of Polo-Like Kinase	CDC2	Cell division cycle 2, G1 to S and G2 to M	G1/S and G2/M cell cycle regulation
Mitotic Role of Polo-Like Kinase	CDC7	Cell division cycle 7 homolog (S. cerevisiae)	G1/S cell cycle regulation
Mitotic Role of Polo-Like Kinase	CDC20	Cell division cycle 20 homolog (S. cerevisiae)	Spindle assembly checkpoint
Mitotic Role of Polo-Like Kinase	KIF11	Kinesin family member 11	Spindle formation in mitosis
Mitotic Role of Polo-Like Kinase	KIF23	Kinesin family member 23	Chromosome division in mitosis
Mitotic Role of Polo-Like Kinase	PLK1	Polo-like kinase 1 (Drosophila)	Cell cleavage during mitosis
Mitotic Role of Polo-Like Kinase	PLK4	Polo-like kinase 4 (Drosophila)	Regulation of centriole duplication
Mitotic Role of Polo-Like Kinase	PPP2R1B	Protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	Cell cycle checkpoint control and inhibition of nuclear telomerase activity
Mitotic Role of Polo-Like Kinase	PRC1	Protein regulator of cytokinesis 1	Microtubule bundling for central spindle assembly
Mitotic Role of Polo-Like Kinase	PTTG1	Pituitary tumor-transforming 1	Spindle assembly checkpoint
Pyruvate Metabolism	ACACB	Acetyl-Coenzyme A carboxylase beta	Fatty acid oxidation
Pyruvate Metabolism	ACAT1	Acetyl-Coenzyme A acetyltransferase 1	Cholesterol synthesis
Pyruvate Metabolism	ACOT9	Acyl-CoA thioesterase 9	Unknown
Pyruvate Metabolism	ACSL1	Acyl-CoA synthetase long-chain family member 1	Lipid biosynthesis and fatty acid degradation
Pyruvate Metabolism	ACYP1	Acylphosphatase 1, erythrocyte (common) type	Hydrolysis of carboxyl-phosphate bond of acylphosphates
Pyruvate Metabolism	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	Alcohol metabolism
Pyruvate Metabolism	ME3	Malic enzyme 3, NADP(+)-dependent, mitochondrial	Aerobic glycolysis
Pyruvate Metabolism	PCK1	Phosphoenolpyruvate carboxykinase 1 (soluble)	Gluconeogenesis regulation
Pyruvate Metabolism	PKM2	Pyruvate kinase, muscle	Glycolysis
G2/M DNA Damage Checkpoint Regulation	CCNB1	Cyclin B1	G2/M cell cycle regulation
G2/M DNA Damage Checkpoint Regulation	CCNB2	Cyclin B2	G2/M cell cycle regulation
G2/M DNA Damage Checkpoint Regulation	CDC2	Cell division cycle 2, G1 to S and G2 to M	G1/S and G2/M cell cycle regulation
G2/M DNA Damage Checkpoint Regulation	CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	G1/S cell cycle regulation
G2/M DNA Damage Checkpoint Regulation	CHEK1	CHK1 checkpoint homolog (S. pombe)	G2/M cell cycle regulation
G2/M DNA Damage Checkpoint Regulation	PLK1	Polo-like kinase 1 (Drosophila)	Cell cleavage during mitosis
G2/M DNA Damage Checkpoint Regulation	TOP2A	Topoisomerase (DNA) II alpha 170kDa	DNA topologic state alteration
p53 Signaling	BAX	BCL2-associated X protein	Apoptosis activator
p53 Signaling	BIRC5	Baculoviral IAP repeat-containing 5	Apoptosis inhibitor
p53 Signaling	CABC1	Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	P53 mediated apoptosis
p53 Signaling	CCND2	Cyclin D2	G1/S cell cycle regulation
p53 Signaling	CDK2	Cyclin-dependent kinase 2	G1/S cell cycle regulation
p53 Signaling	CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	G1/S cell cycle regulation
p53 Signaling	CHEK1	CHK1 checkpoint homolog (S. pombe)	G2/M cell cycle regulation
p53 Signaling	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	Antagonist of proapoptotic genes (Bcl-2 and Bcl-xl)
p53 Signaling	THBS1	Thrombospondin 1	Mediation of cell-cell, cell-matrix interaction
p53 Signaling	WT1	Wilms tumor 1	Tumor suppressor
Aryl Hydrocarbon Receptor Signaling	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	Alcohol metabolism
Aryl Hydrocarbon Receptor Signaling	BAX	BCL2-associated X protein	Apoptosis activator
Aryl Hydrocarbon Receptor Signaling	CCNA2	Cyclin A2	G1/S and G2/M cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	CCND2	Cyclin D2	G1/S cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	CCNE2	Cyclin E2	G1/S cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	CDK2	Cyclin-dependent kinase 2	G1/S cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	G1/S cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	CHEK1	CHK1 checkpoint homolog (S. pombe)	G2/M cell cycle regulation
Aryl Hydrocarbon Receptor Signaling	HSPB1	Heat shock 27kDa protein 1	Apoptosis, cell migration
Aryl Hydrocarbon Receptor Signaling	NFIB	Nuclear factor I/B	Transcription factor
Aryl Hydrocarbon Receptor Signaling	NQO1	NAD(P)H dehydrogenase, quinone 1	Reduction of quinones
Aryl Hydrocarbon Receptor Signaling	POLA	Polymerase (DNA directed), alpha 1, catalytic subunit	DNA replication
Aryl Hydrocarbon Receptor Signaling	SLC35A2	Solute carrier family 35 (UDP-galactose transporter), member A2	Protein transport
Factors Promoting Cardiogenesis in Vertebrates	BMP1	Bone morphogenetic protein 1	Cartilage formation
Factors Promoting Cardiogenesis in Vertebrates	CCNE2	Cyclin E2	G1/S cell cycle regulation
Factors Promoting Cardiogenesis in Vertebrates	CDC6	Cell division cycle 6 homolog (S. cerevisiae)	G1/S cell cycle regulation
Factors Promoting Cardiogenesis in Vertebrates	CDK2	Cyclin-dependent kinase 2	G1/S cell cycle regulation
Factors Promoting Cardiogenesis in Vertebrates	FZD1	Frizzled homolog 1 (Drosophila)	Wnt signaling
Factors Promoting Cardiogenesis in Vertebrates	FZD2	Frizzled homolog 2 (Drosophila)	Wnt signaling
Factors Promoting Cardiogenesis in Vertebrates	FZD4	Frizzled homolog 4 (Drosophila)	Wnt signaling
Factors Promoting Cardiogenesis in Vertebrates	PRKCA	Protein kinase C, alpha	G2/M cell cycle regulation
Role of BRCA1 in DNA Damage Response	BARD1	BRCA1 associated RING domain 1	BRCA1 tumor suppression
Role of BRCA1 in DNA Damage Response	CHEK1	CHK1 checkpoint homolog (S. pombe)	G2/M cell cycle regulation
Role of BRCA1 in DNA Damage Response	PLK1	Polo-like kinase 1 (Drosophila)	Cell cleavage during mitosis
Role of BRCA1 in DNA Damage Response	RBBP8	Retinoblastoma binding protein 8	G2/M cell cycle regulation
Role of BRCA1 in DNA Damage Response	RFC5	Replication factor C (activator 1) 5, 36.5kDa	DNA replication
Role of BRCA1 in DNA Damage Response	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	DNA replication
Glycolysis -Gluconeogene sis	ACSL1	Acyl-CoA synthetase long-chain family member 1	Lipid biosynthesis and fatty acid degradation
Glycolysis -Gluconeogene sis	ACYP1	Acylphosphatase 1, erythrocyte (common) type	Hydrolysis of carboxyl-phosphate bond of acylphosphates
Glycolysis -Gluconeogene sis	ADH1B	Alcohol dehydrogenase 1B (class I), beta polypeptide	Alcohol metabolism
Glycolysis -Gluconeogene sis	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	Alcohol metabolism
Glycolysis -Gluconeogene sis	ENO2	Enolase 2 (gamma, neuronal)	Catalysis of interconversion between 2PG and PEP
Glycolysis -Gluconeogene sis	PFKP	Phosphofructokinase, platelet	Catalysis of conversion of fructose-6-phosphate to fructose-1,6-bisphosphate
Glycolysis -Gluconeogene sis	PGM3	Phosphoglucomutase 3	Catalysis of interconversion of glucose-1-phosphate and glucose-6-phosphate
Glycolysis -Gluconeogene sis	PKM2	Pyruvate kinase, muscle	ATP and pyruvate generation
