UNIQID	Gene Name	GSM280530	GSM280531	GSM280532	GSM280533
H300020745	KLK8	1.49057013	#NAME?	#NAME?	#NAME?
H200014214	UBC	16.42255759	15.66633498	17.32087105	16.89562261
H300011920	UBC	11.96470186	11.14784089	8.776433032	9.812177306
H200000387	MSX1	7.741466986	#NAME?	10.31288296	8.218684313
H200005091	CD81	9.388232597	10.17741954	11.01122726	10.47775827
H300022343	MYL6	5.266411766	5.225737653	7.712870868	6.741466986
H300022344	MYL6	16.16372829	15.99634108	17.60188683	17.16071839
H200007681	PPM1E	#NAME?	0.22650853	#NAME?	#NAME?
H300021389	PPM1E	#NAME?	#NAME?	#NAME?	#NAME?
H200005230	GDI2	12.64205169	12.088457	11.83328544	11.31118066
H200000801	CRLS1	9.753551055	9.306745269	5.009884589	5.472487771
H200003990	CLN5	8.704595348	8.882948673	7.12722055	6.313245852
H200007284	PRKACG	#NAME?	#NAME?	#NAME?	#NAME?
H200004783	CCBL1	4.019701914	6.428778891	7.904484098	7.856736756
H300014387	CCBL1	#NAME?	6.024807233	6.266786541	5.848497755
H200014044	TCEB3	4.537917249	4.681449265	6.025471815	5.062639828
H200017620	HPS3	6.824004051	5.949067966	#NAME?	3.697106574
H300016793	HPS3	4.003602237	#NAME?	0.948600847	3.456806149
H200014804	SMARCA2	8.213833283	9.658568541	7.040015679	7.427103287
H300020043	SMARCA2	5.780047576	8.056366761	8.079484784	7.265849421
H300006690	SLC36A1	#NAME?	#NAME?	#NAME?	#NAME?
H200000254	NCF2	10.53915881	12.00772811	9.597493929	11.46658634
H300018261	NCF2	3.12763328	0.432959407	3.850999395	1.761285273
H200019855	FRAP1	3.826802684	4.230356745	#NAME?	1.22650853
H200006951	ST8SIA1	#NAME?	6.588714636	4.64385619	3.023255352
H300021933	MDM2	#NAME?	-0.321928095	1.659924558	#NAME?
H300021934	MDM2	4.112700133	2.931683057	5.761551232	6.435628594
H300022641	MDM2	3.850999395	3.725741157	6.060695932	5.75033852
H300022642	MDM2	5.617357262	4.671293372	#NAME?	2.893362211
H300000889	MX1	8.447083226	8.087993146	8.186857067	9.483009577
H300012420	CENPA	5.417515003	#NAME?	2.837943242	3.174725988
H300021781	CENPA	9.412358137	3.054848477	#NAME?	5.925049965
H300005712	FXYD3	16.24006459	14.38370429	13.04797591	14.87761965
H300014842	GPSM3	2.414135533	#NAME?	3.744161096	1.761285273
H300021761	GPSM3	8.6043679	8.783653086	9.498450341	8.311067102
H300010014	STIM1	1.718087584	4.187451054	5.026800059	4.915520901
H200002676	NGFRAP1	14.86761659	11.58777752	13.92193389	12.94854975
H200005996	APC	5.594249948	6.354910512	-4.058893689	2.912649865
H200008593	GHITM	13.64227738	13.08314687	12.29289676	12.09934781
H200015687	PIK3CB	5.84323015	6.503189699	2.784503983	4.300855871
