Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Kiel	HSC(FetalLiver)	SGL	101502	Hsd3b7
Kiel	HSC(FetalLiver)	SGL	102294	Cyp4v3
Kiel	HSC(FetalLiver)	SGL	106064	AW549877
Kiel	HSC(FetalLiver)	SGL	107047	Psmg2
Kiel	HSC(FetalLiver)	SGL	107250	Kazald1
Kiel	HSC(FetalLiver)	SGL	107526	Gimap4
Kiel	HSC(FetalLiver)	SGL	108062	Cstf2
Kiel	HSC(FetalLiver)	SGL	108645	Mat2b
Kiel	HSC(FetalLiver)	SGL	108807	4933415E08Rik
Kiel	HSC(FetalLiver)	SGL	108946	Zzz3
Kiel	HSC(FetalLiver)	SGL	109332	Cdcp1
Kiel	HSC(FetalLiver)	SGL	11364	Acadm
Kiel	HSC(FetalLiver)	SGL	114674	Gtf2ird2
Kiel	HSC(FetalLiver)	SGL	114716	Spred2
Kiel	HSC(FetalLiver)	SGL	11480	Acvr2a
Kiel	HSC(FetalLiver)	SGL	11513	Adcy7
Kiel	HSC(FetalLiver)	SGL	11622	Ahr
Kiel	HSC(FetalLiver)	SGL	11797	Birc2
Kiel	HSC(FetalLiver)	SGL	11909	Atf2
Kiel	HSC(FetalLiver)	SGL	12010	B2m
Kiel	HSC(FetalLiver)	SGL	12033	Bcap29
Kiel	HSC(FetalLiver)	SGL	12151	Bmi1
Kiel	HSC(FetalLiver)	SGL	12193	Zfp36l2
Kiel	HSC(FetalLiver)	SGL	12314	Calm2
Kiel	HSC(FetalLiver)	SGL	12339	Capn7
Kiel	HSC(FetalLiver)	SGL	12363	Casp4
Kiel	HSC(FetalLiver)	SGL	12387	Ctnnb1
Kiel	HSC(FetalLiver)	SGL	12393	Runx2
Kiel	HSC(FetalLiver)	SGL	12400	Cbfb
Kiel	HSC(FetalLiver)	SGL	12444	Ccnd2
Kiel	HSC(FetalLiver)	SGL	12452	Ccng2
Kiel	HSC(FetalLiver)	SGL	12457	Ccrn4l
Kiel	HSC(FetalLiver)	SGL	12479	Cd1d1
Kiel	HSC(FetalLiver)	SGL	12480	Cd1d2
Kiel	HSC(FetalLiver)	SGL	12577	Cdkn1c
