Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Kiel	HSC(SLAM)	SGL	100037282	Rshl2b
Kiel	HSC(SLAM)	SGL	100041289	LOC100041289
Kiel	HSC(SLAM)	SGL	100042605	LOC100042605
Kiel	HSC(SLAM)	SGL	100043387	RP23-232H13.5
Kiel	HSC(SLAM)	SGL	100115	AI428898
Kiel	HSC(SLAM)	SGL	100177	Zmym6
Kiel	HSC(SLAM)	SGL	100756	Usp30
Kiel	HSC(SLAM)	SGL	101120	AI506767
Kiel	HSC(SLAM)	SGL	101142	Itfg2
Kiel	HSC(SLAM)	SGL	101471	AA673488
Kiel	HSC(SLAM)	SGL	101502	Hsd3b7
Kiel	HSC(SLAM)	SGL	101823	AW060742
Kiel	HSC(SLAM)	SGL	102058	Exoc8
Kiel	HSC(SLAM)	SGL	102093	Phkb
Kiel	HSC(SLAM)	SGL	102294	Cyp4v3
Kiel	HSC(SLAM)	SGL	102747	Lrrc49
Kiel	HSC(SLAM)	SGL	102866	Pls3
Kiel	HSC(SLAM)	SGL	103012	6720401G13Rik
Kiel	HSC(SLAM)	SGL	103537	Mbtd1
Kiel	HSC(SLAM)	SGL	103710	Slc35e4
Kiel	HSC(SLAM)	SGL	103784	Wdr92
Kiel	HSC(SLAM)	SGL	103836	Zfp692
Kiel	HSC(SLAM)	SGL	104303	Arl1
Kiel	HSC(SLAM)	SGL	104349	Zfp119
Kiel	HSC(SLAM)	SGL	104871	Spata7
Kiel	HSC(SLAM)	SGL	105000	Dnalc1
Kiel	HSC(SLAM)	SGL	105183	AI462951
Kiel	HSC(SLAM)	SGL	105670	Rcbtb2
Kiel	HSC(SLAM)	SGL	105827	Amigo2
Kiel	HSC(SLAM)	SGL	105835	Sgsm3
Kiel	HSC(SLAM)	SGL	105837	Mtbp
Kiel	HSC(SLAM)	SGL	105912	AI848285
Kiel	HSC(SLAM)	SGL	106248	Qtrtd1
Kiel	HSC(SLAM)	SGL	106264	0610012G03Rik
Kiel	HSC(SLAM)	SGL	106877	Afap1l1
Kiel	HSC(SLAM)	SGL	107173	Gpr137
Kiel	HSC(SLAM)	SGL	107227	Macrod1
Kiel	HSC(SLAM)	SGL	107250	Kazald1
Kiel	HSC(SLAM)	SGL	107358	Tm9sf3
Kiel	HSC(SLAM)	SGL	107508	Eprs
Kiel	HSC(SLAM)	SGL	107522	Ece2
Kiel	HSC(SLAM)	SGL	107568	Wwp1
Kiel	HSC(SLAM)	SGL	107581	Col16a1
Kiel	HSC(SLAM)	SGL	107589	Mylk
Kiel	HSC(SLAM)	SGL	107684	Coro2a
Kiel	HSC(SLAM)	SGL	107747	Aldh1l1
Kiel	HSC(SLAM)	SGL	108062	Cstf2
Kiel	HSC(SLAM)	SGL	108121	U2af1
Kiel	HSC(SLAM)	SGL	108147	Atic
Kiel	HSC(SLAM)	SGL	108155	Ogt
Kiel	HSC(SLAM)	SGL	108652	Slc35b3
Kiel	HSC(SLAM)	SGL	108767	Pnrc1
Kiel	HSC(SLAM)	SGL	108807	4933415E08Rik
Kiel	HSC(SLAM)	SGL	108816	4933409K07Rik
Kiel	HSC(SLAM)	SGL	109042	Prkcdbp
Kiel	HSC(SLAM)	SGL	109115	Supt3h
Kiel	HSC(SLAM)	SGL	109161	Ube2q2
Kiel	HSC(SLAM)	SGL	109163	3010003L21Rik
Kiel	HSC(SLAM)	SGL	109169	6330403M23Rik
Kiel	HSC(SLAM)	SGL	109332	Cdcp1
Kiel	HSC(SLAM)	SGL	109333	Pkn2
Kiel	HSC(SLAM)	SGL	110454	Ly6a
Kiel	HSC(SLAM)	SGL	110532	Adarb1
Kiel	HSC(SLAM)	SGL	110593	Prdm2
Kiel	HSC(SLAM)	SGL	110616	Atxn3
Kiel	HSC(SLAM)	SGL	110695	Aldh7a1
Kiel	HSC(SLAM)	SGL	110821	Pcca
Kiel	HSC(SLAM)	SGL	112422	2610305D13Rik
Kiel	HSC(SLAM)	SGL	114128	Laptm4b
Kiel	HSC(SLAM)	SGL	114606	Tle6
Kiel	HSC(SLAM)	SGL	114674	Gtf2ird2
Kiel	HSC(SLAM)	SGL	114774	Pawr
Kiel	HSC(SLAM)	SGL	11480	Acvr2a
Kiel	HSC(SLAM)	SGL	114893	Dcun1d1
Kiel	HSC(SLAM)	SGL	11496	Adam22
Kiel	HSC(SLAM)	SGL	11515	Adcy9
Kiel	HSC(SLAM)	SGL	11600	Angpt1
Kiel	HSC(SLAM)	SGL	11657	Alb
Kiel	HSC(SLAM)	SGL	11658	Alcam
Kiel	HSC(SLAM)	SGL	11746	Anxa4
Kiel	HSC(SLAM)	SGL	11806	Apoa1
Kiel	HSC(SLAM)	SGL	11846	Arg1
Kiel	HSC(SLAM)	SGL	11855	Arhgap5
Kiel	HSC(SLAM)	SGL	11856	Arhgap6
Kiel	HSC(SLAM)	SGL	11981	Atp9a
Kiel	HSC(SLAM)	SGL	12033	Bcap29
Kiel	HSC(SLAM)	SGL	12040	Bckdhb
Kiel	HSC(SLAM)	SGL	12043	Bcl2
Kiel	HSC(SLAM)	SGL	12068	Bet1
Kiel	HSC(SLAM)	SGL	12111	Bgn
Kiel	HSC(SLAM)	SGL	12350	Car3
Kiel	HSC(SLAM)	SGL	12380	Cast
Kiel	HSC(SLAM)	SGL	12394	Runx1
Kiel	HSC(SLAM)	SGL	12398	Cbfa2t3
Kiel	HSC(SLAM)	SGL	12408	Cbr1
Kiel	HSC(SLAM)	SGL	12421	Rb1cc1
Kiel	HSC(SLAM)	SGL	12444	Ccnd2
Kiel	HSC(SLAM)	SGL	12488	Cd2ap
Kiel	HSC(SLAM)	SGL	12490	Cd34
Kiel	HSC(SLAM)	SGL	12577	Cdkn1c
Kiel	HSC(SLAM)	SGL	12649	Chek1
Kiel	HSC(SLAM)	SGL	12722	Clca1
Kiel	HSC(SLAM)	SGL	12751	Tpp1
Kiel	HSC(SLAM)	SGL	12785	Cnbp
Kiel	HSC(SLAM)	SGL	12826	Col4a1
Kiel	HSC(SLAM)	SGL	12827	Col4a2
Kiel	HSC(SLAM)	SGL	12914	Crebbp
Kiel	HSC(SLAM)	SGL	12946	Cr1l
Kiel	HSC(SLAM)	SGL	13024	Ctla2a
Kiel	HSC(SLAM)	SGL	13025	Ctla2b
Kiel	HSC(SLAM)	SGL	13070	Cyp11a1
Kiel	HSC(SLAM)	SGL	13106	Cyp2e1
Kiel	HSC(SLAM)	SGL	13107	Cyp2f2
Kiel	HSC(SLAM)	SGL	13123	Cyp7b1
Kiel	HSC(SLAM)	SGL	13134	Dach1
Kiel	HSC(SLAM)	SGL	13138	Dag1
Kiel	HSC(SLAM)	SGL	13170	Dbp
Kiel	HSC(SLAM)	SGL	13171	Dbt
Kiel	HSC(SLAM)	SGL	13180	Pcbd1
Kiel	HSC(SLAM)	SGL	13207	Ddx5
Kiel	HSC(SLAM)	SGL	13356	Dgcr2
Kiel	HSC(SLAM)	SGL	13371	Dio2
Kiel	HSC(SLAM)	SGL	13418	Dnajc1
Kiel	HSC(SLAM)	SGL	13435	Dnmt3a
Kiel	HSC(SLAM)	SGL	13436	Dnmt3b
Kiel	HSC(SLAM)	SGL	13518	Dst
Kiel	HSC(SLAM)	SGL	13619	Phc1
Kiel	HSC(SLAM)	SGL	13631	Eef2k
Kiel	HSC(SLAM)	SGL	13650	Rhbdf1
Kiel	HSC(SLAM)	SGL	13805	Eng
Kiel	HSC(SLAM)	SGL	13821	Epb4.1l1
Kiel	HSC(SLAM)	SGL	13972	Gnb1l
Kiel	HSC(SLAM)	SGL	13982	Esr1
Kiel	HSC(SLAM)	SGL	13992	Khdrbs3
Kiel	HSC(SLAM)	SGL	14011	Etv6
Kiel	HSC(SLAM)	SGL	14025	Bcl11a
Kiel	HSC(SLAM)	SGL	14043	Ext2
Kiel	HSC(SLAM)	SGL	14049	Eya2
Kiel	HSC(SLAM)	SGL	140546	Prnpip1
Kiel	HSC(SLAM)	SGL	140580	Elmo1
Kiel	HSC(SLAM)	SGL	14065	F2rl3
Kiel	HSC(SLAM)	SGL	140795	P2ry14
Kiel	HSC(SLAM)	SGL	14080	Fabp1
Kiel	HSC(SLAM)	SGL	14104	Fasn
Kiel	HSC(SLAM)	SGL	14121	Fbp1
Kiel	HSC(SLAM)	SGL	14148	Fdx1
Kiel	HSC(SLAM)	SGL	14166	Fgf11
Kiel	HSC(SLAM)	SGL	14199	Fhl1
Kiel	HSC(SLAM)	SGL	14202	Fhl4
Kiel	HSC(SLAM)	SGL	14218	Sh3pxd2a
Kiel	HSC(SLAM)	SGL	14247	Fli1
Kiel	HSC(SLAM)	SGL	142688	Asb13
Kiel	HSC(SLAM)	SGL	14296	Frat1
Kiel	HSC(SLAM)	SGL	14319	Fth1
Kiel	HSC(SLAM)	SGL	14360	Fyn
Kiel	HSC(SLAM)	SGL	14453	Gas2
Kiel	HSC(SLAM)	SGL	14455	Gas5
Kiel	HSC(SLAM)	SGL	14461	Gata2
Kiel	HSC(SLAM)	SGL	14462	Gata3
Kiel	HSC(SLAM)	SGL	14467	Gbas
Kiel	HSC(SLAM)	SGL	14469	Gbp2
Kiel	HSC(SLAM)	SGL	14473	Gc
Kiel	HSC(SLAM)	SGL	14538	Gcnt2
Kiel	HSC(SLAM)	SGL	14609	Gja1
Kiel	HSC(SLAM)	SGL	14635	Galk1
Kiel	HSC(SLAM)	SGL	14687	Gnaz
Kiel	HSC(SLAM)	SGL	14697	Gnb5
Kiel	HSC(SLAM)	SGL	14766	Gpr56
Kiel	HSC(SLAM)	SGL	14768	Lancl1
Kiel	HSC(SLAM)	SGL	14789	Leprel2
Kiel	HSC(SLAM)	SGL	14852	Gspt1
Kiel	HSC(SLAM)	SGL	14873	Gsto1
Kiel	HSC(SLAM)	SGL	14874	Gstz1
Kiel	HSC(SLAM)	SGL	14886	Gtf2i
Kiel	HSC(SLAM)	SGL	14913	Guca1a
Kiel	HSC(SLAM)	SGL	15107	Hadh
Kiel	HSC(SLAM)	SGL	15200	Hbegf
Kiel	HSC(SLAM)	SGL	15278	Tfb2m
Kiel	HSC(SLAM)	SGL	15377	Foxa3
Kiel	HSC(SLAM)	SGL	15387	Hnrnpk
Kiel	HSC(SLAM)	SGL	15405	Hoxa9
Kiel	HSC(SLAM)	SGL	15412	Hoxb4
Kiel	HSC(SLAM)	SGL	15525	Hspa4
Kiel	HSC(SLAM)	SGL	15950	Ifi203
Kiel	HSC(SLAM)	SGL	16158	Il11ra2
Kiel	HSC(SLAM)	SGL	16403	Itga6
Kiel	HSC(SLAM)	SGL	16431	Itm2a
Kiel	HSC(SLAM)	SGL	16443	Itsn1
Kiel	HSC(SLAM)	SGL	16456	F11r
Kiel	HSC(SLAM)	SGL	16483	Kap
Kiel	HSC(SLAM)	SGL	16543	Mdfic
Kiel	HSC(SLAM)	SGL	16558	Kif16b
Kiel	HSC(SLAM)	SGL	16559	Kif17
Kiel	HSC(SLAM)	SGL	16563	Kif2a
Kiel	HSC(SLAM)	SGL	16568	Kif3a
Kiel	HSC(SLAM)	SGL	16590	Kit
Kiel	HSC(SLAM)	SGL	16668	Krt18
Kiel	HSC(SLAM)	SGL	170439	Elovl6
Kiel	HSC(SLAM)	SGL	170459	Stard4
Kiel	HSC(SLAM)	SGL	17063	Muc13
Kiel	HSC(SLAM)	SGL	170740	Zfp287
Kiel	HSC(SLAM)	SGL	170753	Zfp704
Kiel	HSC(SLAM)	SGL	170757	Eltd1
Kiel	HSC(SLAM)	SGL	170763	Zfp87
Kiel	HSC(SLAM)	SGL	170942	Erdr1
Kiel	HSC(SLAM)	SGL	171210	Acot2
Kiel	HSC(SLAM)	SGL	17125	Smad1
Kiel	HSC(SLAM)	SGL	17129	Smad5
Kiel	HSC(SLAM)	SGL	17133	Maff
Kiel	HSC(SLAM)	SGL	17179	Matk
Kiel	HSC(SLAM)	SGL	17217	Mcm4
Kiel	HSC(SLAM)	SGL	17250	Abcc1
Kiel	HSC(SLAM)	SGL	17261	Mef2d
Kiel	HSC(SLAM)	SGL	17268	Meis1
Kiel	HSC(SLAM)	SGL	17356	Mllt4
Kiel	HSC(SLAM)	SGL	17765	Mtf2
Kiel	HSC(SLAM)	SGL	17842	Mup3
Kiel	HSC(SLAM)	SGL	17843	Mup4
Kiel	HSC(SLAM)	SGL	17844	Mup5
Kiel	HSC(SLAM)	SGL	17858	Mx2
Kiel	HSC(SLAM)	SGL	17863	Myb
Kiel	HSC(SLAM)	SGL	17909	Myo10
Kiel	HSC(SLAM)	SGL	17975	Ncl
Kiel	HSC(SLAM)	SGL	17999	Nedd4
Kiel	HSC(SLAM)	SGL	18007	Neo1
