Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Orwig	SSC	SGL	100037283	Rnaset2a
Orwig	SSC	SGL	100042049	LOC100042049
Orwig	SSC	SGL	100177	Zmym6
Orwig	SSC	SGL	104367	Snora65
Orwig	SSC	SGL	104444	Rexo2
Orwig	SSC	SGL	104457	0610010K14Rik
Orwig	SSC	SGL	105148	Iars
Orwig	SSC	SGL	106344	Rfc4
Orwig	SSC	SGL	107435	Hat1
Orwig	SSC	SGL	107508	Eprs
Orwig	SSC	SGL	107686	Snrpd2
Orwig	SSC	SGL	107932	Chd4
Orwig	SSC	SGL	107995	Cdc20
Orwig	SSC	SGL	108116	Slco3a1
Orwig	SSC	SGL	110454	Ly6a
Orwig	SSC	SGL	11303	Abca1
Orwig	SSC	SGL	113868	Acaa1a
Orwig	SSC	SGL	114332	Lyve1
Orwig	SSC	SGL	11655	Alas1
Orwig	SSC	SGL	11834	Aqr
Orwig	SSC	SGL	11910	Atf3
Orwig	SSC	SGL	12028	Bax
Orwig	SSC	SGL	12173	Bnc1
Orwig	SSC	SGL	12235	Bub1
Orwig	SSC	SGL	12258	Serping1
Orwig	SSC	SGL	12259	C1qa
Orwig	SSC	SGL	12260	C1qb
Orwig	SSC	SGL	12262	C1qc
Orwig	SSC	SGL	12266	C3
Orwig	SSC	SGL	12268	C4b
Orwig	SSC	SGL	12315	Calm3
Orwig	SSC	SGL	12406	Serpinh1
Orwig	SSC	SGL	12442	Ccnb2
Orwig	SSC	SGL	12464	Cct4
Orwig	SSC	SGL	12465	Cct5
Orwig	SSC	SGL	12469	Cct8
Orwig	SSC	SGL	12475	Cd14
Orwig	SSC	SGL	12508	Cd53
Orwig	SSC	SGL	12514	Cd68
Orwig	SSC	SGL	12577	Cdkn1c
Orwig	SSC	SGL	12607	Cebpz
Orwig	SSC	SGL	12608	Cebpb
Orwig	SSC	SGL	12628	Cfh
Orwig	SSC	SGL	12683	Cidea
Orwig	SSC	SGL	12702	Socs3
Orwig	SSC	SGL	12772	Ccr2
Orwig	SSC	SGL	12822	Col18a1
Orwig	SSC	SGL	12826	Col4a1
Orwig	SSC	SGL	12842	Col1a1
Orwig	SSC	SGL	12843	Col1a2
Orwig	SSC	SGL	12856	Cox17
Orwig	SSC	SGL	12903	Crabp1
Orwig	SSC	SGL	12978	Csf1r
Orwig	SSC	SGL	13032	Ctsc
Orwig	SSC	SGL	13040	Ctss
Orwig	SSC	SGL	13132	Dab2
Orwig	SSC	SGL	13164	Dazl
Orwig	SSC	SGL	13178	Dck
Orwig	SSC	SGL	13179	Dcn
Orwig	SSC	SGL	13206	Ddx4
Orwig	SSC	SGL	13435	Dnmt3a
Orwig	SSC	SGL	13479	Dpep1
Orwig	SSC	SGL	13626	Eed
Orwig	SSC	SGL	13682	Eif4a2
