Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Aiba	ESC(iPS)	SGL	100038935	LOC100038935
Aiba	ESC(iPS)	SGL	100041354	LOC100041354
Aiba	ESC(iPS)	SGL	100340	Smpdl3b
Aiba	ESC(iPS)	SGL	100727	Ugt2b34
Aiba	ESC(iPS)	SGL	101320	Dyrk4
Aiba	ESC(iPS)	SGL	101488	Slco2b1
Aiba	ESC(iPS)	SGL	101602	AI467606
Aiba	ESC(iPS)	SGL	101739	Psip1
Aiba	ESC(iPS)	SGL	101966	D8Ertd738e
Aiba	ESC(iPS)	SGL	102278	Cpne7
Aiba	ESC(iPS)	SGL	102570	Slc22a13
Aiba	ESC(iPS)	SGL	102614	Rpp25
Aiba	ESC(iPS)	SGL	102991	AU022751
Aiba	ESC(iPS)	SGL	103098	Slc6a15
Aiba	ESC(iPS)	SGL	103135	Usp52
Aiba	ESC(iPS)	SGL	103149	Upb1
Aiba	ESC(iPS)	SGL	103172	Ndg2
Aiba	ESC(iPS)	SGL	103551	E130012A19Rik
Aiba	ESC(iPS)	SGL	103775	Slc25a41
Aiba	ESC(iPS)	SGL	104001	Rtn1
Aiba	ESC(iPS)	SGL	104156	Etv5
Aiba	ESC(iPS)	SGL	104174	Gldc
Aiba	ESC(iPS)	SGL	104271	Tex15
Aiba	ESC(iPS)	SGL	104383	Rcor2
Aiba	ESC(iPS)	SGL	104384	Rhox9
Aiba	ESC(iPS)	SGL	104681	Slc16a6
Aiba	ESC(iPS)	SGL	105171	Arrdc3
Aiba	ESC(iPS)	SGL	105239	Rnf44
Aiba	ESC(iPS)	SGL	105439	Slain1
Aiba	ESC(iPS)	SGL	105450	Mmrn2
Aiba	ESC(iPS)	SGL	105594	Cphx
Aiba	ESC(iPS)	SGL	105653	Phyhip
Aiba	ESC(iPS)	SGL	105853	Mal2
Aiba	ESC(iPS)	SGL	106248	Qtrtd1
Aiba	ESC(iPS)	SGL	106344	Rfc4
Aiba	ESC(iPS)	SGL	106347	Ildr1
Aiba	ESC(iPS)	SGL	106369	Ypel1
Aiba	ESC(iPS)	SGL	106393	Srl
Aiba	ESC(iPS)	SGL	106648	Cyp4f15
Aiba	ESC(iPS)	SGL	106766	Stap2
Aiba	ESC(iPS)	SGL	106821	AI314976
Aiba	ESC(iPS)	SGL	106952	Centd3
Aiba	ESC(iPS)	SGL	107435	Hat1
Aiba	ESC(iPS)	SGL	107586	Ovol2
Aiba	ESC(iPS)	SGL	107869	Cth
Aiba	ESC(iPS)	SGL	107934	Celsr3
Aiba	ESC(iPS)	SGL	107986	Ddb2
Aiba	ESC(iPS)	SGL	108017	Fxyd4
Aiba	ESC(iPS)	SGL	108072	Grm6
Aiba	ESC(iPS)	SGL	108075	Ltbp4
Aiba	ESC(iPS)	SGL	108079	Prkaa2
Aiba	ESC(iPS)	SGL	108114	Slc22a7
Aiba	ESC(iPS)	SGL	108800	Ston2
Aiba	ESC(iPS)	SGL	108900	2700049P18Rik
Aiba	ESC(iPS)	SGL	108911	Rcc2
Aiba	ESC(iPS)	SGL	108978	4930555G01Rik
Aiba	ESC(iPS)	SGL	109242	Kif24
Aiba	ESC(iPS)	SGL	109791	Clps
Aiba	ESC(iPS)	SGL	109857	Cbr3
Aiba	ESC(iPS)	SGL	109904	Mcf2
Aiba	ESC(iPS)	SGL	109979	Art3
Aiba	ESC(iPS)	SGL	110173	Manba
