Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Akashi	HSC	SGL	100038347	BC034069
Akashi	HSC	SGL	100041277	LOC100041277
Akashi	HSC	SGL	100126226	5430421N21Rik
Akashi	HSC	SGL	100129	Gpr153
Akashi	HSC	SGL	100177	Zmym6
Akashi	HSC	SGL	100213	Rusc2
Akashi	HSC	SGL	101023	Zfp513
Akashi	HSC	SGL	101122	Rpusd3
Akashi	HSC	SGL	101359	D330027H18Rik
Akashi	HSC	SGL	101477	AA960618
Akashi	HSC	SGL	101502	Hsd3b7
Akashi	HSC	SGL	101540	Prkd2
Akashi	HSC	SGL	102383	AA408396
Akashi	HSC	SGL	102414	Clk3
Akashi	HSC	SGL	102623	AI854107
Akashi	HSC	SGL	102774	Bbs4
Akashi	HSC	SGL	103012	6720401G13Rik
Akashi	HSC	SGL	103136	Pwp1
Akashi	HSC	SGL	103140	Gstt3
Akashi	HSC	SGL	103214	Tmevpg1
Akashi	HSC	SGL	103836	Zfp692
Akashi	HSC	SGL	104130	Ndufb11
Akashi	HSC	SGL	104367	Snora65
Akashi	HSC	SGL	104943	9030611O19Rik
Akashi	HSC	SGL	105171	Arrdc3
Akashi	HSC	SGL	105213	AI746446
Akashi	HSC	SGL	105418	E330034G19Rik
Akashi	HSC	SGL	105559	Mbnl2
Akashi	HSC	SGL	105651	Ppp1r3e
Akashi	HSC	SGL	105785	Kdelr3
Akashi	HSC	SGL	106298	Rrn3
Akashi	HSC	SGL	106722	AU023871
Akashi	HSC	SGL	106794	Dhx57
Akashi	HSC	SGL	107157	AI327134
Akashi	HSC	SGL	107243	4833438C02Rik
Akashi	HSC	SGL	107702	Rnh1
Akashi	HSC	SGL	108058	Camk2d
Akashi	HSC	SGL	108735	Sft2d2
Akashi	HSC	SGL	108767	Pnrc1
Akashi	HSC	SGL	108897	2810003C17Rik
Akashi	HSC	SGL	109241	Mbd5
Akashi	HSC	SGL	109254	9530008L14Rik
Akashi	HSC	SGL	109689	Arrb1
Akashi	HSC	SGL	109711	Actn1
Akashi	HSC	SGL	110454	Ly6a
Akashi	HSC	SGL	110695	Aldh7a1
Akashi	HSC	SGL	11430	Acox1
Akashi	HSC	SGL	114615	Elac1
Akashi	HSC	SGL	114662	Prss29
Akashi	HSC	SGL	114713	Rasa2
Akashi	HSC	SGL	114774	Pawr
Akashi	HSC	SGL	11481	Acvr2b
Akashi	HSC	SGL	114886	Cygb
Akashi	HSC	SGL	114893	Dcun1d1
Akashi	HSC	SGL	114896	Afg3l1
Akashi	HSC	SGL	11499	Adam5
Akashi	HSC	SGL	11515	Adcy9
Akashi	HSC	SGL	11600	Angpt1
Akashi	HSC	SGL	11669	Aldh2
Akashi	HSC	SGL	11671	Aldh3a2
Akashi	HSC	SGL	116848	Baz2a
Akashi	HSC	SGL	11690	Alox5ap
Akashi	HSC	SGL	11796	Birc3
Akashi	HSC	SGL	11797	Birc2
Akashi	HSC	SGL	11819	Nr2f2
Akashi	HSC	SGL	11855	Arhgap5
Akashi	HSC	SGL	11864	Arnt2
Akashi	HSC	SGL	11875	Art5
Akashi	HSC	SGL	11906	Zfhx3
Akashi	HSC	SGL	11910	Atf3
Akashi	HSC	SGL	11911	Atf4
Akashi	HSC	SGL	11928	Atp1a1
Akashi	HSC	SGL	11975	Atp6v0a1
Akashi	HSC	SGL	11977	Atp7a
Akashi	HSC	SGL	12006	Axin2
Akashi	HSC	SGL	12029	Bcl6b
Akashi	HSC	SGL	12111	Bgn
Akashi	HSC	SGL	12228	Btg3
Akashi	HSC	SGL	12332	Capg
Akashi	HSC	SGL	12334	Capn2
Akashi	HSC	SGL	12349	Car2
Akashi	HSC	SGL	12355	Nr1i3
Akashi	HSC	SGL	12373	Casq2
Akashi	HSC	SGL	12390	Cav2
Akashi	HSC	SGL	12399	Runx3
Akashi	HSC	SGL	12490	Cd34
Akashi	HSC	SGL	12524	Cd86
Akashi	HSC	SGL	12577	Cdkn1c
Akashi	HSC	SGL	12700	Cish
Akashi	HSC	SGL	12709	Ckb
Akashi	HSC	SGL	12747	Clk1
Akashi	HSC	SGL	12826	Col4a1
Akashi	HSC	SGL	12894	Cpt1a
Akashi	HSC	SGL	12946	Cr1l
Akashi	HSC	SGL	13024	Ctla2a
Akashi	HSC	SGL	13025	Ctla2b
Akashi	HSC	SGL	13039	Ctsl
Akashi	HSC	SGL	13047	Cux1
Akashi	HSC	SGL	13097	Cyp2c38
Akashi	HSC	SGL	13115	Cyp27b1
Akashi	HSC	SGL	13191	Dctn1
Akashi	HSC	SGL	13198	Ddit3
Akashi	HSC	SGL	13367	Diap1
Akashi	HSC	SGL	13385	Dlg4
Akashi	HSC	SGL	13481	Dpm2
Akashi	HSC	SGL	13506	Dsc2
Akashi	HSC	SGL	13518	Dst
Akashi	HSC	SGL	13586	Ear1
Akashi	HSC	SGL	13638	Efna3
Akashi	HSC	SGL	13714	Elk4
Akashi	HSC	SGL	13728	Mark2
Akashi	HSC	SGL	13800	Enah
Akashi	HSC	SGL	13805	Eng
Akashi	HSC	SGL	13821	Epb4.1l1
Akashi	HSC	SGL	13844	Ephb2
Akashi	HSC	SGL	13855	Epn2
Akashi	HSC	SGL	14049	Eya2
Akashi	HSC	SGL	14065	F2rl3
Akashi	HSC	SGL	14121	Fbp1
Akashi	HSC	SGL	14248	Flii
Akashi	HSC	SGL	142682	Zcchc14
Akashi	HSC	SGL	14275	Folr1
Akashi	HSC	SGL	14276	Folr2
Akashi	HSC	SGL	14284	Fosl2
Akashi	HSC	SGL	14296	Frat1
Akashi	HSC	SGL	14299	Freq
Akashi	HSC	SGL	14368	Fzd6
Akashi	HSC	SGL	14455	Gas5
Akashi	HSC	SGL	14461	Gata2
Akashi	HSC	SGL	14469	Gbp2
Akashi	HSC	SGL	14546	Gdap10
Akashi	HSC	SGL	14571	Gpd2
Akashi	HSC	SGL	14587	Gfra3
Akashi	HSC	SGL	14593	Ggps1
Akashi	HSC	SGL	14599	Gh
Akashi	HSC	SGL	14602	Ghrhr
Akashi	HSC	SGL	14634	Gli3
Akashi	HSC	SGL	14680	Gnal
Akashi	HSC	SGL	14687	Gnaz
Akashi	HSC	SGL	14688	Gnb1
Akashi	HSC	SGL	14714	Gnrh1
Akashi	HSC	SGL	14761	Gpr27
Akashi	HSC	SGL	14804	Grid2
Akashi	HSC	SGL	14853	Gspt2
Akashi	HSC	SGL	14886	Gtf2i
Akashi	HSC	SGL	14969	H2-Eb1
Akashi	HSC	SGL	15160	Serpind1
Akashi	HSC	SGL	15163	Hcls1
Akashi	HSC	SGL	15194	Htt
Akashi	HSC	SGL	15400	Hoxa3
Akashi	HSC	SGL	15405	Hoxa9
Akashi	HSC	SGL	15460	Hr
Akashi	HSC	SGL	15563	Htr5a
Akashi	HSC	SGL	15566	Htr7
Akashi	HSC	SGL	15936	Ier2
Akashi	HSC	SGL	16149	Cd74
Akashi	HSC	SGL	16323	Inhba
Akashi	HSC	SGL	16432	Itm2b
Akashi	HSC	SGL	16440	Itpr3
Akashi	HSC	SGL	16443	Itsn1
Akashi	HSC	SGL	16568	Kif3a
Akashi	HSC	SGL	16570	Kif3c
Akashi	HSC	SGL	16590	Kit
Akashi	HSC	SGL	16598	Klf2
Akashi	HSC	SGL	16600	Klf4
Akashi	HSC	SGL	16656	Hivep3
Akashi	HSC	SGL	16679	Krt86
Akashi	HSC	SGL	16822	Lcp2
