Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Forsberg	HSC	SGL	100177	Zmym6
Forsberg	HSC	SGL	100952	Emilin1
Forsberg	HSC	SGL	101502	Hsd3b7
Forsberg	HSC	SGL	102545	Cmtm7
Forsberg	HSC	SGL	102866	Pls3
Forsberg	HSC	SGL	103098	Slc6a15
Forsberg	HSC	SGL	103694	Tmed4
Forsberg	HSC	SGL	103712	6330403K07Rik
Forsberg	HSC	SGL	104943	9030611O19Rik
Forsberg	HSC	SGL	107528	Magee1
Forsberg	HSC	SGL	107569	Nt5c3
Forsberg	HSC	SGL	108101	Fermt3
Forsberg	HSC	SGL	109801	Glo1
Forsberg	HSC	SGL	109857	Cbr3
Forsberg	HSC	SGL	110095	Pygl
Forsberg	HSC	SGL	110695	Aldh7a1
Forsberg	HSC	SGL	11479	Acvr1b
Forsberg	HSC	SGL	11515	Adcy9
Forsberg	HSC	SGL	11600	Angpt1
Forsberg	HSC	SGL	11655	Alas1
Forsberg	HSC	SGL	11676	Aldoc
Forsberg	HSC	SGL	11747	Anxa5
Forsberg	HSC	SGL	11816	Apoe
Forsberg	HSC	SGL	11820	App
Forsberg	HSC	SGL	11826	Aqp1
Forsberg	HSC	SGL	11836	Araf
Forsberg	HSC	SGL	12111	Bgn
Forsberg	HSC	SGL	12177	Bnip3l
Forsberg	HSC	SGL	12183	Bpgm
Forsberg	HSC	SGL	12323	Camk2b
Forsberg	HSC	SGL	12349	Car2
Forsberg	HSC	SGL	12364	Casp12
Forsberg	HSC	SGL	12390	Cav2
Forsberg	HSC	SGL	12419	Cbx5
Forsberg	HSC	SGL	12512	Cd63
Forsberg	HSC	SGL	12527	Cd9
Forsberg	HSC	SGL	12577	Cdkn1c
Forsberg	HSC	SGL	12700	Cish
Forsberg	HSC	SGL	12826	Col4a1
Forsberg	HSC	SGL	12827	Col4a2
Forsberg	HSC	SGL	12869	Cox8b
Forsberg	HSC	SGL	12873	Cpa3
Forsberg	HSC	SGL	12928	Crk
Forsberg	HSC	SGL	13039	Ctsl
Forsberg	HSC	SGL	13043	Cttn
Forsberg	HSC	SGL	13110	Cyp2j6
Forsberg	HSC	SGL	13134	Dach1
Forsberg	HSC	SGL	13137	Daf2
Forsberg	HSC	SGL	13138	Dag1
Forsberg	HSC	SGL	13367	Diap1
Forsberg	HSC	SGL	13518	Dst
Forsberg	HSC	SGL	13601	Ecm1
Forsberg	HSC	SGL	13609	S1pr1
Forsberg	HSC	SGL	13629	Eef2
Forsberg	HSC	SGL	13636	Efna1
Forsberg	HSC	SGL	13650	Rhbdf1
Forsberg	HSC	SGL	13828	Epb4.2
Forsberg	HSC	SGL	14049	Eya2
Forsberg	HSC	SGL	14062	F2r
Forsberg	HSC	SGL	140742	Sesn1
Forsberg	HSC	SGL	14132	Fcgrt
Forsberg	HSC	SGL	14199	Fhl1
Forsberg	HSC	SGL	14314	Fstl1
Forsberg	HSC	SGL	14359	Fxr1
Forsberg	HSC	SGL	14412	Slc6a13
Forsberg	HSC	SGL	14460	Gata1
Forsberg	HSC	SGL	14461	Gata2
Forsberg	HSC	SGL	14472	Gbx2
Forsberg	HSC	SGL	14562	Gdf3
Forsberg	HSC	SGL	14600	Ghr
Forsberg	HSC	SGL	14605	Tsc22d3
Forsberg	HSC	SGL	14609	Gja1
Forsberg	HSC	SGL	14622	Gjb5
Forsberg	HSC	SGL	14645	Glul
Forsberg	HSC	SGL	14783	Grb10
Forsberg	HSC	SGL	14784	Grb2
Forsberg	HSC	SGL	14813	Grin2c
Forsberg	HSC	SGL	14860	Gsta4
Forsberg	HSC	SGL	14862	Gstm1
Forsberg	HSC	SGL	14958	H1f0
Forsberg	HSC	SGL	15122	Hba-a1
Forsberg	HSC	SGL	15127	Hbb
Forsberg	HSC	SGL	15129	Hbb-b1
Forsberg	HSC	SGL	15129	Hbb-b1
Forsberg	HSC	SGL	15132	Hbb-bh1
Forsberg	HSC	SGL	15275	Hk1
Forsberg	HSC	SGL	15354	Hmgb3
Forsberg	HSC	SGL	15377	Foxa3
Forsberg	HSC	SGL	15402	Hoxa5
Forsberg	HSC	SGL	15413	Hoxb5
Forsberg	HSC	SGL	15529	Sdc2
Forsberg	HSC	SGL	15893	Ica1
Forsberg	HSC	SGL	16002	Igf2
Forsberg	HSC	SGL	16403	Itga6
Forsberg	HSC	SGL	16431	Itm2a
Forsberg	HSC	SGL	16456	F11r
Forsberg	HSC	SGL	16601	Klf9
Forsberg	HSC	SGL	16668	Krt18
Forsberg	HSC	SGL	16826	Ldb2
Forsberg	HSC	SGL	16832	Ldhb
Forsberg	HSC	SGL	16922	Phyh
Forsberg	HSC	SGL	16976	Lrpap1
Forsberg	HSC	SGL	17105	Lyz2
Forsberg	HSC	SGL	17263	Meg3
Forsberg	HSC	SGL	17356	Mllt4
Forsberg	HSC	SGL	17388	Mmp15
Forsberg	HSC	SGL	17389	Mmp16
Forsberg	HSC	SGL	17904	Myl6
Forsberg	HSC	SGL	17984	Ndn
Forsberg	HSC	SGL	18007	Neo1
Forsberg	HSC	SGL	18022	Nfe2
Forsberg	HSC	SGL	18027	Nfia
Forsberg	HSC	SGL	18109	Mycn
Forsberg	HSC	SGL	18146	Npdc1
Forsberg	HSC	SGL	18158	Nppb
Forsberg	HSC	SGL	18295	Ogn
Forsberg	HSC	SGL	18393	Orc2l
Forsberg	HSC	SGL	18436	P2rx1
Forsberg	HSC	SGL	18514	Pbx1
Forsberg	HSC	SGL	18516	Pbx3
Forsberg	HSC	SGL	18537	Pcmt1
Forsberg	HSC	SGL	18557	Pctk3
Forsberg	HSC	SGL	18645	Pfn2
Forsberg	HSC	SGL	18805	Pld1
Forsberg	HSC	SGL	18970	Polb
Forsberg	HSC	SGL	18976	Pomc
Forsberg	HSC	SGL	19038	Ppic
Forsberg	HSC	SGL	19053	Ppp2cb
Forsberg	HSC	SGL	19073	Srgn
Forsberg	HSC	SGL	19088	Prkar2b
Forsberg	HSC	SGL	19106	Eif2ak2
Forsberg	HSC	SGL	19122	Prnp
Forsberg	HSC	SGL	19124	Procr
Forsberg	HSC	SGL	19139	Prps1
Forsberg	HSC	SGL	19224	Ptgs1
Forsberg	HSC	SGL	19225	Ptgs2
Forsberg	HSC	SGL	19242	Ptn
Forsberg	HSC	SGL	19249	Ptpn13
Forsberg	HSC	SGL	192657	Ell2
Forsberg	HSC	SGL	19285	Ptrf
Forsberg	HSC	SGL	19659	Rbp1
Forsberg	HSC	SGL	19693	Reg2
Forsberg	HSC	SGL	19716	Bex1
Forsberg	HSC	SGL	19934	Rpl22
Forsberg	HSC	SGL	19988	Rpl6
Forsberg	HSC	SGL	20187	Ryk
Forsberg	HSC	SGL	20322	Sord
Forsberg	HSC	SGL	20341	Selenbp1
Forsberg	HSC	SGL	20362	7-Sep
Forsberg	HSC	SGL	20392	Sgce
Forsberg	HSC	SGL	20439	Siah2
Forsberg	HSC	SGL	20442	St3gal1
Forsberg	HSC	SGL	20481	Ski
Forsberg	HSC	SGL	20496	Slc12a2
Forsberg	HSC	SGL	20541	Slc8a1
Forsberg	HSC	SGL	20619	Snap23
Forsberg	HSC	SGL	20646	Snrpn
Forsberg	HSC	SGL	20652	Soat1
Forsberg	HSC	SGL	20672	Sox18
Forsberg	HSC	SGL	20679	Sox6
Forsberg	HSC	SGL	20716	Serpina3n
Forsberg	HSC	SGL	20719	Serpinb6a
Forsberg	HSC	SGL	207212	Arhgef17
Forsberg	HSC	SGL	207728	Pde2a
Forsberg	HSC	SGL	208144	Dhx37
Forsberg	HSC	SGL	208177	Phldb2
Forsberg	HSC	SGL	20822	Trove2
Forsberg	HSC	SGL	20848	Stat3
Forsberg	HSC	SGL	20849	Stat4
Forsberg	HSC	SGL	208647	Creb3l2
Forsberg	HSC	SGL	20866	Stim1
Forsberg	HSC	SGL	208820	OTTMUSG00000004461
Forsberg	HSC	SGL	20887	Sult1a1
Forsberg	HSC	SGL	209039	Tenc1
Forsberg	HSC	SGL	210297	Lrch2
Forsberg	HSC	SGL	21349	Tal1
Forsberg	HSC	SGL	21388	Tbx5
Forsberg	HSC	SGL	214137	Arhgap29
Forsberg	HSC	SGL	21426	Tcfec
Forsberg	HSC	SGL	214459	Fnbp1l
Forsberg	HSC	SGL	216233	Socs2
Forsberg	HSC	SGL	216565	Ehbp1
Forsberg	HSC	SGL	21687	Tek
Forsberg	HSC	SGL	217333	Trim47
Forsberg	HSC	SGL	21814	Tgfbr3
Forsberg	HSC	SGL	21817	Tgm2
Forsberg	HSC	SGL	21821	Ift88
Forsberg	HSC	SGL	21822	Tgtp
Forsberg	HSC	SGL	21838	Thy1
Forsberg	HSC	SGL	21858	Timp2
Forsberg	HSC	SGL	21859	Timp3
Forsberg	HSC	SGL	21872	Tjp1
Forsberg	HSC	SGL	22029	Traf1
Forsberg	HSC	SGL	22038	Plscr1
Forsberg	HSC	SGL	22059	Trp53
Forsberg	HSC	SGL	22068	Trpc6
Forsberg	HSC	SGL	22152	Tubb3
Forsberg	HSC	SGL	22154	Tubb5
Forsberg	HSC	SGL	22156	Tuft1
Forsberg	HSC	SGL	22224	Usp10
Forsberg	HSC	SGL	22275	Urod
Forsberg	HSC	SGL	22320	Vamp8
Forsberg	HSC	SGL	22361	Vnn1
Forsberg	HSC	SGL	223649	Nrbp2
Forsberg	HSC	SGL	22371	Vwf
Forsberg	HSC	SGL	224938	Pja2
Forsberg	HSC	SGL	225115	Svil
Forsberg	HSC	SGL	226178	D19Wsu162e
Forsberg	HSC	SGL	226519	Lamc1
Forsberg	HSC	SGL	22755	Zfp93
Forsberg	HSC	SGL	22781	Ikzf4
Forsberg	HSC	SGL	22784	Slc30a3
Forsberg	HSC	SGL	229906	Gtf2b
