Gene symbol	Microarray fold change	RT-qPCR fold change	p-value
SPP1	6.9	7.12 +/- 3.28	0.012
MMP9	4.2	6.68 +/- 2.95	0.019
CTSS	2.6	2.72 +/- 0.90	0.041
CD163	2.2	2.12 +/- 0.48	0.028
CCR7	2.06	2.71 +/- 0.59	0.034
SFRP4	1.91	2.19 +/- 0.54	0.034
DKK3	1.9	1.73 +/- 0.24	0.01
AQP3	1.9	2.36 +/- 0.50	0.023
CTSL1	1.6	1.62 +/- 0.31	0.05
CD44	1.5	1.35 +/- 0.20	0.158
NRF1	1	1.03 +/- 0.08	0.875
ATGL	0.81	0.86 +/- 0.08	0.084
GAPDH	0.81	1.11 +/- 0.12	0.754
AQP7	0.73	0.82 +/- 0.06	0.008
PLAT	0.73	0.74 +/- 0.09	0.019
LEP	0.73	0.84 +/- 0.12	0.158
CIDEC	0.69	0.79 +/- 0.09	0.028
CD36	0.68	1.00 +/- 0.08	0.638
RARRES2	0.65	0.74 +/- 0.06	0.003
CES1	0.63	0.78 +/- 0.12	0.028
RBP4	0.54	0.88 +/- 0.14	0.158
SAA1	0.5	0.98 +/- 0.19	0.48
LHS	0.38	0.83 +/- 0.09	0.071
