Category	Gene
Upregulated genes	ABCC13
Upregulated genes	ACOX1
Upregulated genes	AFF1
Upregulated genes	BLVRB
Upregulated genes	BPGM
Upregulated genes	C1QB
Upregulated genes	C20orf108
Upregulated genes	CARD12
Upregulated genes	CCND2
Upregulated genes	CHPT1
Upregulated genes	CXCL16
Upregulated genes	F5
Upregulated genes	GLRX5
Upregulated genes	GYPA
Upregulated genes	GYPB
Upregulated genes	IGF2BP2
Upregulated genes	IL13RA1
Upregulated genes	IL1F7
Upregulated genes	IL1R2
Upregulated genes	IQGAP1
Upregulated genes	IRAK3
Upregulated genes	LGALS3
Upregulated genes	N4BP1
Upregulated genes	NEDD4L
Upregulated genes	NEDD9
Upregulated genes	NOTCH2
Upregulated genes	NPTN
Upregulated genes	NUDT4
Upregulated genes	PBX1
Upregulated genes	PGD
Upregulated genes	PLAUR
Upregulated genes	PLEK2
Upregulated genes	PLXDC2
Upregulated genes	RAB2B
Upregulated genes	RAP2C
Upregulated genes	RBMS1
Upregulated genes	SIAH2
Upregulated genes	SLA
Upregulated genes	SLC4A1
Upregulated genes	SMCHD1
Upregulated genes	SNCA
Upregulated genes	TMOD1
Upregulated genes	TNS1
Upregulated genes	TSPAN5
Upregulated genes	WFDC6
Upregulated genes	XK
Upregulated genes	ZDHHC2
Downregulated genes	BCNP1
Downregulated genes	C18orf24
Downregulated genes	CDC23
Downregulated genes	CELSR1
Downregulated genes	CNKSR2
Downregulated genes	COBLL1
Downregulated genes	CXXC6
Downregulated genes	CYP8B1
Downregulated genes	EDIL3
Downregulated genes	HECTD2
Downregulated genes	INPP4B
Downregulated genes	KCNK2
Downregulated genes	LARGE
Downregulated genes	MEOX2
Downregulated genes	MGAT5B
Downregulated genes	MTA1
Downregulated genes	MTUS1
Downregulated genes	NBEA
Downregulated genes	NUCKS1
Downregulated genes	PAWR
Downregulated genes	PLEKHQ1
Downregulated genes	PRRT1
Downregulated genes	PTPRK
Downregulated genes	RASGRP3
Downregulated genes	SCAND2
Downregulated genes	SCN3A
Downregulated genes	ST6GALNAC5
Downregulated genes	TIMELESS
Downregulated genes	TLK2
Downregulated genes	ZBTB10
Downregulated genes	ZC3H7B
