Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
212772_s_at	ATP-binding cassette, sub-family A (ABC1), member 2	ABCA2	0.02	-1.96	Cytoskeleton
225098_at	abl interactor 2	ABI2	0.034	-3.04	Cytoskeleton
225112_at	abl interactor 2	ABI2	0.044	-3.75	Cytoskeleton
202123_s_at	c-abl oncogene 1, receptor tyrosine kinase	ABL1	0.043	-1.56	Cytoskeleton
200801_x_at	actin, beta	ACTB	0.041	-3.08	Cytoskeleton
213867_x_at	actin, beta	ACTB	0.038	-2.65	Cytoskeleton
224594_x_at	actin, beta	ACTB	0.04	-2.68	Cytoskeleton
205882_x_at	adducin 3 (gamma)	ADD3	0.038	-1.67	Cytoskeleton
205481_at	adenosine A1 receptor	ADORA1	0.039	-1.64	Cytoskeleton
214221_at	Alstrom syndrome 1	ALMS1	0.03	-1.65	Cytoskeleton
1555284_at	amyotrophic lateral sclerosis 2 (juvenile)	ALS2	0	-1.79	Cytoskeleton
232184_at	amyotrophic lateral sclerosis 2 (juvenile)	ALS2	0.024	-1.62	Cytoskeleton
207087_x_at	ankyrin 1, erythrocytic	ANK1	0.03	-1.57	Cytoskeleton
208353_x_at	ankyrin 1, erythrocytic	ANK1	0.006	-1.66	Cytoskeleton
209442_x_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	0.016	-2.32	Cytoskeleton
215314_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	0.042	-1.61	Cytoskeleton
227439_at	ankyrin repeat and sterile alpha motif domain containing 1B	ANKS1B	0.029	-3.16	Cytoskeleton
205320_at	adenomatosis polyposis coli 2	APC2	0.031	-1.94	Cytoskeleton
202631_s_at	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	APPBP2	0.011	-1.75	Cytoskeleton
241701_at	Rho GTPase activating protein 21	ARHGAP21	0.008	-2.62	Cytoskeleton
1557688_at	Rho GTPase activating protein 26	ARHGAP26	0.006	-2.03	Cytoskeleton
205068_s_at	Rho GTPase activating protein 26	ARHGAP26	0.003	-1.65	Cytoskeleton
244548_at	Rho GTPase activating protein 26	ARHGAP26	0.002	-1.98	Cytoskeleton
1556155_at	ADP-ribosylation factor-like 8A	ARL8A	0.013	-1.81	Cytoskeleton
225347_at	ADP-ribosylation factor-like 8A	ARL8A	0.037	-2.48	Cytoskeleton
217852_s_at	ADP-ribosylation factor-like 8B	ARL8B	0.043	-4.25	Cytoskeleton
226914_at	actin related protein 2/3 complex, subunit 5-like	ARPC5L	0.04	-2.94	Cytoskeleton
226915_s_at	actin related protein 2/3 complex, subunit 5-like	ARPC5L	0.049	-2.08	Cytoskeleton
204902_s_at	ATG4 autophagy related 4 homolog B (S. cerevisiae)	ATG4B	0.035	-2.28	Cytoskeleton
204903_x_at	ATG4 autophagy related 4 homolog B (S. cerevisiae)	ATG4B	0.026	-1.73	Cytoskeleton
212280_x_at	ATG4 autophagy related 4 homolog B (S. cerevisiae)	ATG4B	0.011	-1.88	Cytoskeleton
1568706_s_at	Advillin	AVIL	0.018	1.87	Cytoskeleton
1556051_a_at	bicaudal D homolog 1 (Drosophila)	BICD1	0.017	-2.14	Cytoskeleton
204741_at	bicaudal D homolog 1 (Drosophila)	BICD1	0.029	-1.73	Cytoskeleton
