GeneSymbol	EntrezID	P.Value	adj.P.Val	FC
ABCB1	5243	7.96E-09	4.18E-06	1.6
ADAMTS1	9510	9.74E-05	3.18E-03	1.31
AGK	55750	1.24E-08	5.83E-06	1.41
AGPAT4	56895	1.20E-06	1.56E-04	1.3
AKAP5	9495	3.35E-07	6.11E-05	1.84
AKR1C3	8644	4.44E-07	7.28E-05	1.94
ANXA1	301	3.01E-05	1.46E-03	1.55
ARAP2	116984	7.61E-08	2.03E-05	1.4
AREG	374	3.64E-09	2.43E-06	1.55
ARL4C	10123	4.31E-08	1.37E-05	1.37
AUTS2	26053	1.17E-05	7.61E-04	1.33
B4GALT4	8702	3.79E-07	6.50E-05	1.33
B4GALT6	9331	5.26E-08	1.59E-05	1.5
BNC2	54796	1.83E-05	1.04E-03	1.51
BXDC5	80135	5.04E-06	4.33E-04	1.37
C1orf21	81563	4.66E-10	1.03E-06	1.72
C2orf46	339789	5.41E-08	1.59E-05	1.61
C5orf25	375484	1.95E-06	2.23E-04	1.31
C6orf150	115004	3.89E-07	6.65E-05	1.3
CACYBP	27101	1.11E-05	7.34E-04	1.38
CBLB	868	2.23E-08	8.72E-06	1.36
CCL4	6351	5.67E-06	4.73E-04	1.68
CCL4L1	9560	2.95E-09	2.24E-06	1.71
CCND2	894	5.21E-08	1.59E-05	1.34
CD160	11126	4.87E-07	7.78E-05	1.69
CD226	10666	3.60E-08	1.20E-05	1.34
CD244	51744	2.39E-08	9.10E-06	1.33
CD247	919	3.71E-09	2.43E-06	1.44
CD38	952	1.57E-11	1.07E-07	1.5
CD69	969	2.68E-09	2.18E-06	2.35
CEP78	84131	6.06E-11	2.50E-07	1.7
CKS2	1164	7.37E-05	2.62E-03	1.41
CLK1	1195	1.06E-05	7.30E-04	1.32
CMKLR1	1240	7.99E-10	1.21E-06	1.56
CNOT6L	246175	7.66E-07	1.08E-04	1.37
COG6	57511	8.78E-05	2.96E-03	1.3
COPS4	51138	3.10E-05	1.49E-03	1.3
CREM	1390	3.24E-09	2.34E-06	1.4
CRIM1	51232	2.14E-08	8.47E-06	1.36
CRISP3	10321	5.61E-05	2.20E-03	1.33
CROT	54677	1.06E-05	7.29E-04	1.31
CRYZ	1429	3.50E-06	3.36E-04	1.35
CST7	8530	5.72E-08	1.65E-05	1.39
CTSW	1521	5.36E-08	1.59E-05	1.47
CX3CR1	1524	1.26E-05	8.04E-04	1.36
CXorf26	51260	1.04E-05	7.29E-04	1.3
CYB5B	80777	6.58E-07	9.64E-05	1.32
DAB2	1601	1.52E-06	1.85E-04	1.34
DCLRE1A	9937	1.21E-06	1.56E-04	1.33
DDIT4	54541	4.35E-05	1.86E-03	1.38
DGKK	139189	6.50E-06	5.17E-04	1.53
DNAJA1	3301	5.55E-06	4.65E-04	1.47
DNAJB1	3337	9.13E-08	2.31E-05	1.63
DNAJC1	64215	1.05E-07	2.59E-05	1.31
DUSP1	1843	6.21E-08	1.74E-05	1.42
DUSP2	1844	1.62E-05	9.61E-04	1.38
EBP	10682	1.83E-06	2.12E-04	1.32
EFCAB4B	84766	1.92E-06	2.21E-04	1.4
EIF4A2	1974	5.16E-05	2.07E-03	1.4
ELOVL6	79071	9.58E-04	1.52E-02	1.36
ENC1	8507	7.02E-06	5.52E-04	1.31
ENPP4	22875	2.98E-06	3.02E-04	1.35
ENPP5	59084	4.30E-09	2.55E-06	1.64
EPB41L4A	64097	4.23E-05	1.83E-03	1.35
EREG	2069	2.00E-06	2.26E-04	1.41
ERMP1	79956	1.97E-07	4.19E-05	1.33
F2R	2149	1.35E-07	3.14E-05	1.45
FAM169A	26049	2.14E-08	8.47E-06	1.47
FAM35A	54537	1.89E-05	1.06E-03	1.4
FASLG	356	3.63E-09	2.43E-06	1.48
FCRL6	343413	2.29E-07	4.65E-05	1.55
FGFBP2	83888	2.75E-08	9.93E-06	1.78
FLJ00049	645372	2.19E-06	2.38E-04	1.31
FLJ14213	79899	4.24E-07	7.08E-05	1.44
FLJ16686	401124	1.04E-10	3.75E-07	1.95
FOS	2353	1.04E-09	1.38E-06	2.24
FOSB	2354	2.40E-08	9.10E-06	1.69
GBP4	115361	2.29E-05	1.20E-03	1.31
GK5	256356	1.45E-09	1.61E-06	1.52
GNAL	2774	5.71E-05	2.22E-03	1.4
GNG2	54331	2.62E-09	2.18E-06	1.32
GNGT2	2793	8.83E-08	2.30E-05	1.38
GNLY	10578	2.63E-05	1.33E-03	1.44
GNPTAB	79158	5.52E-07	8.39E-05	1.45
GOLGA9P	283796	7.12E-06	5.57E-04	1.3
GPR171	29909	3.50E-04	7.50E-03	1.41
GPR174	84636	3.03E-05	1.47E-03	1.44
GPR56	9289	7.40E-08	2.00E-05	1.65
GPR65	8477	6.57E-05	2.44E-03	1.38
GZMA	3001	1.76E-08	7.25E-06	1.93
GZMB	3002	2.43E-08	9.12E-06	1.48
GZMH	2999	2.42E-04	5.87E-03	1.37
GZMK	3003	2.24E-05	1.19E-03	1.6
HAVCR2	84868	4.24E-09	2.55E-06	1.59
hCG_1787519	643007	2.22E-03	2.73E-02	1.35
HEG1	57493	9.13E-08	2.31E-05	1.39
HLTF	6596	6.13E-07	9.12E-05	1.41
HMGN3	9324	4.11E-07	6.90E-05	1.33
HSP90AA1	3320	3.15E-06	3.14E-04	1.53
HSP90AA6P	441051	1.65E-03	2.21E-02	1.35
HSPA13	6782	1.78E-05	1.02E-03	1.39
HSPA1A	3303	2.70E-07	5.28E-05	1.39
HSPA1B	3304	1.13E-08	5.43E-06	1.5
HSPH1	10808	1.87E-07	4.08E-05	1.46
IKZF2	22807	4.16E-09	2.55E-06	1.44
IL12RB2	3595	1.10E-07	2.68E-05	1.55
IL18R1	8809	3.34E-06	3.27E-04	1.33
IL18RAP	8807	5.97E-08	1.71E-05	1.41
IL23R	149233	2.57E-06	2.68E-04	1.38
