Curated miRBase	GG Low	GG High	p value	FDR	Feature
hsa-miR-185	2	13.4	1.10E-06	0.0001	hsa_miR_185
hsa-miR-221	6.7	33	8.60E-06	0.001	hsa_miR_221
hsa-miR-491	1.6	7.7	3.40E-05	0.002	hsa_miR_491
hsa-miR-422b	1.7	9.4	5.09E-05	0.002	hsa_miR_422b
hsa-miR-146a	4.3	30.2	8.66E-05	0.002	hsa_miR_146a
hsa-miR-222	1.7	6.4	0.0004	0.01	hsa_miR_222
hsa-miR-181b	3.3	14.6	0.001	0.015	hsa_miR_181b
hsa-miR-130b	1.6	5.7	0.001	0.015	hsa_miR_130b
hsa-miR-146b	10.4	37.1	0.001	0.019	hsa_miR_146b
hsa-let-7i	83	143.5	0.001	0.02	hsa_let_7i
hsa-miR-22	61.7	173.2	0.002	0.023	hsa_miR_22
hsa-miR-155	2.4	9.2	0.004	0.043	hsa_miR_155
hsa-miR-223	2.2	8	0.004	0.043	hsa_miR_223
hsa-miR-379	2.3	6.9	0.004	0.043	hsa_miR_379
hsa-miR-224	1	3.2	0.006	0.059	hsa_miR_224
hsa-miR-210	2.3	7.9	0.009	0.077	hsa_miR_210
hsa-miR-423	1.5	3.6	0.011	0.089	hsa_miR_423
hsa-miR-181a	4.9	13.6	0.011	0.089	hsa_miR_181a
hsa-miR-362	1	1.6	0.025	0.184	hsa_miR_362
hsa-miR-346	1.1	1.8	0.027	0.191	hsa_miR_346
hsa-miR-432	1.6	3.4	0.032	0.218	hsa_miR_432
hsa-miR-151	2	4.3	0.034	0.218	hsa_miR_151
hsa-miR-186	1.2	2	0.044	0.264	hsa_miR_186
hsa-miR-191	52.4	109.3	0.046	0.264	hsa_miR_191
hsa-miR-422a	1.4	2.9	0.046	0.264	hsa_miR_422a
