# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|234978_at|234978_at	entrezgene|44228|44228
affy_hg_u133_plus_2|229162_s_at|229162_s_at	entrezgene|38417|38417
affy_hg_u133_plus_2|1568782_at|1568782_at	entrezgene|8851|8851
affy_hg_u133_plus_2|227862_at|227862_at	entrezgene|37117|37117
affy_hg_u133_plus_2|209913_x_at|209913_x_at	entrezgene|19320|19320
affy_hg_u133_plus_2|206617_s_at|206617_s_at	entrezgene|16064|16064
affy_hg_u133_plus_2|234361_at|234361_at	entrezgene|43612|43612
affy_hg_u133_plus_2|244649_at|244649_at	entrezgene|53900|53900
affy_hg_u133_plus_2|240032_at|240032_at	entrezgene|49282|49282
affy_hg_u133_plus_2|211722_s_at|211722_s_at	entrezgene|21044|21044
affy_hg_u133_plus_2|1555059_at|1555059_at	entrezgene|2038|2038
affy_hg_u133_plus_2|216963_s_at|216963_s_at	entrezgene|26254|26254
affy_hg_u133_plus_2|1556618_at|1556618_at	entrezgene|3118|3118
affy_hg_u133_plus_2|204981_at|204981_at	entrezgene|14429|14429
affy_hg_u133_plus_2|229136_s_at|229136_s_at	entrezgene|38391|38391
affy_hg_u133_plus_2|229909_at|229909_at	entrezgene|39164|39164
affy_hg_u133_plus_2|217804_s_at|217804_s_at	entrezgene|27090|27090
affy_hg_u133_plus_2|214438_at|214438_at	entrezgene|23738|23738
affy_hg_u133_plus_2|202840_at|202840_at	entrezgene|12290|12290
affy_hg_u133_plus_2|1554806_a_at|1554806_a_at	entrezgene|1848|1848
affy_hg_u133_plus_2|233244_at|233244_at	entrezgene|42497|42497
affy_hg_u133_plus_2|209393_s_at|209393_s_at	entrezgene|18807|18807
affy_hg_u133_plus_2|217649_at|217649_at	entrezgene|26935|26935
