Top Genes	ID	M	A	t	P.Value
44228	234978_at	0.627305046	6.051906975	4.738122411	0.000285353
38417	229162_s_at	-0.37681764	6.311045109	-4.501502787	0.000452312
8851	1568782_at	0.407863167	4.211017013	4.405743132	0.00054592
37117	227862_at	0.324452657	5.148311824	4.310362125	0.000658998
19320	209913_x_at	-0.42963187	5.098337665	-4.261063709	0.00072658
16064	206617_s_at	0.390681319	6.70766261	4.226496241	0.000778161
43612	234361_at	0.373765172	5.132446498	4.186632345	0.000842316
53900	244649_at	0.433341065	5.927527516	4.148306908	0.000909089
49282	240032_at	0.360329078	5.115111796	4.136281259	0.000931136
21044	211722_s_at	-0.533335008	5.949988473	-4.084185833	0.001033123
2038	1555059_at	0.370685021	5.80504474	4.080628011	0.00104049
26254	216963_s_at	0.47389297	6.773696003	4.04788738	0.001110851
3118	1556618_at	-0.331264049	5.715630471	-4.039857816	0.001128835
14429	204981_at	0.375733011	7.656288012	4.02292691	0.001167734
38391	229136_s_at	0.408159659	6.467128016	4.013327281	0.001190392
39164	229909_at	-0.475553722	7.819546722	-3.963146272	0.001316324
27090	217804_s_at	-0.417908167	6.906162037	-3.87341217	0.001576278
23738	214438_at	-0.392884667	5.23744338	-3.859353373	0.00162149
12290	202840_at	-0.362956979	7.094014388	-3.834607327	0.00170429
1848	1554806_a_at	0.375275698	4.404425614	3.810065068	0.00179064
42497	233244_at	0.381499632	8.556045677	3.791931215	0.001857278
18807	209393_s_at	-0.443275516	6.219229411	-3.780715456	0.001899744
26935	217649_at	0.354006968	3.995325458	3.776350885	0.001916534
12576	203127_s_at	0.45626716	6.434738304	3.759883011	0.001981246
53504	244253_at	0.338991934	5.577954808	3.723629502	0.002131603
21802	212496_s_at	0.320709958	4.903436976	3.671794062	0.002366838
19739	210339_s_at	0.255245968	6.484097846	3.656767288	0.002439809
6101	1561560_at	0.436171045	4.474132951	3.652125572	0.002462805
8477	1566863_at	0.297709309	4.523407648	3.650425946	0.002471279
40302	231047_at	-0.457170814	6.740121856	-3.643669465	0.002505261
39913	230658_at	-0.389148853	5.888269623	-3.642636379	0.002510498
50963	241713_s_at	-0.261233718	5.120016139	-3.637274954	0.002537855
39486	230231_at	0.297085145	4.78799659	3.63201422	0.002564991
46253	237003_at	-0.461250312	5.30798136	-3.628747088	0.00258199
24740	215445_x_at	-0.33543264	4.857070404	-3.626304346	0.002594774
33796	224534_at	0.307244716	4.861397772	3.607367235	0.002696068
41223	231968_at	0.468236462	4.945171157	3.605126627	0.002708313
33636	224369_s_at	0.321425597	7.298659131	3.60406402	0.00271414
27357	218071_s_at	0.2886058	5.915308447	3.588147951	0.002802944
45640	236390_at	-0.376533265	5.088073283	-3.569609968	0.002910069
47802	238552_at	0.295062761	4.648874366	3.568977797	0.002913794
32049	222769_at	-0.448637738	6.208568679	-3.560196564	0.002966034
42037	232783_at	-0.387722156	5.250065704	-3.559519096	0.002970103
37495	228240_at	-0.420506838	5.718460078	-3.55662983	0.00298752
7688	1564626_at	-0.308903195	5.562232728	-3.552170517	0.003014604
38203	228948_at	0.538388465	6.444960849	3.548981654	0.003034122
31576	222296_at	0.269299667	5.337164258	3.54808035	0.003039662
43545	234294_x_at	0.333703584	6.263317723	3.53974968	0.00309135
19620	210218_s_at	-0.326981929	5.066243635	-3.53659763	0.003111136
10355	200906_s_at	-0.510476581	5.522579036	-3.535947733	0.003115231
39756	230501_at	0.33811941	4.888832987	3.535779399	0.003116293
19502	210097_s_at	0.361806321	4.275793974	3.53442667	0.003124838
45622	236372_at	0.335670964	8.733976056	3.530854159	0.003147517
5451	1560617_at	-0.419959123	5.940503782	-3.527258396	0.003170511
46184	236934_at	0.347761448	4.539114513	3.524661493	0.003187223
43773	234523_at	0.357212631	4.244227696	3.515501458	0.003246878
29914	220629_at	-0.353808007	8.777189965	-3.507664409	0.003298807
31188	221907_at	-0.510628349	8.036379926	-3.500081226	0.003349847
38034	228779_at	-0.307402647	5.46553637	-3.496579483	0.003373683
853	1553436_at	0.401107455	5.127265497	3.496269681	0.0033758
49407	240157_at	-0.367575995	6.036610926	-3.487103956	0.003439038
29976	220691_at	-0.453273358	8.657453356	-3.484304037	0.003458592
29633	220348_at	0.423208143	5.814297592	3.466042761	0.003588887
11071	201622_at	-0.564597679	6.256824445	-3.462465874	0.003614979
17277	207837_at	0.338401651	5.112310875	3.462125204	0.003617474
43957	234707_x_at	0.29601697	7.631461052	3.461896104	0.003619153
15171	205723_at	-0.353872996	6.257176713	-3.450799156	0.003701412
10632	201183_s_at	-0.355821068	7.139847824	-3.450676814	0.003702329
31679	222399_s_at	0.330002713	4.600657321	3.445889792	0.003738399
28236	218951_s_at	0.334474205	5.573967768	3.43794415	0.003799048
42287	233033_at	0.31182915	6.044236039	3.435643534	0.003816791
50014	240764_at	0.395575808	7.051044198	3.43174108	0.00384708
17398	207964_x_at	0.267979888	4.945030288	3.430492433	0.003856821
5883	1561264_at	0.354473381	4.073475515	3.430215265	0.003858987
40228	230973_at	-0.377018105	7.280852663	-3.425217902	0.003898246
39951	230696_at	-0.51410868	7.137505032	-3.418158594	0.003954386
16189	206742_at	0.448150436	4.779982949	3.416592442	0.00396695
15435	205987_at	0.391099971	6.237284922	3.415827947	0.003973098
28157	218872_at	-0.35425932	6.21585464	-3.413849396	0.003989052
32604	223326_s_at	-0.38264929	5.004042558	-3.407430213	0.004041257
28030	218745_x_at	-0.379300235	7.475461803	-3.406748004	0.004046845
24599	215304_at	-0.378861314	6.057183928	-3.405288931	0.004058823
25341	216048_s_at	0.351753746	4.70020556	3.400311912	0.004099948
51356	242106_at	0.251683975	4.403547308	3.397850615	0.004120439
17981	208562_s_at	-0.407192795	5.187990859	-3.394569895	0.004147911
14349	204901_at	0.424768377	5.522652118	3.391656558	0.004172461
15085	205637_s_at	0.374815066	5.544076635	3.38519106	0.004227463
28063	218778_x_at	-0.402761888	7.83039331	-3.384138269	0.004236488
23990	214693_x_at	0.327143352	5.203086935	3.375711712	0.004309418
42523	233270_x_at	-0.252294844	4.275065735	-3.375681892	0.004309678
31147	221866_at	-0.376763451	8.015979887	-3.367186271	0.004384481
45809	236559_at	0.319446348	4.313752291	3.362772918	0.00442385
47384	238134_at	-0.389676087	4.906245532	-3.36228067	0.004428263
11073	201624_at	0.225609776	4.011920162	3.351651073	0.004524636
49563	240313_at	-0.483625129	6.046211965	-3.350533665	0.004534887
12365	202915_s_at	0.273109094	4.692797567	3.345134334	0.004584752
23143	213842_x_at	-0.305747898	6.615404249	-3.344702071	0.004588768
21241	211932_at	-0.283545116	4.804285699	-3.340135003	0.00463141
5035	1559870_at	0.374533691	9.124875145	3.339798641	0.004634567
32146	222866_s_at	0.275262272	7.550404039	3.336764816	0.004663131
40273	231018_at	-0.413490566	5.993534562	-3.328465423	0.004742174
3907	1557809_a_at	0.377434606	5.501232063	3.327171483	0.004754617
23145	213844_at	0.299215296	4.724066062	3.324727733	0.004778207
9213	1569426_at	-0.490586727	6.517893728	-3.322833212	0.004796575
1470	1554302_s_at	0.337938797	5.304906629	3.322394937	0.004800834
38506	229251_s_at	-0.36326144	8.537363631	-3.322393671	0.004800846
47311	238061_at	-0.364815177	5.866577904	-3.320220811	0.004822019
35339	226082_s_at	0.382940466	6.135857706	3.319178934	0.004832204
32292	223012_at	-0.300891303	4.536693774	-3.316798558	0.004855554
14347	204899_s_at	-0.361495544	6.801317014	-3.312135473	0.004901623
30650	221366_at	-0.341809326	5.103867805	-3.311252519	0.004910395
21569	212262_at	0.308191963	4.423101492	3.30925564	0.004930291
39005	229750_at	-0.629545795	7.531284071	-3.308581675	0.004937025
7513	1564198_a_at	0.516355346	5.809726814	3.306326615	0.004959621
52539	243288_at	-0.419077499	8.130887917	-3.303600561	0.004987075
41811	232556_at	-0.292216513	5.378158073	-3.303284553	0.004990267
39527	230272_at	0.391838275	4.796772637	3.299961263	0.005023962
46893	237643_at	-0.475675387	6.391015827	-3.295817954	0.005066289
49380	240130_at	0.325909981	4.404295799	3.294328937	0.005081587
6656	1562543_at	0.367942758	4.665223386	3.290369958	0.005122485
37149	227894_at	-0.313942351	5.777356714	-3.286900242	0.005158599
26293	217002_s_at	-0.332285081	5.487657887	-3.284507075	0.005183655
29455	220170_at	0.336099709	4.975850002	3.281129012	0.005219229
18096	208679_s_at	0.387595627	6.146366755	3.281062467	0.005219933
40835	231580_at	-0.546600089	6.1470895	-3.280745676	0.005223282
36616	227360_at	-0.401266871	4.870779508	-3.280459001	0.005226314
45375	236125_at	0.281219303	4.230923997	3.27876229	0.005244298
32211	222931_s_at	0.489512778	5.033882313	3.278642437	0.005245571
40649	231394_at	0.440508647	5.961615434	3.278012724	0.005252263
17677	208252_s_at	0.327003161	6.605891378	3.274600911	0.005288667
43116	233865_at	0.375275866	5.026390497	3.273446548	0.005301041
29178	219893_at	-0.354799298	8.815263913	-3.267975187	0.005360084
6033	1561473_at	-0.235796832	3.989246483	-3.264581467	0.005397035
28756	219471_at	0.370672429	6.179660167	3.259567988	0.005452087
54425	46665_at	-0.41220169	5.989515283	-3.259402693	0.005453912
21583	212276_at	0.293510714	4.297357075	3.257610546	0.005473732
27454	218168_s_at	-0.382822755	5.192749928	-3.257019305	0.005480287
17699	208274_at	-0.285638883	5.139067423	-3.251049886	0.005546906
19118	209709_s_at	0.480385379	5.480441829	3.248558547	0.005574947
506	1552967_at	0.320456077	5.294552358	3.248501084	0.005575595
8287	1566469_at	0.314991907	5.298125451	3.247022362	0.005592307
35120	225862_at	-0.372077477	6.799389114	-3.24695208	0.005593103
6019	1561452_at	0.265079735	4.182730697	3.246365373	0.005599749
6590	1562432_at	-0.57486123	5.970903678	-3.246133564	0.005602376
48658	239408_at	-0.286840083	6.729680594	-3.240230087	0.005669715
45710	236460_at	-0.41408441	7.902701575	-3.238811442	0.005686016
2660	1555902_at	0.351666841	4.659041803	3.236734172	0.00570997
17597	208169_s_at	0.229074697	4.483321033	3.235409311	0.005725299
33874	224614_at	-0.439673685	4.722492072	-3.234322402	0.005737906
31726	222446_s_at	0.281884767	6.704056497	3.233329969	0.005749442
10710	201261_x_at	-0.316750032	7.764811956	-3.230885674	0.005777951
41729	232474_at	0.40160091	6.014162112	3.229840474	0.005790184
54217	35148_at	-0.578810568	5.41722727	-3.228848871	0.005801814
53847	244596_at	-0.328438439	6.42318681	-3.226463626	0.005829885
48408	239158_at	-0.327733055	7.507060962	-3.224349205	0.005854881
11843	202394_s_at	-0.400747286	6.151123518	-3.224317463	0.005855257
28680	219395_at	-0.42129683	8.093946523	-3.223891199	0.005860309
23458	214158_s_at	-0.467440574	6.666858698	-3.222920978	0.005871825
21487	212180_at	-0.387498651	5.530227332	-3.217819976	0.005932742
33218	223942_x_at	-0.318461467	7.41943282	-3.217440308	0.005937301
43141	233890_at	-0.364067553	5.283240786	-3.214743594	0.005969784
17333	207893_at	0.234274519	5.334084805	3.214516292	0.005972529
15589	206142_at	0.337656026	4.685779597	3.214066105	0.005977972
21876	212570_at	-0.385127225	6.220327645	-3.210893492	0.006016465
45868	236618_at	-0.348085285	5.005708148	-3.210508537	0.006021152
7758	1564803_at	0.471387279	5.545491594	3.207623057	0.006056403
51767	242517_at	-0.299970831	4.388951513	-3.204160403	0.006098975
3427	1557080_s_at	0.241321552	3.975730161	3.203370923	0.006108723
30458	221174_at	0.291648364	4.868639399	3.20273695	0.006116562
4850	1559540_at	0.370980099	6.475323346	3.201345744	0.006133799
27920	218634_at	-0.388984466	6.759246034	-3.200919663	0.006139088
2513	1555711_x_at	-0.624407115	5.553800398	-3.200371111	0.006145904
4863	1559566_at	-0.259904475	4.508177421	-3.200210208	0.006147904
5315	1560378_at	0.366565118	6.224917714	3.199141007	0.006161215
25462	216169_at	0.390602883	4.390452962	3.19665564	0.006192266
49422	240172_at	0.374769387	4.523776536	3.194023325	0.006225323
3589	1557349_at	0.354452791	4.685545497	3.19322333	0.006235404
50649	241399_at	-0.241712447	6.014399451	-3.192548596	0.006243919
22210	212905_at	0.266359286	4.250810221	3.19168409	0.006254846
26933	217647_at	-0.489902076	5.212687876	-3.191511758	0.006257026
20005	210619_s_at	0.436884617	5.467737418	3.189571047	0.006281634
10077	200628_s_at	0.288316731	4.531407568	3.189522433	0.006282251
