Affy Probeset ID	Gene Symbol	Gene Title	FoldÅ-Change
203290_at	HLAÅ-DQA1	major histocompatibility complex, class II, DQ alpha 1	Å-2.21
206079_at	CHML	choroideremiaÅ-like (Rab escort protein 2)	Å-1.83
1559011_at	FLJ13773	FLJ13773	Å-1.77
223758_s_at	GTF2H2	general transcription factor IIH, polypeptide 2, 44kDa	Å-1.70
212978_at	LRRC8B	leucine rich repeat containing 8 family, member B	Å-1.66
1557059_at	LOC254128	Hypothetical protein LOC254128	Å-1.62
221765_at	UGCG	UDPÅ-glucose ceramide glucosyltransferase	Å-1.62
216318_at	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	Å-1.61
1557450_s_at	WHAMML2	WAS protein homolog associated with actin, golgi membranes and microtubulesÅ-like	Å-1.61
202234_s_at	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	Å-1.60
1570585_at	MPZL3	myelin protein zeroÅ-like 3	Å-1.60
212631_at	STX7	syntaxin 7	Å-1.60
243797_at	STK17B	serine/threonine kinase 17b	Å-1.60
232045_at	PHACTR1	phosphatase and actin regulator 1	Å-1.59
233516_s_at	SPAG17	sperm associated antigen 17	Å-1.59
203178_at	GATM	glycine amidinotransferase (LÅ-arginine:glycine amidinotransferase)	Å-1.58
231996_at	N4BP2	NEDD4 binding protein 2	Å-1.58
1555347_at	PDXDC1	pyridoxalÅ-dependent decarboxylase domain containing 1	Å-1.57
223384_s_at	TRIM4	tripartite motifÅ-containing 4	Å-1.57
223279_s_at	UACA	uveal autoantigen with coiledÅ-coil domains and ankyrin repeats	Å-1.56
221540_x_at	GTF2H2 /// GTF2H2B /// GTF2H2C /// GTF2H2D	general transcription factor IIH, polypeptide 2, 44kDa /// general transcription	Å-1.56
231294_at	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae	Å-1.56
242780_at	VAPA	VAMP (vesicleÅ-associated membrane protein)Å-associated protein A, 33kDa	Å-1.55
227725_at	ST6GALNAC1	ST6 (alphaÅ-NÅ-acetylÅ-neuraminylÅ-2,3Å-betaÅ-galactosylÅ-1,3)Å-NÅ-acetylgalactosaminide	Å-1.54
1557609_s_at	TBC1D12	TBC1 domain family, member 12	Å-1.54
236588_at	CFDP1	Craniofacial development protein 1	Å-1.54
1569791_at	STK4	serine/threonine kinase 4	Å-1.54
224967_at	UGCG	UDPÅ-glucose ceramide glucosyltransferase	Å-1.53
212262_at	QKI	quaking homolog, KH domain RNA binding (mouse)	Å-1.53
1559975_at	BTG1	BÅ-cell translocation gene 1, antiÅ-proliferative	Å-1.53
221499_s_at	STX16	syntaxin 16	Å-1.53
207072_at	IL18RAP	interleukin 18 receptor accessory protein	Å-1.52
1557798_at	CNPY2	Canopy 2 homolog (zebrafish)	Å-1.52
230469_at	RTKN2	rhotekin 2	Å-1.51
238226_at	FAM70B	family with sequence similarity 70, member B	Å-1.51
210001_s_at	SOCS1	suppressor of cytokine signaling 1	Å-1.51
211506_s_at	IL8	interleukin 8	Å-1.51
219694_at	FAM105A	family with sequence similarity 105, member A	Å-1.50
218091_at	AGFG1	ArfGAP with FG repeats 1	Å-1.50
1554003_at	RGNEF	RhoÅ-guanine nucleotide exchange factor	1.51
235574_at	GBP4	guanylate binding protein 4	1.51
210613_s_at	SYNGR1	synaptogyrin 1	1.51
206486_at	LAG3	lymphocyteÅ-activation gene 3	1.51
204197_s_at	RUNX3	runtÅ-related transcription factor 3	1.51
205114_s_at	CCL3 /// CCL3L1 /// CCL3L3	chemokine (CÅ-C motif) ligand 3 /// chemokine (CÅ-C motif) ligand 3Å-like 1 /// che	1.52
1569377_at	TMEM67	transmembrane protein 67	1.52
216598_s_at	CCL2	chemokine (CÅ-C motif) ligand 2	1.53
236745_at	CCDC78	coiledÅ-coil domain containing 78	1.53
225879_at	TSEN54	tRNA splicing endonuclease 54 homolog (S. cerevisiae)	1.53
219587_at	TTC12	tetratricopeptide repeat domain 12	1.53
AFFXÅ-HUMISGF3A/M97 935_MA_at	STAT1	signal transducer and activator of transcription 1, 91kDa	1.53
205839_s_at	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1	1.53
235175_at	GBP4	guanylate binding protein 4	1.53
220684_at	TBX21	TÅ-box 21	1.54
206021_at	SCAND2	SCAN domain containing 2 pseudogene	1.54
211012_s_at	LOC161527 /// PML	hypothetical protein LOC161527 /// promyelocytic leukemia	1.54
208365_s_at	GRK4	G proteinÅ-coupled receptor kinase 4	1.54
204103_at	CCL4	chemokine (CÅ-C motif) ligand 4	1.55
223196_s_at	SESN2	sestrin 2	1.55
232222_at	C18orf49	chromosome 18 open reading frame 49	1.55
220785_at	UTS2	urotensin 2	1.56
242720_at	ITIH4	interÅ-alpha (globulin) inhibitor H4 (plasma KallikreinÅ-sensitive glycoprotein)	1.56
222838_at	SLAMF7	SLAM family member 7	1.56
203650_at	PROCR	protein C receptor, endothelial (EPCR)	1.56
203281_s_at	UBA7	ubiquitinÅ-like modifier activating enzyme 7	1.56
235723_at	BNC2	basonuclin 2	1.57
230891_at	TUBE1	Tubulin, epsilon 1	1.57
238049_at	GRAMD3	GRAM domain containing 3	1.57
215483_at	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	1.58
203921_at	CHST2	carbohydrate (NÅ-acetylglucosamineÅ-6Å-O) sulfotransferase 2	1.58
1553261_x_at	ALS2CR11	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11	1.59
