# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|201417_at|201417_at	entrezgene|6659|6659	hgnc_symbol|SOX4|SOX4
affy_hg_u133_plus_2|215001_s_at|215001_s_at	entrezgene|2752|2752	hgnc_symbol|GLUL|GLUL
affy_hg_u133_plus_2|203789_s_at|203789_s_at	entrezgene|10512|10512	hgnc_symbol|SEMA3C|SEMA3C
affy_hg_u133_plus_2|200766_at|200766_at	entrezgene|1509|1509	hgnc_symbol|CTSD|CTSD
affy_hg_u133_plus_2|211945_s_at|211945_s_at	entrezgene|3688|3688	hgnc_symbol|ITGB1|ITGB1
affy_hg_u133_plus_2|225731_at|225731_at	entrezgene|57182|57182	hgnc_symbol|ANKRD50|ANKRD50
affy_hg_u133_plus_2|203476_at|203476_at	entrezgene|7162|7162	hgnc_symbol|TPBG|TPBG
affy_hg_u133_plus_2|209267_s_at|209267_s_at	entrezgene|64116|64116	hgnc_symbol|SLC39A8|SLC39A8
affy_hg_u133_plus_2|210740_s_at|210740_s_at	entrezgene|3705|3705	hgnc_symbol|ITPK1|ITPK1
affy_hg_u133_plus_2|218245_at|218245_at	entrezgene|25987|25987	hgnc_symbol|TSKU|TSKU
affy_hg_u133_plus_2|205009_at|205009_at	entrezgene|7031|7031	hgnc_symbol|TFF1|TFF1
affy_hg_u133_plus_2|209339_at|209339_at	entrezgene|6478|6478	hgnc_symbol|SIAH2|SIAH2
affy_hg_u133_plus_2|214453_s_at|214453_s_at	entrezgene|10561|10561	hgnc_symbol|IFI44|IFI44
affy_hg_u133_plus_2|201222_s_at|201222_s_at	entrezgene|5887|5887	hgnc_symbol|RAD23B|RAD23B
affy_hg_u133_plus_2|214430_at|214430_at	entrezgene|2717|2717	hgnc_symbol|GLA|GLA
affy_hg_u133_plus_2|201088_at|201088_at	entrezgene|3838|3838	hgnc_symbol|KPNA2|KPNA2
affy_hg_u133_plus_2|226568_at|226568_at	entrezgene|284611|284611	hgnc_symbol|FAM102B|FAM102B
affy_hg_u133_plus_2|202088_at|202088_at	entrezgene|25800|25800	hgnc_symbol|SLC39A6|SLC39A6
affy_hg_u133_plus_2|202089_s_at|202089_s_at	entrezgene|25800|25800	hgnc_symbol|SLC39A6|SLC39A6
affy_hg_u133_plus_2|202458_at|202458_at	entrezgene|11098|11098	hgnc_symbol|PRSS23|PRSS23
affy_hg_u133_plus_2|202291_s_at|202291_s_at	entrezgene|4256|4256	hgnc_symbol|MGP|MGP
affy_hg_u133_plus_2|202442_at|202442_at	entrezgene|1176|1176	hgnc_symbol|AP3S1|AP3S1
affy_hg_u133_plus_2|212010_s_at|212010_s_at	entrezgene|55573|55573	hgnc_symbol|CDV3|CDV3
affy_hg_u133_plus_2|209605_at|209605_at	entrezgene|7263|7263	hgnc_symbol|TST|TST
affy_hg_u133_plus_2|226845_s_at|226845_s_at	entrezgene|150678|150678	hgnc_symbol|MYEOV2|MYEOV2
affy_hg_u133_plus_2|203786_s_at|203786_s_at	entrezgene|7164|7164	hgnc_symbol|TPD52L1|TPD52L1
affy_hg_u133_plus_2|210372_s_at|210372_s_at	entrezgene|7164|7164	hgnc_symbol|TPD52L1|TPD52L1
affy_hg_u133_plus_2|202345_s_at|202345_s_at	entrezgene|2171|2171	hgnc_symbol|FABP5|FABP5
affy_hg_u133_plus_2|218499_at|218499_at	entrezgene|51765|51765	hgnc_symbol|RP6-213H19.1|RP6-213H19.1
affy_hg_u133_plus_2|222108_at|222108_at	entrezgene|347902|347902	hgnc_symbol|AMIGO2|AMIGO2
affy_hg_u133_plus_2|219795_at|219795_at	entrezgene|11254|11254	hgnc_symbol|SLC6A14|SLC6A14
affy_hg_u133_plus_2|225516_at|225516_at	entrezgene|6542|6542	hgnc_symbol|SLC7A2|SLC7A2
affy_hg_u133_plus_2|231713_s_at|231713_s_at	entrezgene|55250|55250	hgnc_symbol|ELP2|ELP2
affy_hg_u133_plus_2|1555460_a_at|1555460_a_at	entrezgene|25800|25800	hgnc_symbol|SLC39A6|SLC39A6
affy_hg_u133_plus_2|1556551_s_at|1556551_s_at	entrezgene|25800|25800	hgnc_symbol|SLC39A6|SLC39A6
affy_hg_u133_plus_2|210640_s_at|210640_s_at	entrezgene|2852|2852	hgnc_symbol|GPER|GPER
affy_hg_u133_plus_2|207302_at|207302_at	entrezgene|6445|6445	hgnc_symbol|SGCG|SGCG
affy_hg_u133_plus_2|202600_s_at|202600_s_at	entrezgene|8204|8204	hgnc_symbol|NRIP1|NRIP1
affy_hg_u133_plus_2|202599_s_at|202599_s_at	entrezgene|8204|8204	hgnc_symbol|NRIP1|NRIP1
affy_hg_u133_plus_2|204256_at|204256_at	entrezgene|79071|79071	hgnc_symbol|ELOVL6|ELOVL6
affy_hg_u133_plus_2|202641_at|202641_at	entrezgene|403|403	hgnc_symbol|ARL3|ARL3
affy_hg_u133_plus_2|203963_at|203963_at	entrezgene|771|771	hgnc_symbol|CA12|CA12
affy_hg_u133_plus_2|215867_x_at|215867_x_at	entrezgene|771|771	hgnc_symbol|CA12|CA12
affy_hg_u133_plus_2|214164_x_at|214164_x_at	entrezgene|771|771	hgnc_symbol|CA12|CA12
affy_hg_u133_plus_2|204686_at|204686_at	entrezgene|3667|3667	hgnc_symbol|IRS1|IRS1
affy_hg_u133_plus_2|204508_s_at|204508_s_at	entrezgene|771|771	hgnc_symbol|CA12|CA12
affy_hg_u133_plus_2|201349_at|201349_at	entrezgene|9368|9368	hgnc_symbol|SLC9A3R1|SLC9A3R1
affy_hg_u133_plus_2|223551_at|223551_at	entrezgene|5570|5570	hgnc_symbol|PKIB|PKIB
affy_hg_u133_plus_2|227550_at|227550_at	entrezgene|2674|2674	hgnc_symbol|GFRA1|GFRA1
affy_hg_u133_plus_2|205862_at|205862_at	entrezgene|9687|9687	hgnc_symbol|GREB1|GREB1
affy_hg_u133_plus_2|213712_at|213712_at	entrezgene|54898|54898	hgnc_symbol|ELOVL2|ELOVL2
affy_hg_u133_plus_2|217838_s_at|217838_s_at	entrezgene|51466|51466	hgnc_symbol|EVL|EVL
affy_hg_u133_plus_2|1553226_at|1553226_at	entrezgene|145978|145978	hgnc_symbol|NCRNA00052|NCRNA00052
affy_hg_u133_plus_2|222622_at|222622_at	entrezgene|283871|283871	hgnc_symbol|PGP|PGP
affy_hg_u133_plus_2|220029_at|220029_at	entrezgene|54898|54898	hgnc_symbol|ELOVL2|ELOVL2
affy_hg_u133_plus_2|210735_s_at|210735_s_at	entrezgene|771|771	hgnc_symbol|CA12|CA12
affy_hg_u133_plus_2|201508_at|201508_at	entrezgene|3487|3487	hgnc_symbol|IGFBP4|IGFBP4
affy_hg_u133_plus_2|233555_s_at|233555_s_at	entrezgene|55959|55959	hgnc_symbol|SULF2|SULF2
affy_hg_u133_plus_2|200730_s_at|200730_s_at	entrezgene|7803|7803	hgnc_symbol|PTP4A1|PTP4A1
affy_hg_u133_plus_2|201195_s_at|201195_s_at	entrezgene|8140|8140	hgnc_symbol|SLC7A5|SLC7A5
affy_hg_u133_plus_2|221667_s_at|221667_s_at	entrezgene|26353|26353	hgnc_symbol|HSPB8|HSPB8
affy_hg_u133_plus_2|213131_at|213131_at	entrezgene|10439|10439	hgnc_symbol|OLFM1|OLFM1
affy_hg_u133_plus_2|205696_s_at|205696_s_at	entrezgene|2674|2674	hgnc_symbol|GFRA1|GFRA1
affy_hg_u133_plus_2|225330_at|225330_at	entrezgene|3480|3480	hgnc_symbol|IGF1R|IGF1R
affy_hg_u133_plus_2|203627_at|203627_at	entrezgene|3480|3480	hgnc_symbol|IGF1R|IGF1R
affy_hg_u133_plus_2|209118_s_at|209118_s_at	entrezgene|7846|7846	hgnc_symbol|TUBA1A|TUBA1A
affy_hg_u133_plus_2|203303_at|203303_at	entrezgene|6990|6990	hgnc_symbol|DYNLT3|DYNLT3
affy_hg_u133_plus_2|225974_at|225974_at	entrezgene|169200|169200	hgnc_symbol|TMEM64|TMEM64
affy_hg_u133_plus_2|205440_s_at|205440_s_at	entrezgene|4886|4886	hgnc_symbol|NPY1R|NPY1R
affy_hg_u133_plus_2|242093_at|242093_at	entrezgene|94122|94122	hgnc_symbol|SYTL5|SYTL5
affy_hg_u133_plus_2|242338_at|242338_at	entrezgene|169200|169200	hgnc_symbol|TMEM64|TMEM64
affy_hg_u133_plus_2|203344_s_at|203344_s_at	entrezgene|5932|5932	hgnc_symbol|RBBP8|RBBP8
affy_hg_u133_plus_2|204029_at|204029_at	entrezgene|1952|1952	hgnc_symbol|CELSR2|CELSR2
affy_hg_u133_plus_2|201110_s_at|201110_s_at	entrezgene|7057|7057	hgnc_symbol|THBS1|THBS1
affy_hg_u133_plus_2|204798_at|204798_at	entrezgene|4602|4602	hgnc_symbol|MYB|MYB
affy_hg_u133_plus_2|36499_at|36499_at	entrezgene|1952|1952	hgnc_symbol|CELSR2|CELSR2
affy_hg_u133_plus_2|218195_at|218195_at	entrezgene|79624|79624	hgnc_symbol|C6orf211|C6orf211
affy_hg_u133_plus_2|224985_at|224985_at	entrezgene|4893|4893	hgnc_symbol|NRAS|NRAS
affy_hg_u133_plus_2|218669_at|218669_at	entrezgene|57826|57826	hgnc_symbol|RAP2C|RAP2C
affy_hg_u133_plus_2|202647_s_at|202647_s_at	entrezgene|4893|4893	hgnc_symbol|NRAS|NRAS
affy_hg_u133_plus_2|217763_s_at|217763_s_at	entrezgene|11031|11031	hgnc_symbol|RAB31|RAB31
affy_hg_u133_plus_2|217764_s_at|217764_s_at	entrezgene|11031|11031	hgnc_symbol|RAB31|RAB31
affy_hg_u133_plus_2|217762_s_at|217762_s_at	entrezgene|11031|11031	hgnc_symbol|RAB31|RAB31
