# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|21673|21673	mgi_symbol|Dntt|Dntt
entrezgene|13723|13723	mgi_symbol|Emb|Emb
entrezgene|23833|23833	mgi_symbol|Cd52|Cd52
entrezgene|20343|20343	mgi_symbol|Sell|Sell
entrezgene|625360|625360	mgi_symbol|LOC625360|LOC625360
entrezgene|100034251|100034251	mgi_symbol|Gm11428|Gm11428
entrezgene|56753|56753	mgi_symbol|Tacstd2|Tacstd2
entrezgene|18106|18106	mgi_symbol|Cd244|Cd244
entrezgene|12508|12508	mgi_symbol|Cd53|Cd53
entrezgene|14048|14048	mgi_symbol|Eya1|Eya1
entrezgene|72310|72310	mgi_symbol|Nkg7|Nkg7
entrezgene|20302|20302	mgi_symbol|Ccl3|Ccl3
entrezgene|27278|27278	mgi_symbol|Clnk|Clnk
entrezgene|68616|68616	mgi_symbol|Gdpd3|Gdpd3
entrezgene|17203|17203	mgi_symbol|Mc5r|Mc5r
entrezgene|72022|72022	mgi_symbol|Slc35f2|Slc35f2
entrezgene|59310|59310	mgi_symbol|Myl10|Myl10
entrezgene|328660|328660	mgi_symbol|Bex6|Bex6
entrezgene|73139|73139	mgi_symbol|Cenpv|Cenpv
entrezgene|76633|76633	mgi_symbol|1700112E06Rik|1700112E06Rik
entrezgene|69069|69069	mgi_symbol|1810011H11Rik|1810011H11Rik
entrezgene|53322|53322	mgi_symbol|Nucb2|Nucb2
entrezgene|16985|16985	mgi_symbol|Lsp1|Lsp1
entrezgene|668629|668629	mgi_symbol|Gm13767|Gm13767
entrezgene|14961|14961	mgi_symbol|H2-Ab1|H2-Ab1
entrezgene|13035|13035	mgi_symbol|Ctsg|Ctsg
entrezgene|12489|12489	mgi_symbol|Cd33|Cd33
entrezgene|16852|16852	mgi_symbol|Lgals1|Lgals1
entrezgene|13070|13070	mgi_symbol|Cyp11a1|Cyp11a1
entrezgene|70896|70896	mgi_symbol|Speer1-ps1|Speer1-ps1
entrezgene|11658|11658	mgi_symbol|Alcam|Alcam
entrezgene|232413|232413	mgi_symbol|Clec12a|Clec12a
entrezgene|442827|442827	mgi_symbol|Rab44|Rab44
entrezgene|17231|17231	mgi_symbol|Mcpt8|Mcpt8
entrezgene|240921|240921	mgi_symbol|Gm4955|Gm4955
entrezgene|212998|212998	mgi_symbol|BC016579|BC016579
entrezgene|12763|12763	mgi_symbol|Cmah|Cmah
entrezgene|15442|15442	mgi_symbol|Hpse|Hpse
entrezgene|67886|67886	mgi_symbol|Camsap1l1|Camsap1l1
entrezgene|14960|14960	mgi_symbol|H2-Aa|H2-Aa
entrezgene|53330|53330	mgi_symbol|Vamp4|Vamp4
entrezgene|628004|628004	mgi_symbol|Gm10561|Gm10561
entrezgene|50905|50905	mgi_symbol|Il17rb|Il17rb
entrezgene|381236|381236	mgi_symbol|AI747699|AI747699
entrezgene|17476|17476	mgi_symbol|Mpeg1|Mpeg1
entrezgene|14038|14038	mgi_symbol|Expi|Expi
entrezgene|319836|319836	mgi_symbol|E030037K03Rik|E030037K03Rik
entrezgene|16159|16159	mgi_symbol|Il12a|Il12a
entrezgene|19271|19271	mgi_symbol|Ptprj|Ptprj
entrezgene|13605|13605	mgi_symbol|Ect2|Ect2
entrezgene|105348|105348	mgi_symbol|Golm1|Golm1
entrezgene|791320|791320	mgi_symbol|Gm9937|Gm9937
entrezgene|330830|330830	mgi_symbol|Ccdc135|Ccdc135
entrezgene|17869|17869	mgi_symbol|Myc|Myc
entrezgene|212285|212285	mgi_symbol|Arap2|Arap2
entrezgene|26914|26914	mgi_symbol|H2afy|H2afy
entrezgene|12515|12515	mgi_symbol|Cd69|Cd69
entrezgene|17085|17085	mgi_symbol|Ly9|Ly9
