Entrez ID	Gene symbol	Fold change: Sox17_CD48+LSK vs. BM_CD48+LSK	Fold change: BM_HSC vs. BM_CD48+LSK	Fold change: FL_HSC vs. BM_HSC	Gene set enrichment of BM HSC vs. CD48+LSK (p<0.05, fold>2): UP	Gene set enrichment of BM HSC vs. CD48+LSK (p<0.05, fold>2): DOWN	Gene set enrichment of FL HSC vs. BM HSC (p<0.05, fold>2): UP	Gene set enrichment of FL HSC vs. BM HSC (p<0.05, fold>2): DOWN
21673	Dntt	0.024489945	0.011640794	1.019126638	FALSE	TRUE	FALSE	FALSE
13723	Emb	0.055565504	0.38094818	1.616641738	FALSE	TRUE	FALSE	FALSE
23833	Cd52	0.068662522	0.061725054	2.236640416	FALSE	TRUE	TRUE	FALSE
20343	Sell	0.069588851	0.143819712	0.53650617	FALSE	TRUE	FALSE	FALSE
625360	LOC625360	0.084357881	0.676267846	1.841225932	FALSE	FALSE	FALSE	FALSE
100034251	Gm11428	0.09030815	0.071149627	7.464263932	FALSE	TRUE	TRUE	FALSE
56753	Tacstd2	0.10083022	0.726146896	0.201195043	FALSE	FALSE	FALSE	TRUE
18106	Cd244	0.101484643	0.145524436	0.638459347	FALSE	TRUE	FALSE	FALSE
12508	Cd53	0.101508093	0.112188756	2.893201223	FALSE	TRUE	TRUE	FALSE
14048	Eya1	0.114996883	1.625631204	0.291789525	FALSE	FALSE	FALSE	TRUE
72310	Nkg7	0.134281581	0.234880687	0.195377107	FALSE	TRUE	FALSE	TRUE
20302	Ccl3	0.135278081	0.18470993	0.262732516	FALSE	TRUE	FALSE	TRUE
27278	Clnk	0.139467415	0.260075067	0.271934921	FALSE	TRUE	FALSE	TRUE
68616	Gdpd3	0.145356417	1.281944082	0.978967814	FALSE	FALSE	FALSE	FALSE
17203	Mc5r	0.1504824	0.433568946	0.330869298	FALSE	TRUE	FALSE	TRUE
72022	Slc35f2	0.156366135	0.623012638	0.629087819	FALSE	FALSE	FALSE	FALSE
59310	Myl10	0.157417372	1.154552145	0.113230407	FALSE	FALSE	FALSE	TRUE
328660	Bex6	0.157963886	0.108442336	1.346300069	FALSE	TRUE	FALSE	FALSE
73139	Cenpv	0.159504239	1.027401439	0.353308411	FALSE	FALSE	FALSE	TRUE
76633	1700112E06Rik	0.161693471	0.846549695	0.589814556	FALSE	FALSE	FALSE	FALSE
69069	1810011H11Rik	0.162742918	1.633915453	0.074980885	FALSE	FALSE	FALSE	TRUE
53322	Nucb2	0.16813205	0.344203419	1.312514475	FALSE	TRUE	FALSE	FALSE
16985	Lsp1	0.169066962	1.272206915	1.80416756	FALSE	FALSE	FALSE	FALSE
668629	Gm13767	0.169810786	1.262835451	0.534156106	FALSE	FALSE	FALSE	FALSE
14961	H2-Ab1	0.170597294	1.121684286	0.114149781	FALSE	FALSE	FALSE	TRUE
13035	Ctsg	0.174786621	0.032084048	1.08397639	FALSE	TRUE	FALSE	FALSE
12489	Cd33	0.180992272	0.181998694	1.363832686	FALSE	TRUE	FALSE	FALSE
16852	Lgals1	0.18233541	0.506511408	4.397448454	FALSE	FALSE	TRUE	FALSE
13070	Cyp11a1	0.184411432	0.876200737	0.35379854	FALSE	FALSE	FALSE	TRUE
70896	Speer1-ps1	0.185779944	0.193088391	0.960816834	FALSE	TRUE	FALSE	FALSE
11658	Alcam	0.195738574	1.132098902	0.219556883	FALSE	FALSE	FALSE	TRUE
232413	Clec12a	0.195738574	0.100806926	1.114708637	FALSE	TRUE	FALSE	FALSE
442827	Rab44	0.197373472	0.168404197	1.160703914	FALSE	TRUE	FALSE	FALSE
17231	Mcpt8	0.2090616	0.089539413	1.122462048	FALSE	TRUE	FALSE	FALSE
240921	Gm4955	0.209351622	0.288171587	1.009984627	FALSE	TRUE	FALSE	FALSE
212998	BC016579	0.209448385	0.401461441	0.967052867	FALSE	TRUE	FALSE	FALSE
12763	Cmah	0.227247028	0.230952276	1.137605228	FALSE	TRUE	FALSE	FALSE
15442	Hpse	0.229887512	0.367122473	1.101650551	FALSE	TRUE	FALSE	FALSE
67886	Camsap1l1	0.234663712	0.334791158	1.16419549	FALSE	TRUE	FALSE	FALSE
14960	H2-Aa	0.23909679	3.229550396	0.068172483	TRUE	FALSE	FALSE	TRUE
53330	Vamp4	0.247929183	1.433623972	0.929804943	FALSE	FALSE	FALSE	FALSE
628004	Gm10561	0.249135066	0.255371011	1.296240426	FALSE	TRUE	FALSE	FALSE
50905	Il17rb	0.249365422	0.248101094	1.075991489	FALSE	TRUE	FALSE	FALSE
381236	AI747699	0.257801638	1.128442833	1.886876502	FALSE	FALSE	FALSE	FALSE
17476	Mpeg1	0.257980394	0.248732454	1.087991033	FALSE	TRUE	FALSE	FALSE
14038	Expi	0.259055539	0.286710504	5.668629586	FALSE	TRUE	TRUE	FALSE
319836	E030037K03Rik	0.25977479	0.271934921	1.025741121	FALSE	TRUE	FALSE	FALSE
16159	Il12a	0.260736898	0.367461923	0.68380964	FALSE	TRUE	FALSE	FALSE
19271	Ptprj	0.262489812	1.193887309	0.725643744	FALSE	FALSE	FALSE	FALSE
13605	Ect2	0.265969613	0.314616593	1.886440591	FALSE	TRUE	FALSE	FALSE
105348	Golm1	0.268687293	0.339229451	0.485541551	FALSE	TRUE	FALSE	TRUE
791320	Gm9937	0.269246594	0.982366544	0.391025157	FALSE	FALSE	FALSE	TRUE
330830	Ccdc135	0.270181351	0.267263242	1.01395948	FALSE	TRUE	FALSE	FALSE
17869	Myc	0.273636642	0.766664172	0.284269916	FALSE	FALSE	FALSE	TRUE
212285	Arap2	0.276177303	0.503012678	0.40007249	FALSE	FALSE	FALSE	TRUE
26914	H2afy	0.277200161	0.37353966	1.441595754	FALSE	TRUE	FALSE	FALSE
12515	Cd69	0.278226807	0.29902403	1.038859103	FALSE	TRUE	FALSE	FALSE
17085	Ly9	0.278355405	0.46640872	0.750539549	FALSE	TRUE	FALSE	FALSE
404634	H2afy2	0.281134679	0.602068691	1.054822317	FALSE	FALSE	FALSE	FALSE
