3100 Mature ID	Fold change	p-value
hsa-miR-138	2.1364	1.30E-02
hsa-miR-518f	3.3215	3.08E-02
hsa-miR-187	2.06E+00	3.50E-02
hsa-miR-938	3.6903	3.99E-02
hsa-miR-519b-5p	2.8366	5.00E-02
hsa-miR-302a	3.6139	5.00E-02
hsa-miR-636	2.5808	5.48E-02
hsa-miR-548a-5p	2.6281	7.12E-02
hsa-miR-515-3p	2.8684	7.35E-02
hsa-miR-580	2.0741	7.56E-02
hsa-miR-548c-3p	2.4631	8.51E-02
hsa-miR-210	2.2778	8.61E-02
hsa-miR-623	2.4071	9.36E-02
hsa-miR-619	2.5544	0.0939
hsa-miR-325	2.6242	0.097
hsa-miR-449a	3.7929	0.1005
hsa-miR-630	3.8467	0.1009
hsa-miR-370	3.6401	0.1012
hsa-miR-650	2.7204	0.1135
hsa-miR-637	2.9681	0.123
hsa-miR-489	2.3217	0.1277
hsa-miR-143	2.3073	0.1486
hsa-miR-375	2.5018	0.1537
hsa-let-7f	6.638	0.1551
hsa-miR-208a	2.0069	0.1565
hsa-miR-587	3.9996	0.1593
hsa-miR-19a	5.3806	0.1724
hsa-miR-629	2.2933	0.1805
hsa-miR-885-5p	3.9899	0.1807
hsa-miR-502-5p	3.0006	0.1962
hsa-miR-768-5p	6.8133	0.2049
hsa-miR-298	2.4811	0.2248
hsa-miR-632	2.0992	0.2384
hsa-miR-410	88.4108	0.2417
hsa-miR-496	2.3739	0.2425
hsa-miR-329	2.532	0.2429
hsa-miR-202	2.5698	0.2445
hsa-miR-124	2.4611	0.2517
hsa-miR-199a-3p	3.7027	0.253
hsa-miR-485-3p	5.7394	0.2565
hsa-miR-511	4.0581	0.2624
hsa-miR-766	2.0178	0.263
hsa-miR-584	4.1234	0.2636
hsa-miR-492	5.0351	0.2659
hsa-miR-128	2.8392	0.2707
hsa-miR-518d-3p	2.4736	0.2722
hsa-miR-130b	2.8428	0.2767
hsa-miR-34a	3.0554	0.2822
hsa-miR-649	3.72	0.2835
hsa-miR-302c	4.3314	0.2864
hsa-miR-600	2.517	0.2879
hsa-miR-524-5p	24.849	0.2919
hsa-miR-566	5.0462	0.2947
hsa-miR-518b	2.6631	0.295007
hsa-miR-448	5.7234	0.295097
hsa-miR-500	3.8288	0.297071
hsa-miR-512-3p	4.5053	0.297839
hsa-miR-508-3p	2.2458	0.298035
hsa-miR-122	5.9163	0.298637
hsa-miR-585	7.2727	0.299226
hsa-miR-323-3p	15.8812	0.29969
hsa-miR-498	4.211	0.299696
hsa-miR-488	2.5569	0.300672
hsa-miR-452	2.3304	0.302594
hsa-miR-516a-3p	2.9579	0.303099
hsa-miR-374b	15.874	0.306545
hsa-miR-361-5p	2.2625	0.307977
hsa-miR-19b	5.3022	0.31618
hsa-miR-133b	2.6344	0.317694
hsa-miR-20b	2.03	0.318847
hsa-miR-624	3.2195	0.32469
hsa-miR-454	2.5368	0.324694
hsa-miR-486-5p	2.8762	0.346935
hsa-miR-219-5p	2.0184	0.351602
hsa-miR-142-3p	4.5579	0.36909
hsa-miR-30b	4.1533	0.376695
hsa-miR-768-3p	2.2189	0.379348
hsa-miR-200a	4.1166	0.382951
hsa-miR-345	2.5885	0.389107
hsa-miR-135b	3.1466	0.403221
hsa-miR-562	2.1376	0.408102
hsa-miR-26a	5.3153	0.412143
hsa-miR-15b	3.4746	0.418178
hsa-miR-421	2.1181	0.432392
hsa-miR-106b	3.7391	0.436052
hsa-miR-1	2.8615	0.459034
hsa-miR-373	2.2185	0.470102
hsa-miR-103	3.3692	0.479328
hsa-miR-195	6.5569	0.481124
hsa-miR-425	3.3454	0.485621
hsa-miR-625	2.1915	0.48641
hsa-miR-30a	3.9077	0.509072
hsa-miR-155	3.7472	0.525727
hsa-miR-203	3.0449	0.530379
hsa-miR-571	2.3051	0.548223
hsa-miR-151-3p	5.3322	0.594661
hsa-miR-140-5p	2.7058	0.600693
hsa-miR-9	2.4419	0.621281
hsa-miR-18b	2.002	0.624767
hsa-miR-182	3.5081	0.640235
hsa-miR-518a-3p	2.2593	0.642228
hsa-miR-196a	3.2309	0.689646
hsa-miR-671-3p	2.0244	0.699026
hsa-miR-301a	2.2875	0.699389
hsa-miR-127-3p	3.2795	0.704334
hsa-miR-99a	2.4978	0.782874
hsa-miR-610	2.3055	0.852576
hsa-miR-98	3.6498	0.923919
hsa-miR-575	2.0896	0.942927
hsa-miR-365	2.7025	0.97819
hsa-miR-331-5p	2.3332	0.984888
