3101 Mature ID	Fold change	p-value
hsa-miR-593	2.3247	1.04E-03
hsa-miR-892a	2.4136	1.30E-02
hsa-miR-1253	3.15E+00	4.19E-02
hsa-miR-1470	3.317	4.26E-02
hsa-miR-888	4.8503	4.70E-02
hsa-miR-33b	2.9726	4.84E-02
hsa-miR-1286	3.3554	5.24E-02
hsa-miR-760	2.9002	5.75E-02
hsa-miR-18b	2.9279	6.28E-02
hsa-miR-888	2.4047	6.49E-02
hsa-miR-664	2.5581	7.17E-02
hsa-miR-661	3.2357	7.21E-02
hsa-miR-1207-3p	2.306	7.60E-02
hsa-miR-1247	3.1597	0.079507
hsa-miR-939	2.5568	0.080136
hsa-miR-596	2.9965	0.081327
hsa-miR-509-5p	2.2809	0.083217
hsa-miR-1307	3.2328	0.0841
hsa-miR-1181	2.7878	0.084227
hsa-miR-302b	2.459	0.084989
hsa-miR-1265	2.8578	0.087393
hsa-miR-1251	2.0656	0.088129
hsa-miR-631	2.7358	0.090904
hsa-miR-936	6.0417	0.09855
hsa-miR-1290	2.5116	0.102647
hsa-miR-219-1-3p	2.7598	0.102892
hsa-miR-1226	2.3299	0.105812
hsa-miR-1257	2.3783	0.10697
hsa-miR-539	2.1009	0.108333
hsa-miR-300	2.4185	0.109508
hsa-miR-615-5p	2.9668	0.113412
hsa-miR-1233	2.0639	0.113981
hsa-miR-1258	2.9563	0.115526
hsa-miR-519e	2.8442	0.119735
hsa-miR-1469	3.4789	0.120258
hsa-miR-1234	3.2887	0.12393
hsa-miR-1225-5p	2.5887	0.12408
hsa-miR-1537	2.2164	0.128455
hsa-miR-431	3.2783	0.129395
hsa-miR-769-3p	2.1218	0.130836
hsa-miR-195	2.4973	0.132247
hsa-miR-191	2.7564	0.133404
hsa-miR-1304	2.2433	0.133987
hsa-miR-1287	2.0537	0.135248
hsa-miR-767-3p	2.0313	0.139694
hsa-miR-1225-3p	2.0131	0.14226
hsa-miR-133a	2.2039	0.143271
hsa-miR-1295	7.0539	0.148218
hsa-miR-1267	3.875	0.156009
hsa-miR-193a-3p	2.0876	0.157648
hsa-miR-10b	2.3243	0.162144
hsa-miR-1228	2.5023	0.163662
hsa-miR-499-5p	2.3763	0.16632
hsa-miR-1826	3.5783	0.16763
hsa-miR-1825	3.6796	0.167958
hsa-miR-1298	2.5737	0.168879
hsa-miR-1237	2.7127	0.170383
hsa-miR-577	2.3496	0.171801
hsa-miR-1269	2.0139	0.180869
hsa-miR-450b-3p	2.0045	0.185647
hsa-let-7b	2.0164	0.187233
hsa-miR-550	2.0095	0.187247
hsa-miR-891a	2.4234	0.189139
hsa-miR-1224-3p	2.39	0.190114
hsa-miR-409-3p	2.1546	0.198852
hsa-miR-135a	4.3376	0.213271
hsa-miR-1238	4.0768	0.214695
hsa-miR-1538	2.418	0.221826
hsa-miR-943	2.0959	0.222048
hsa-miR-513a-3p	2.341	0.22296
hsa-miR-886-3p	2.0678	0.225315
hsa-miR-323-5p	2.551	0.239386
hsa-miR-1303	2.4429	0.259444
hsa-miR-220a	2.1058	0.286804
hsa-miR-1207-5p	16.8969	0.299135
hsa-miR-656	2.0151	0.311856
hsa-miR-23a	2.4855	0.31419
hsa-miR-625	2.6568	0.31475
hsa-miR-1539	2.2078	0.324303
hsa-miR-933	2.3223	0.33319
hsa-miR-99b	3.5684	0.341827
hsa-miR-1296	2.3579	0.3844
hsa-miR-574-3p	2.2809	0.389006
hsa-miR-224	2.1201	0.531478
hsa-miR-548h	2.1997	0.589604
hsa-miR-15b	2.2511	0.641099
hsa-miR-1224-5p	2.1126	0.84441
hsa-miR-200b	2.5237	0.860667
