Curated Gene Symbol	Gene Symbol	Gene Accession	Fold-Change (F less than 0; M greater than 0)	Sex Chromosome
XIST	XIST	NR_001564	224.12	X-chromosome
FRMD7	FRMD7	NM_194277	22.53	X-chromosome
ZFX	ZFX	NM_003410	21.89	X-chromosome
IL1RAPL1	IL1RAPL1	AJ243874	21.86	X-chromosome
PNPLA4	PNPLA4	NM_004650	21.71	X-chromosome
KDM6A	KDM6A	NM_021140	21.66	X-chromosome
HDHD1	HDHD1A	NM_012080	21.62	X-chromosome
GYG2	GYG2	NM_003918	21.57	X-chromosome
STS	STS	NM_000351	21.53	X-chromosome
ENOX2	ENOX2	NM_182314	21.48	X-chromosome
EIF1AX	EIF1AX	NM_001412	21.46	X-chromosome
CHM	CHM	NM_000390	21.43	X-chromosome
EDA	EDA	NM_001399	21.42	X-chromosome
KDM5C	KDM5C	NM_004187	21.41	X-chromosome
MUM1L1	MUM1L1	NM_152423	21.38	X-chromosome
		AK022479	21.37	X-chromosome
CXorf38	CXorf38	NM_144970	21.35	X-chromosome
MAP7D3	MAP7D3	NM_024597	21.34	X-chromosome
VCX2	VCX2	NM_016378	21.33	X-chromosome
PHF6	PHF6	NM_032458	21.32	X-chromosome
JPX	NCRNA00183	NR_024582	21.31	X-chromosome
MBNL3	MBNL3	NM_133486	21.29	X-chromosome
GPR82	GPR82	NM_080817	21.25	X-chromosome
SMC1A	SMC1A	NM_006306	21.25	X-chromosome
RIBC1	RIBC1	NM_001031745	21.24	X-chromosome
		ENST_00000436419	21.22	X-chromosome
TTC3P1	TTC3L	NR_030737	21.21	X-chromosome
TXLNG	CXorf15	NM_018360	21.21	X-chromosome
	LOC644538	NM_001163438	21.2	X-chromosome
FMR1	FMR1	NM_002024	21.19	X-chromosome
ZMAT1	ZMAT1	NM_032441	21.19	X-chromosome
OPHN1	OPHN1	NM_002547	21.18	X-chromosome
PGRMC1	PGRMC1	NM_006667	21.17	X-chromosome
DDX3X	DDX3X	NM_001356	21.16	X-chromosome
GJB1	GJB1	NM_001097642	21.16	X-chromosome
STAG2	STAG2	NM_006603	21.15	X-chromosome
NXF3	NXF3	NM_022052	1.19	X-chromosome
		AK124653	1.29	X-chromosome
		AK123627	1.3	X-chromosome
TAF7L	TAF7L	NM_024885	1.42	X-chromosome
COL4A5	COL4A5	NM_033381	1.52	X-chromosome
USP9Y	USP9Y	NM_004654	105.11	Y-chromosome
ZFY	ZFY	NM_003411	58.63	Y-chromosome
TTTY15	TTTY15	NR_001545	35.53	Y-chromosome
EIF1AY	EIF1AY	NM_004681	35.11	Y-chromosome
TXLNG2P	CYorf15A	NM_001005852	32.75	Y-chromosome
TXLNG2P	CYorf15B	BC035312	29.1	Y-chromosome
UTY	UTY	NM_182660	23.68	Y-chromosome
NLGN4Y	NLGN4Y	NR_028319	19.66	Y-chromosome
TTTY14	NCRNA00185	NR_001544	19.01	Y-chromosome
KDM5D	KDM5D	NM_004653	14.19	Y-chromosome
