Rank in LSC-R gene list	LSC probeID	p value - correlation with overall survival
1	220128_s_at	0.977682866
2	209488_s_at	0.194703224
3	215411_s_at	0.075914897
4	201702_s_at	0.138735935
5	201243_s_at	0.003708531
6	212676_at	7.46755E-05
7	209487_at	7.13521E-05
8	219871_at	0.000175004
9	207836_s_at	0.000151178
10	211113_s_at	0.000151178
11	214252_s_at	5.63059E-06
12	212976_at	4.94759E-05
13	213056_at	6.23453E-05
14	207090_x_at	6.23453E-05
15	221621_at	9.58854E-05
16	218183_at	7.56082E-05
17	216262_s_at	5.89341E-05
18	204028_s_at	2.25649E-05
19	208993_s_at	0.000107232
20	206582_s_at	0.000122344
21	205321_at	1.97991E-05
22	209272_at	2.76381E-06
23	218907_s_at	8.8931E-06
24	201242_s_at	8.24815E-06
25	41113_at	8.56796E-07
26	202646_s_at	8.56796E-07
27	215557_at	8.56796E-07
28	212875_s_at	7.94097E-06
29	219236_at	2.90409E-06
30	213861_s_at	4.39411E-06
31	221483_s_at	7.23256E-07
32	214197_s_at	4.05173E-06
33	205256_at	1.51551E-06
34	207837_at	4.89854E-07
35	214860_at	4.53199E-07
36	211537_x_at	1.10536E-06
37	213433_at	1.10536E-06
38	207753_at	2.8648E-06
39	212114_at	8.39845E-06
40	214004_s_at	1.72615E-05
41	208883_at	2.12312E-06
42	219658_at	2.12312E-06
43	213557_at	2.12312E-06
44	203474_at	1.02148E-05
45	214745_at	1.02148E-05
46	202956_at	1.5446E-06
47	211536_x_at	1.5446E-06
48	209740_s_at	5.21206E-06
49	34408_at	1.65632E-05
50	201018_at	1.5446E-06
51	214820_at	1.82832E-06
52	212397_at	8.9233E-07
53	221294_at	8.9233E-07
54	219718_at	1.42682E-06
55	209425_at	8.24014E-07
56	220360_at	1.42682E-06
57	213313_at	1.23143E-06
58	204837_at	9.78867E-07
59	205094_at	9.78867E-07
60	211877_s_at	6.40395E-06
61	205702_at	2.76511E-05
62	212851_at	5.6862E-05
63	206874_s_at	1.55571E-05
64	219232_s_at	1.55571E-05
65	201080_at	6.7245E-05
66	209200_at	0.000222547
67	208634_s_at	0.001135991
68	205608_s_at	0.002585716
69	214738_s_at	0.002585716
70	207968_s_at	0.002585716
71	203106_s_at	0.002585716
72	213639_s_at	0.002585716
73	202599_s_at	0.0008893
74	211255_x_at	0.000836413
75	219383_at	0.000780115
76	207737_at	0.000615825
77	221020_s_at	0.000836413
78	206945_at	0.00057802
79	34726_at	0.000103453
80	210132_at	0.000103453
81	206061_s_at	0.00057802
82	212299_at	0.000992242
83	204592_at	0.000992242
84	209814_at	0.000714641
85	202629_at	0.000808658
86	205762_s_at	0.000808658
87	202817_s_at	0.000808658
88	218724_s_at	0.000714641
89	204217_s_at	0.00037038
90	219603_s_at	0.000808658
91	210694_s_at	0.000325071
92	212276_at	0.000325071
93	212678_at	0.000325071
94	207034_s_at	0.000191313
95	209199_s_at	0.002994201
96	208879_x_at	0.00038804
97	206822_s_at	0.00038804
98	212796_s_at	0.00036057
99	213322_at	0.000852069
100	213666_at	0.000504441
